# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.STAU_SFS.txt
# sampleSize: 151
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 8694
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-26419.088550028798636	4007.0693974623081886	20864.103155283362867
1	0	0	0.01	-36205.510703180218115	3951.7291674212838188	20577.74074640069739
1	0	0	0.02	-28359.488605546095641	3897.9173936136508019	20294.036903248863382
1	0	0	0.03	-23713.851469954504864	3845.6982383491972541	20012.168967842135316
1	0	0	0.04	-20478.534600557439262	3795.1374430535411193	19731.477792544777913
1	0	0	0.05	-18051.460060646306374	3746.3021529383295274	19453.078826285891409
1	0	0	0.06	-16151.303770095692016	3699.2607057049021932	19177.156309718055127
1	0	0	0.07	-14622.582658924147836	3654.0823820287428134	18903.914106383563194
1	0	0	0.08	-13369.898614171659574	3610.8371160649062404	18632.97887689559866
1	0	0	0.09	-12330.3543582122511	3569.5951648708810353	18385.067736097909801
1	0	0	0.1	-11460.235918974765809	3530.4267364733354952	18198.009253519798222
1	0	0	0.11	-10727.910360215086257	3493.4015773112209899	18021.902914465328649
1	0	0	0.12	-10109.744676172762411	3458.5885209625389507	17848.570350182530092
1	0	0	0.13	-9587.6200425934948726	3426.0550013865395158	17676.163369655441784
1	0	0	0.14	-9147.3451713755639503	3395.8665353538476666	17505.626714441568765
1	0	0	0.15	-8777.603768914603279	3368.0861802461549814	17338.51136511108416
1	0	0.5	0	-32482.790771439642413	4170.5285401809760515	21018.948187121190131
1	0	0.5	0.01	-38532.889158684905851	4071.1030309652055621	20527.770812226404814
1	0	0.5	0.02	-29575.542828529927647	3972.7326244040182246	20036.59343733163405
1	0	0.5	0.03	-24317.499792167480337	3875.4976652391264906	19554.05753619753159
1	0	0.5	0.04	-20675.72561570716789	3779.4857895676409498	19078.993310608137108
1	0	0.5	0.05	-17952.090000872442033	3684.7926055360944702	18609.057073281543126
1	0	0.5	0.06	-15822.684438006588607	3591.5224195434384455	18144.532877366440516
1	0	0.5	0.07	-14109.707647358460235	3499.7890031190095215	17680.047970213541703
1	0	0.5	0.08	-12704.724646553542698	3409.7163921098026549	17306.261002735896909
1	0	0.5	0.09	-11536.616831933861249	3321.4397051416958675	16980.104493212329544
1	0	0.5	0.1	-10556.180915007309522	3235.1059622771472277	16657.927808862543316
1	0	0.5	0.11	-9727.9527209720981773	3150.8748771461036995	16336.331675625564458
1	0	0.5	0.12	-9025.5289013834844809	3068.919586385366074	16014.735542388609247
1	0	0.5	0.13	-8428.728611858736258	2989.4272688876226312	15695.584845817389578
1	0	0.5	0.14	-7921.7883490616222844	2912.5995942178569749	15376.911544052058161
1	0	0.5	0.15	-7492.1684172095992835	2838.6529249816840093	15058.238242286730383
1	0	1	0	-35683.747904916002881	4459.8648866101229942	22039.320608168385661
1	0	1	0.01	-39619.800114097160986	4341.284781562821081	21526.237497355756204
1	0	1	0.02	-30228.135369687806815	4223.3922861102519164	21020.314340062097472
1	0	1	0.03	-24747.621262368076714	4106.2466255764238667	20518.506201101790793
1	0	1	0.04	-20963.412329177372158	3989.9135827327804691	20016.857037163506902
1	0	1	0.05	-18138.171215870126616	3874.4663561875036066	19515.207873225241201
1	0	1	0.06	-15931.467649882455589	3759.986541560727801	19013.558709286968224
1	0	1	0.07	-14157.116262958486914	3646.5652524179922693	18513.592711151231924
1	0	1	0.08	-12701.894976568306447	3534.3043993836158734	18018.468977519405598
1	0	1	0.09	-11491.717996967156068	3423.318146885859278	17526.770460649735469
1	0	1	0.1	-10475.427864660945488	3313.7345672261189975	17035.554680491095496
1	0	1	0.11	-9616.2118309790384956	3205.6975105577384966	16544.338900332455523
1	0	1	0.12	-8886.7006811517931055	3099.368706091367585	16053.123120173811913
1	0	1	0.13	-8266.0005657805741066	2994.9301032472267252	15565.365683876441835
1	0	1	0.14	-7737.8082610537385335	2892.5864499285053171	15079.871629523247975
1	0	1	0.15	-7289.166783821026911	2792.5680864070473035	14594.377575170050477
1	0	1.5	0	-37945.335688638762804	4733.4391693188181307	22685.760491392622498
1	0	1.5	0.01	-40369.338314236141741	4603.2602429354492415	22172.478888143807126
1	0	1.5	0.02	-30724.336216393043287	4473.5721925556435963	21659.197284895009943
1	0	1.5	0.03	-25117.621914570918307	4344.4189787694904226	21145.915681646198209
1	0	1.5	0.04	-21253.688274317537434	4215.849756270549733	20632.634078397397388
1	0	1.5	0.05	-18372.054225510073593	4087.9196267868110226	20119.850405619727098
1	0	1.5	0.06	-16122.707757066717022	3960.6905188312398423	19607.153982009804167
1	0	1.5	0.07	-14314.655072230219957	3834.2322178134922979	19094.614181119330169
1	0	1.5	0.08	-12831.95043565427477	3708.6235745282579046	18582.074380228863447
1	0	1.5	0.09	-11598.830217238340992	3583.9539252399699762	18071.655513867772243
1	0	1.5	0.1	-10563.037440465865075	3460.3247625342464744	17566.619675243338861
1	0	1.5	0.11	-9687.0037315478693927	3337.8517027334919476	17063.383439855202596
1	0	1.5	0.12	-8942.8206082585384138	3216.6668027544455981	16560.416942711901356
1	0	1.5	0.13	-8309.1973614223388722	3096.9212863281832142	16057.450445568591022
1	0	1.5	0.14	-7769.5311754566937452	2978.7887455728005079	15555.67426846023227
1	0	1.5	0.15	-7310.6339984650112456	2862.4688873520040033	15057.415589118483695
1	0	2	0	-39707.278110680199461	4981.7879055011171658	23208.670021222224022
1	0	2	0.01	-40955.349758271448081	4843.5726487528054349	22688.440359918844479
1	0	2	0.02	-31139.885729529516539	4705.7455266435390513	22168.210698615464935
1	0	2	0.03	-25449.628478829661617	4568.3416694393035868	21648.061381007388263
1	0	2	0.04	-21533.334166615910362	4431.4004496745346842	21129.799878750702192
1	0	2	0.05	-18614.850355399597902	4294.9661199416013915	20611.538376493990654
1	0	2	0.06	-16337.740922769982717	4159.088564451007187	20093.276874237300945
1	0	2	0.07	-14507.808731366341817	4023.8241874960722271	19575.015371980600321
1	0	2	0.08	-13007.301993239103467	3889.2369670978014256	19056.753869723903335
1	0	2	0.09	-11759.348550830574823	3755.3997084241450466	18538.492367467213626
1	0	2	0.1	-10710.967142217603396	3622.3955393157389153	18020.244808398823807
1	0	2	0.11	-9824.0928779430978466	3490.3196996704127741	17507.28269572381032
1	0	2	0.12	-9070.4636820230516605	3359.2816878003159218	16996.838243348080141
1	0	2	0.13	-8428.5291101227485342	3229.4078403794219412	16486.393790972353599
1	0	2	0.14	-7881.4905923750484362	3100.8444382858046993	15976.296303540313602
1	0	2	0.15	-7416.0093167170271045	2973.7614482036551635	15466.70079793901823
