# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.STPN_SFS.txt
# sampleSize: 31
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 2468
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-19430.115784427092876	8123.9406521118798992	25512.319450575116207
1	0	0	0.01	-18078.401740458270069	8009.246679073768064	25134.328257903143822
1	0	0	0.02	-15714.775690568611026	7898.1846070429028259	24756.337065231182351
1	0	0	0.03	-14330.913888908573426	7790.9097595249941151	24378.345872559199051
1	0	0	0.04	-13428.69124958460452	7687.5806824157143637	24000.354679887226666
1	0	0	0.05	-12827.658213825634448	7588.358563595808846	23622.363487215261557
1	0	0	0.06	-12436.639300307957456	7493.406548706769172	23248.778858735277026
1	0	0	0.07	-12201.577401168324286	7402.888949063212749	22887.55361311481829
1	0	0	0.08	-12087.242739464330953	7316.9703398045885478	22526.328367494359554
1	0	0	0.09	-12069.189375592162833	7235.814549064604762	22165.103121873893542
1	0	0	0.1	-12129.677538903197274	7159.5835421333722479	21803.877876253442082
1	0	0	0.11	-12255.3935508801369	7088.4362082603365707	21460.324754571895028
1	0	0	0.12	-12436.079994154075393	7022.5270618077647669	21152.220188129951566
1	0	0	0.13	-12663.666256241616793	6962.0048737792267275	20844.115621688004467
1	0	0	0.14	-12931.692144785047276	6907.0112541305534251	20536.011055246064643
1	0	0	0.15	-13234.912049835809739	6857.6792094923512195	20227.906488804121182
1	0	0.5	0	-25774.515344359941082	8507.3131421371690521	25760.640385691080155
1	0	0.5	0.01	-22004.062612442590762	8285.2499108513202373	24978.621314210278797
1	0	0.5	0.02	-18287.03512686456088	8065.4324234808345864	24196.602242729481077
1	0	0.5	0.03	-16007.214700818178244	7848.0493866821552729	23419.74471162235568
1	0	0.5	0.04	-14455.721960530121578	7633.3087897359728231	22645.750170637980773
1	0	0.5	0.05	-13356.63249149810872	7421.4400144925311906	21871.755629653605865
1	0	0.5	0.06	-12568.315858920046594	7212.6961396937749669	21097.76108866924551
1	0	0.5	0.07	-12007.18410003601457	7007.3564362024644652	20323.766547684866964
1	0	0.5	0.08	-11619.409175436740043	6805.7290388330093265	19549.772006700495695
1	0	0.5	0.09	-11368.165494385146303	6608.1537649810907169	19051.000880411211256
1	0	0.5	0.1	-11227.107673250546213	6415.0050287466456211	18591.290619995514135
1	0	0.5	0.11	-11176.727224256377667	6226.6947702330680841	18131.580359579820652
1	0	0.5	0.12	-11202.177288953884272	6043.6752816513117068	17671.870099164127168
1	0	0.5	0.13	-11291.904333597660298	5866.4417634568198991	17212.159838748433685
1	0	0.5	0.14	-11436.750428596365964	5695.5343843760438176	16752.449578332732926
1	0	0.5	0.15	-11629.343425288359867	5531.5395495993088844	16292.739317917037624
