# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Sepia_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 52
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-164.3218009520733176	127.28158673080065455	413.27381367613162411
1	0	0	0.01	-158.63124751678969915	121.75187049450583743	394.28558259966467858
1	0	0	0.02	-147.13256064858069294	116.48969589008193282	375.29735152319784675
1	0	0	0.03	-151.4995078924102927	111.53293755509558594	356.30912044673073069
1	0	0	0.04	-162.67048608479217364	106.92407915070479874	339.56362537401008694
1	0	0	0.05	-177.7131265665675528	102.70996483416668354	323.27341967698271219
1	0	0	0.06	-195.27284235889510455	98.941046495868349098	306.98321397995539428
1	0	0	0.07	-214.59992186868475983	95.669954105830086633	290.69300828292767847
1	0	0	0.08	-235.23101124826825981	92.94926135789326338	276.09760843418263221
1	0	0	0.09	-256.85777478217278258	90.828442058622243849	269.32984525282410004
1	0	0	0.1	-279.26399849135759723	89.350222260872357083	270.30706994265460708
1	0	0	0.11	-302.29210014725504152	88.546790911869479146	274.30699175978338644
1	0	0	0.12	-325.82382344482084591	88.436540948669033924	278.30691357691193843
1	0	0	0.13	-349.76840053261730645	89.022047834191852189	282.30683539404060411
1	0	0	0.14	-374.05492721775772225	90.289777149314701887	286.30675721116921295
1	0	0	0.15	-398.62725029903140239	92.211595508400819199	290.30667902829787863
1	0	0.5	0	-298.76918728994678531	235.70801118025724463	644.44531737219040224
1	0	0.5	0.01	-273.33126663509483478	227.33146322339339918	622.21101705751630107
1	0	0.5	0.02	-247.00405239195424656	219.09305410671888126	599.97671674284231358
1	0	0.5	0.03	-239.60601939355365175	211.00896448756361679	577.74241642816809872
1	0	0.5	0.04	-241.11005702344937163	203.09762278323665896	555.50811611349422492
1	0	0.5	0.05	-248.01539837357540819	195.38001488400379912	533.27381579882001006
1	0	0.5	0.06	-258.60387405708206643	187.88001650449399449	511.03951548414590889
1	0	0.5	0.07	-271.87886735397296434	180.62473678089614282	488.8052151694719214
1	0	0.5	0.08	-287.2016056902884884	173.64485314109032288	467.34638887530928741
1	0	0.5	0.09	-304.13464243182897917	166.97490547204199629	457.60376758117303098
1	0	0.5	0.1	-322.36400115164269664	160.65350180493280163	447.86114628703671769
1	0	0.5	0.11	-341.65633094462373265	154.72336855420869028	438.11852499290046126
1	0	0.5	0.12	-361.83350107052410749	149.231157809349952	430.83135635001229957
1	0	0.5	0.13	-382.75664571989636897	144.22690697390845571	424.16558373809289151
1	0	0.5	0.14	-404.31567644826827745	139.76304046201016718	417.49981112617336976
1	0	0.5	0.15	-426.4221285304029152	135.89282104987830735	410.83403851425379116
1	0	1	0	-389.47259429492805793	297.32287984001061432	782.11832092177064624
1	0	1	0.01	-351.21432770225146669	288.29293869897304603	758.17179157574378223
1	0	1	0.02	-316.54052877886169881	279.40294034074861429	734.22526222971691823
