# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.WillowWarbler_SFS.txt
# sampleSize: 23
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 8605
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-10083787.598820701241	9883911.8010564781725	22678641.555903054774
1	0	0	0.01	-10952037.981369696558	9976198.8873993437737	22931065.526562940329
1	0	0	0.02	-11854312.234884463251	10069691.940600452945	23204331.066258154809
1	0	0	0.03	-12752533.056389719248	10164357.682805182412	23507866.093002028763
1	0	0	0.04	-13645099.402700856328	10260163.654502255842	23811401.119745910168
1	0	0	0.05	-14531591.904152289033	10357078.213381359354	24114936.146489799023
1	0	0	0.06	-15411947.380332037807	10455070.530933294445	24418471.173233665526
1	0	0	0.07	-16286258.615704029799	10554110.587029211223	24722006.199977543205
1	0	0	0.08	-17154699.00893266499	10654169.162701319903	25025541.22672143206
1	0	0	0.09	-18017487.156548306346	10755217.831333341077	25329076.253465313464
1	0	0	0.1	-18874867.896576404572	10857228.948454892263	25632611.280209179968
1	0	0	0.11	-19727101.302312359214	10960175.640320027247	25936146.306953061372
1	0	0	0.12	-20574455.948410496116	11064031.791436761618	26239681.333696946502
1	0	0	0.13	-21417204.653068065643	11168772.031201265752	26543216.360440824181
1	0	0	0.14	-22255621.737385213375	11274371.719777787104	26846751.387184698135
1	0	0	0.15	-23089981.254460349679	11380806.933353537694	27150286.413928572088
1	0	0.5	0	-5266677.1907280310988	7207756.1262957891449	16258734.20843780227
1	0	0.5	0.01	-6112268.6060206219554	7323305.8088784497231	16582159.976431395859
1	0	0.5	0.02	-7002854.935819119215	7441557.4974222993478	16905585.744424987584
1	0	0.5	0.03	-7895441.322576969862	7562384.4405995449051	17229011.51241857931
1	0	0.5	0.04	-8786277.8271820396185	7685665.1820316128433	17552437.280412167311
1	0	0.5	0.05	-9673814.23704303056	7811283.5421622470021	17875863.048405762762
1	0	0.5	0.06	-10557319.856262736022	7939128.5595276365057	18199288.816399350762
1	0	0.5	0.07	-11436461.482446685433	8069094.3987693469971	18522714.584392949939
1	0	0.5	0.08	-12311125.009674102068	8201080.2319380566478	18846140.352386541665
1	0	0.5	0.09	-13181326.766590259969	8334990.098854967393	19183490.134187329561
1	0	0.5	0.1	-14047164.763974100351	8470732.7515526283532	19565888.220644790679
1	0	0.5	0.11	-14908789.94559802115	8608221.4871210921556	19948286.307102255523
1	0	0.5	0.12	-15766388.348952561617	8747373.9726463630795	20330684.393559720367
1	0	0.5	0.13	-16620169.607012912631	8888112.0653499625623	20713082.480017185211
1	0	0.5	0.14	-17470359.323997452855	9030361.6305217277259	21095480.56647464633
1	0	0.5	0.15	-18317193.915022060275	9174052.3593812864274	21477878.652932114899
1	0	1	0	-3597529.4478650689125	5901128.1359888669103	13271584.636963749304
1	0	1	0.01	-4423929.3315109089017	6028371.8605927629396	13626938.610940877348
1	0	1	0.02	-5304843.9238868206739	6159522.2207773933187	13982292.584917990491
1	0	1	0.03	-6191792.957190670073	6294335.0223316643387	14337646.558895114809
1	0	1	0.04	-7079238.971338301897	6432579.9991051834077	14693000.532872235402
1	0	1	0.05	-7964832.475620187819	6574040.6298456834629	15048354.50684935227
1	0	1	0.06	-8847417.4994836598635	6718513.7975055277348	15403708.480826474726
1	0	1	0.07	-9726408.1628227457404	6865809.331617009826	15759062.454803593457
1	0	1	0.08	-10601528.383476942778	7015749.4678332721815	16114416.42878071405
1	0	1	0.09	-11472684.781254202127	7168168.2527074608952	16469770.402757830918
1	0	1	0.1	-12339897.930953942239	7322910.9163829134777	16871414.59821055457
1	0	1	0.11	-13203262.370028957725	7479833.2311538616195	17287254.995752796531
1	0	1	0.12	-14062922.040289111435	7638800.8698292318732	17703095.393295034766
1	0	1	0.13	-14919054.572958707809	7799688.7744557261467	18118935.790837269276
1	0	1	0.14	-15771860.909703373909	7962380.5431713787839	18534776.188379511237
1	0	1	0.15	-16621558.281388923526	8126767.8406986780465	18950616.585921749473
1	0	1.5	0	-2668256.5879396274686	5003677.0252020200714	11284781.579534053802
1	0	1.5	0.01	-3479144.4328690767288	5139358.5468832002953	11661098.825289919972
1	0	1.5	0.02	-4352892.3584289625287	5280101.5472843693569	12037416.071045789868
1	0	1.5	0.03	-5235684.5618714690208	5425512.1418327651918	12413733.316801667213
1	0	1.5	0.04	-6120535.4888495802879	5575225.1280142255127	12790050.562557533383
1	0	1.5	0.05	-7004498.8001390397549	5728903.2135509410873	13166367.808313405141
1	0	1.5	0.06	-7886115.4044064730406	5886235.8437080867589	13542685.054069276899
1	0	1.5	0.07	-8764624.6988146156073	6046937.7672173893079	13919002.29982515052
1	0	1.5	0.08	-9639640.9577463120222	6210747.4500878471881	14295319.545581020415
1	0	1.5	0.09	-10510997.690853580832	6377425.4203614126891	14693062.042059995234
1	0	1.5	0.1	-11378664.471240758896	6546752.6050017885864	15130125.061432547867
1	0	1.5	0.11	-12242699.009947389364	6718528.7024206444621	15567188.080805094913
1	0	1.5	0.12	-13103217.939516931772	6892570.6202206509188	16004251.100177649409
1	0	1.5	0.13	-13960378.217463880777	7068710.9970301026478	16441314.119550196454
1	0	1.5	0.14	-14814364.887238115072	7246796.8192620305344	16878377.13892275095
1	0	1.5	0.15	-15665382.813160568476	7426688.1377317048609	17315440.158295299858
1	0	2	0	-2066584.7938684150577	4317687.2605322068557	9802247.2085041012615
1	0	2	0.01	-2864564.792144112289	4460155.0868829600513	10194091.453302998096
1	0	2	0.02	-3732774.2113697081804	4608849.5814587781206	10585935.698101907969
1	0	2	0.03	-4612391.0868870317936	4763187.6381428083405	10977779.942900815979
1	0	2	0.04	-5495239.4096806943417	4922638.4626518245786	11369624.187699714676
1	0	2	0.05	-6377906.6189967170358	5086721.2758299177513	11761468.432498620823
1	0	2	0.06	-7258703.3568537384272	5255002.2062946148217	12153312.677297525108
1	0	2	0.07	-8136738.6476024240255	5427090.7477690838277	12545156.922096431255
1	0	2	0.08	-9011545.9754908084869	5602636.0516331214458	12954077.792482977733
1	0	2	0.09	-9882905.4776625335217	5781323.2409005230293	13406470.66970215179
1	0	2	0.1	-10750749.755821317434	5962869.8669912992045	13858863.54692132771
1	0	2	0.11	-11615109.968034856021	6147022.5826613055542	14311256.424140498042
1	0	2	0.12	-12476083.13455414027	6333554.0701096272096	14763649.301359675825
1	0	2	0.13	-13333811.407532811165	6522260.2395515739918	15216042.178578849882
1	0	2	0.14	-14188468.464126043022	6712957.6977698467672	15668435.055798023939
1	0	2	0.15	-15040250.332087084651	6905481.4761780677363	16120827.933017201722
1	0	2.5	0	-1644856.6413508728147	3763370.621960602235	8625978.1368723791093
1	0	2.5	0.01	-2431831.4683010280132	3911597.4318949454464	9030081.2321686670184
1	0	2.5	0.02	-3295604.0951241925359	4067258.3426020191982	9434184.3274649605155
1	0	2.5	0.03	-4172705.126471310854	4229532.634584095329	9838287.4227612540126
1	0	2.5	0.04	-5053961.3626414090395	4397688.2692894004285	10242390.51805754751
1	0	2.5	0.05	-5935583.411488711834	4571076.2240381548181	10646493.613353841007
1	0	2.5	0.06	-6815699.3099404200912	4749123.445792474784	11050596.708650130779
1	0	2.5	0.07	-7693315.9483782276511	4931325.2869864776731	11475194.727862777188
1	0	2.5	0.08	-8567904.0622163116932	5117237.9848953960463	11939451.218237148598
1	0	2.5	0.09	-9439202.5991326868534	5306471.5232749423012	12403707.708611518145
1	0	2.5	0.1	-10307115.767934665084	5498683.0592321911827	12867964.198985885829
1	0	2.5	0.11	-11171654.411529138684	5693570.9945282880217	13332220.689360260963
1	0	2.5	0.12	-12032900.588070750237	5890869.7047947142273	13796477.179734628648
1	0	2.5	0.13	-12890985.178214982152	6090344.9010125920177	14260733.670108996332
1	0	2.5	0.14	-13746073.21742977947	6291789.5763446781784	14724990.160483365878
1	0	2.5	0.15	-14598354.019197851419	6495020.4817226417363	15189246.650857735425
1	0	3	0	-1334351.2445691749454	3299962.051025192719	7655690.6901713265106
1	0	3	0.01	-2111764.7588994652033	3453219.6730565992184	8069870.0765894986689
1	0	3	0.02	-2971883.3719460293651	3615185.2056201053783	8484049.4630076717585
1	0	3	0.03	-3846932.3239256218076	3784740.8656147741713	8898228.8494258448482
1	0	3	0.04	-4726888.7622944265604	3960912.0360271902755	9312408.2358440160751
1	0	3	0.05	-5607650.68065084517	4142854.8469390403479	9726587.6222621947527
1	0	3	0.06	-6487196.7466772943735	4329841.7750349873677	10167350.984303435311
1	0	3	0.07	-7364451.0572720468044	4521247.0292211007327	10641197.827855331823
1	0	3	0.08	-8238833.8058870881796	4716532.7296663271263	11115044.671407226473
1	0	3	0.09	-9110050.9220884516835	4915236.3797845384106	11588891.51495911926
1	0	3	0.1	-9977983.9383277371526	5116959.8138613281772	12062738.358511015773
1	0	3	0.11	-10842627.519035331905	5321359.6187963774428	12536585.202062912285
1	0	3	0.12	-11704051.833231844008	5528138.9306720867753	13010432.045614805073
1	0	3	0.13	-12562378.819725520909	5737040.4625938041136	13484278.889166699722
1	0	3	0.14	-13417766.66602948308	5947840.6073494749144	13958125.732718590647
1	0	3	0.15	-14270399.368162572384	6160344.4627555375919	14431972.576270489022
1	0	3.5	0	-1098011.4436835646629	2903766.1067274650559	6833328.1057792147622
1	0	3.5	0.01	-1866994.1801237910986	3061473.8706463323906	7256024.554910809733
1	0	3.5	0.02	-2724037.7683688774705	3229253.099371031858	7678721.0040424065664
1	0	3.5	0.03	-3597374.2438522428274	3405615.5919335191138	8101417.4531740015373
1	0	3.5	0.04	-4476246.1793090254068	3589296.3379080430605	8524113.9023055937141
1	0	3.5	0.05	-5356286.8947085365653	3779228.4270331696607	8979872.5590204950422
1	0	3.5	0.06	-6235349.9741918966174	3974515.7525347899646	9461710.8437991458923
1	0	3.5	0.07	-7112290.6702675521374	4174406.7951835901476	9943549.1285778041929
1	0	3.5	0.08	-7986487.3606072366238	4378271.0488592144102	10425387.413356462494
1	0	3.5	0.09	-8857618.7605329081416	4585578.6247712196782	10907225.698135117069
1	0	3.5	0.1	-9725547.7669193148613	4795883.018977294676	11389063.982913773507
1	0	3.5	0.11	-10590255.779164686799	5008806.7641452243552	11870902.267692428082
1	0	3.5	0.12	-11451803.235609263182	5224029.5874406406656	12352740.55247108452
1	0	3.5	0.13	-12310304.766485370696	5441278.6844122968614	12834578.837249737233
1	0	3.5	0.14	-13165912.967479422688	5660320.7482880465686	13316417.122028399259
1	0	3.5	0.15	-14018807.494943916798	5880955.4399465378374	13798255.406807055697
1	0	4	0	-913832.51753897964954	2559874.0420331275091	6122313.4124151114374
1	0	4	0.01	-1675292.2713784873486	2721505.531050265301	6552254.9834907473996
1	0	4	0.02	-2529703.1158222183585	2894688.7361695850268	6982300.6452131308615
1	0	4	0.03	-3401584.1807832941413	3077474.0750142270699	7412346.3069355133921
1	0	4	0.04	-4279535.0606727600098	3268250.8723734789528	7881246.7029213672504
1	0	4	0.05	-5158961.3055742755532	3465699.6590101476759	8369895.1319535812363
1	0	4	0.06	-6037609.8077032640576	3668743.3499038596638	8858543.5609857868403
1	0	4	0.07	-6914277.433670565486	3876502.8940750588663	9347191.9900180026889
1	0	4	0.08	-7788307.2431676834822	4088259.395805078093	9835840.4190502129495
1	0	4	0.09	-8659355.0374287217855	4303422.8663137946278	10324488.848082426935
1	0	4	0.1	-9527268.0603362768888	4521506.9528359761462	10813137.277114639059
1	0	4	0.11	-10392016.5905675143	4742108.7252490799874	11301785.706146847457
1	0	4	0.12	-11253652.920999057591	4964892.5949037959799	11790434.135179061443
1	0	4	0.13	-12112285.570956610143	5189577.5430265376344	12279082.564211271703
1	0	4	0.14	-12968062.464521236718	5415926.9705700324848	12767730.993243487552
1	0	4	0.15	-13821159.634413532913	5643740.6128664482385	13256379.422275701538
1	0	4.5	0	-767820.01473592221737	2258445.0159350265749	5507330.9858218543231
1	0	4.5	0.01	-1522500.8227838203311	2423452.2269915477373	5934160.6879767440259
1	0	4.5	0.02	-2374625.7099836468697	2601643.1791190579534	6370649.5616076244041
1	0	4.5	0.03	-3245251.2924258559942	2790493.414226425346	6850594.4565825900063
1	0	4.5	0.04	-4122408.4144521355629	2987982.5111039853655	7345147.7117754956707
1	0	4.5	0.05	-5001303.9796687886119	3192507.6674807542004	7839700.9669684050605
1	0	4.5	0.06	-5879592.5153828933835	3402800.4137212373316	8334254.2221613107249
1	0	4.5	0.07	-6756020.5845705494285	3617855.1425889586098	8828807.477354221046
