# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.ACBA_SFS.txt
# sampleSize: 78
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 6006
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-30434.080125999811571	7356.7354799814402213	36707.415591986617073
1	0	0	0.01	-29270.566678732750006	7148.096691369582004	35921.490405535929312
1	0	0	0.02	-23526.302304870390799	6944.059773813009997	35149.306000075492193
1	0	0	0.03	-20229.007834518677555	6745.0423587828854579	34377.121594615033246
1	0	0	0.04	-18078.609186691523064	6551.5019001470918738	33604.937189154596126
1	0	0	0.05	-16614.050658103602473	6363.9381140811501609	32832.752783694129903
1	0	0	0.06	-15610.566203803871758	6182.8949480358069195	32060.568378233696421
1	0	0	0.07	-14939.637449662317522	6008.9618074511736268	31288.597611751611112
1	0	0	0.08	-14520.203822243900504	5842.7737004555647218	30518.262749583558616
1	0	0	0.09	-14297.594983960967511	5685.0098920258487851	29747.92788741550612
1	0	0	0.1	-14233.094960346119478	5536.3906000657589175	28977.593025247449987
1	0	0	0.11	-14298.248179686604999	5397.6712318303889333	28207.258163079404767
1	0	0	0.12	-14471.520197314734105	5269.6336707337168264	27437.157078282914881
1	0	0	0.13	-14736.226163760700729	5153.0742054524898776	26706.766587118116149
1	0	0	0.14	-15079.186495399742853	5048.78787001764249	26025.075164623594901
1	0	0	0.15	-15489.821575547917746	4957.5492526391462889	25376.44628194780671
1	0	0	0.16	-15959.522942573938053	4880.090232220796679	24889.932171709297108
1	0	0	0.17	-16481.20489314844599	4817.0755862098421858	24415.877609788924019
1	0	0	0.18	-17048.977431546139996	4769.0779169844900025	23942.263585943725047
1	0	0	0.19	-17657.902999115991406	4736.5537682631193093	23485.069982148921554
1	0	0	0.2	-18303.812383909418713	4719.8230334827376282	23058.857603596356057
1	0	0.5	0	-42476.017862318316475	9541.0343875137659779	45113.218227495628526
1	0	0.5	0.01	-36548.162911258696113	9210.540447652214425	43845.913521292175574
1	0	0.5	0.02	-28813.271419964497909	8881.2186596707888384	42578.60881508870807
1	0	0.5	0.03	-24295.145421173656359	8553.2044178109972563	41311.304108885247842
1	0	0.5	0.04	-21283.020157810184173	8226.6541275155359472	40043.999402681758511
1	0	0.5	0.05	-19163.006860419991426	7901.7492901005853128	38776.694696478283731
1	0	0.5	0.06	-17637.183697812259197	7578.7015340605448728	37509.389990274823504
1	0	0.5	0.07	-16536.52893132600002	7257.7588434769622836	36242.085284071370552
1	0	0.5	0.08	-15755.296777977084275	6939.2133060379646849	34974.780577867910324
1	0	0.5	0.09	-15222.706602199061308	6623.4107959759267032	33707.47587166444282
1	0	0.5	0.1	-14888.974281063361559	6310.7631255448322918	32440.171165460953489
1	0	0.5	0.11	-14717.72978003253229	6001.7633467300447592	31172.866459257500537
1	0	0.5	0.12	-14681.594915799563751	5697.0050642857868297	29905.56175305404031
1	0	0.5	0.13	-14759.455222305899952	5397.2068261067634012	28638.257046850561892
1	0	0.5	0.14	-14934.699075468815863	5103.2428644910505682	27370.952340647098026
1	0	0.5	0.15	-15194.03801432059845	4816.1816133856546003	26103.647634443623247
