# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.Aptenodytes_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 12
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-467.1483557879903401	471.70198185312654005	927.39302786818041113
1	0	0	0.01	-478.98769981130612905	474.80727157711345399	933.33934554373649917
1	0	0	0.02	-501.63869484284418832	477.95965989208514202	943.36678280804426322
1	0	0	0.03	-527.79636163368400048	481.15822107611586489	953.3942200723517999
1	0	0	0.04	-555.35396863074061002	484.40204047611797478	963.4216573366600187
1	0	0	0.05	-583.62912076196948874	487.69021500235220401	973.44909460096766907
1	0	0	0.06	-612.30921145411616635	491.0218535706673606	983.47653186527531943
1	0	0	0.07	-641.22460187264300657	494.39607749478250298	993.50396912958331086
1	0	0	0.08	-670.27378869250401294	497.81202083095530497	1003.531406393891416
1	0	0	0.09	-699.39229742697602887	501.26883067740385513	1013.5588436581992937
1	0	0	0.1	-728.53767369749334648	504.76566743084225664	1023.5862809225069441
1	0	0	0.11	-757.68144128885592181	508.3017050024867558	1033.6137181868148218
1	0	0	0.12	-786.80444483509313613	511.87613099585536247	1043.6411554511225859
1	0	0	0.13	-815.89398659686435167	515.48814684865135405	1053.6685927154305773
1	0	0	0.14	-844.9419812730054673	519.13696794097313614	1063.6960299797385687
1	0	0	0.15	-873.94372094669211037	522.82182367203915874	1073.7234672440461054
1	0	0	0.16	-902.89702245837247574	526.54195750755332028	1083.7509045083540968
1	0	0	0.17	-931.80162360123108556	530.29662699977188822	1093.7783417726616335
1	0	0	0.18	-960.6587464039405404	534.08510378225651039	1103.8057790369698523
1	0	0	0.19	-989.4707756885152321	537.90667354123047517	1113.8332163012771616
1	0	0	0.2	-1018.2410190408156723	541.76063596536789646	1123.8606535655853804
