# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Armadillidium_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 745
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-2134.047142727591563	1904.4320645442257955	6616.5496783455546392
1	0	0	0.01	-1967.5832973278520512	1875.3697817206659693	6525.751436975148863
1	0	0	0.02	-1720.3951935249715461	1851.6422731982454479	6434.9531956047467247
1	0	0	0.03	-1710.8936578319408	1833.4566691294958218	6344.1549542343454959
1	0	0	0.04	-1806.7593710807122989	1820.9790133971876003	6253.3567128639388102
1	0	0	0.05	-1964.2909921968021081	1814.3270754931368174	6162.5584714935375814
1	0	0	0.06	-2162.8870982582811848	1813.5649606448821487	6071.7602301231345336
1	0	0	0.07	-2390.9328470221662428	1818.7000731476264264	5987.7652010051624529
1	0	0	0.08	-2641.1323146126305801	1829.6827609267129446	5909.4889500280823995
1	0	0	0.09	-2908.5615004277569824	1846.408680431970879	5831.2126990510005271
1	0	0	0.1	-3189.724691280091065	1868.7236244810451353	5752.9364480739204737
1	0	0	0.11	-3482.0460332082802779	1896.4303082870010257	5674.6601970968386013
1	0	0	0.12	-3783.5731256989529356	1929.2964530269568968	5605.2927122601386145
1	0	0	0.13	-4092.7933727469426231	1967.0634593505562862	5544.5472478337114808
1	0	0	0.14	-4408.5145585796417436	2009.4550163014018835	5506.6947631850071048
1	0	0	0.15	-4729.7840789108595345	2056.1851161659733407	5470.6019673454338772
1	0	0	0.16	-5055.832515405389131	2106.9651068119260344	5434.5091715058570117
1	0	0	0.17	-5386.0331304391729645	2161.509576819038557	5461.9555886522366563
1	0	0	0.18	-5719.8721119992915192	2219.5410111135042825	5550.4236446199211059
1	0	0	0.19	-6056.9262792683148291	2280.7932631709531961	5638.8917005876037365
1	0	0	0.2	-6396.8460903293744195	2345.0139612834232139	5748.6327270520168895
1	0	0.5	0	-3374.292266894801287	2115.8454879793061991	7037.5756084978902436
1	0	0.5	0.01	-2845.3939849166417844	1994.0156648864403905	6686.2421617013133073
1	0	0.5	0.02	-2343.1672387919970788	1873.548330812901213	6334.908714904736371
1	0	0.5	0.03	-2140.1641059595203842	1754.7241256790982789	5983.5752681081594346
1	0	0.5	0.04	-2082.195147816928511	1637.900699022354047	5632.2418213115824983
1	0	0.5	0.05	-2113.4867238007063861	1523.5383735714458453	5280.908374515003743
1	0	0.5	0.06	-2206.0974839414921007	1412.2351733690493347	4929.5749277184277162
1	0	0.5	0.07	-2343.6311006163959973	1304.7742054952898343	4581.0264869371412715
1	0	0.5	0.08	-2515.5110012413133518	1202.1862597036251827	4300.4603340659887181
1	0	0.5	0.09	-2714.4694051251499332	1105.8283826994543233	4019.8941811948343457
1	0	0.5	0.1	-2935.2810039350006264	1017.4721392826248803	3739.3280283236808827
1	0	0.5	0.11	-3174.0592834770213813	939.37810796196617957	3458.7618754525265103
1	0	0.5	0.12	-3427.8364681050879881	874.30054242761218575	3178.1957225813725927
1	0	0.5	0.13	-3694.2985434437578078	825.32428810098815575	3032.1892438779277654
1	0	0.5	0.14	-3971.6106012478994671	795.42910170470906905	2915.0390169584625255
1	0	0.5	0.15	-4258.2975216250488302	786.79302514529820201	2903.3824473496315477
1	0	0.5	0.16	-4553.1599963592016138	800.10474705815295238	2949.648146381857714
1	0	0.5	0.17	-4855.2139205923740519	834.31437802657058	2995.9138454140829708
1	0	0.5	0.18	-5163.6456990430815495	887.00726590479996503	3042.1795444463091371
1	0	0.5	0.19	-5477.7786693851667223	955.12922236895497008	3088.4452434785343939
1	0	0.5	0.2	-5797.0474652398188482	1035.6400467090447819	3134.710942510759196
1	0	1	0	-4308.5861120616973494	2699.3479495142223641	8118.8324399119710506
1	0	1	0.01	-3542.9915640355393407	2561.3118770919550116	7746.1265281499236153
1	0	1	0.02	-2901.0404877960099839	2424.0397611074354245	7373.4206163878770894
1	0	1	0.03	-2601.9583625244849827	2287.6691298435362114	7000.7147046258314731
1	0	1	0.04	-2472.2783908868223079	2152.3713397925021127	6628.0087928637840378
1	0	1	0.05	-2447.2557337155449204	2018.3621512486440679	6255.3028811017366024
1	0	1	0.06	-2494.0950017585710157	1885.9162800447288646	5882.5969693396909861
1	0	1	0.07	-2593.4955745440165629	1755.3876237441813828	5509.8910575776444603
1	0	1	0.08	-2733.0135297946981154	1627.2376152125243607	5137.1851458155979344
1	0	1	0.09	-2904.1138253771714517	1502.0751830859364873	4764.4792340535532276
1	0	1	0.1	-3100.6742351391803822	1380.7130431174134628	4391.7733222915039732
1	0	1	0.11	-3318.1517542732399306	1264.246104102462823	4040.6160318300917424
1	0	1	0.12	-3553.0847211287909886	1154.1572546900897578	3742.6938169929876494
1	0	1	0.13	-3802.7789848323518527	1052.4498932875985702	3444.7716021558862849
1	0	1	0.14	-4065.101363252804731	961.7866913823414734	3260.5610230143101944
1	0	1	0.15	-4338.3388189511388191	885.56623358792887757	3145.8697981118398275
1	0	1	0.16	-4621.0995649092074018	827.78772697704914663	3035.1755571201097155
1	0	1	0.17	-4912.2418548158602789	792.49513582630413566	2924.4813161283791487
1	0	1	0.18	-5210.8215940866866731	782.73597859985920877	2813.7870751366508557
1	0	1	0.19	-5516.0530725107892067	799.4458934742283418	2703.0928341449198342
1	0	1	0.2	-5827.2790487665624823	841.04869865111800209	2592.3985931531915412
1	0	1.5	0	-5046.3426011911069509	3179.6661427888657272	8801.39185835808712
1	0	1.5	0.01	-4097.8260325378869311	3035.9394537627704267	8421.4222272335882735
1	0	1.5	0.02	-3359.7085013415562571	2893.1637496140169787	8041.452596109089427
1	0	1.5	0.03	-2997.9057001204782864	2751.4870752194310626	7661.4829649845914901
1	0	1.5	0.04	-2822.8170350937652984	2611.0883355356245374	7281.5133338600890056
1	0	1.5	0.05	-2762.8399767030277872	2472.1852670648536332	6902.9110738409808619
1	0	1.5	0.06	-2781.6682416276162257	2335.0448006979486308	6525.3030891183670974
1	0	1.5	0.07	-2857.9778599318233319	2199.9965853819435324	6147.6951043957506045
1	0	1.5	0.08	-2978.059010754666815	2067.4506663931779258	5770.0871196731395685
1	0	1.5	0.09	-3132.5353418892627815	1937.9205525765648872	5399.7723044995482269
1	0	1.5	0.1	-3314.6990038600415573	1812.0530914074813609	5030.1700269872253557
1	0	1.5	0.11	-3519.5841446959384484	1690.6665170611997837	4660.5677494749024845
1	0	1.5	0.12	-3743.4145899286013446	1574.7973411191574087	4290.9654719625787038
1	0	1.5	0.13	-3983.2564458243214176	1465.7546135461359427	4015.4782710135127672
1	0	1.5	0.14	-4236.7899804380358546	1365.17509372215045	3917.356230142318509
1	0	1.5	0.15	-4502.1544342921042698	1275.0631410869307274	3819.2341892711247056
1	0	1.5	0.16	-4777.8392730454361299	1197.7835859826052456	3721.1121483999327211
1	0	1.5	0.17	-5062.6060441749141319	1135.9584287252366721	3622.9901075287375534
1	0	1.5	0.18	-5355.4309988304157741	1092.2152318046848904	3524.8680666575455689
1	0	1.5	0.19	-5655.4621635469738976	1068.7764973239723076	3426.7460257863517654
1	0	1.5	0.2	-5961.9866915816164692	1066.981170278896343	3328.6239849151575072
1	0	2	0	-5657.1696148960836581	3572.3453838942332368	9396.2323654233205161
1	0	2	0.01	-4558.8667214991219225	3425.4236957261800853	9017.7298890963666054
1	0	2	0.02	-3748.6768397030391498	3279.6577077673300664	8639.2274127694108756
1	0	2	0.03	-3341.5034537683022791	3135.2086208825458016	8260.7249364424569649
1	0	2	0.04	-3134.1975664727433468	2992.2671579018638113	7882.2224601155021446
1	0	2	0.05	-3049.7265059455312439	2851.0600876732264624	7503.7199837885445959
1	0	2	0.06	-3049.0965802732171142	2711.8583543857389486	7125.2175074615897756
1	0	2	0.07	-3109.4693012468633242	2574.9871992776024854	6746.7150311346395029
1	0	2	0.08	-3216.2024032156332396	2440.8387185757651423	6368.2125548076837731
1	0	2	0.09	-3359.3073717196239159	2309.8873252210719329	5989.7100784807298623
1	0	2	0.1	-3531.6543559390847804	2182.7085219512537151	5611.2076021537741326
1	0	2	0.11	-3727.9752074058560538	2060.0011553015215213	5232.7051258268184029
1	0	2	0.12	-3944.2703912510623923	1942.6127404482572274	4854.2026494998663111
1	0	2	0.13	-4177.4367123411866487	1831.5662669757432468	4619.7572411151595588
1	0	2	0.14	-4425.0233416814589873	1728.0847643441395576	4500.5032977606324494
1	0	2	0.15	-4685.066149221122032	1633.6064846395890982	4404.2843660143662419
1	0	2	0.16	-4955.9718157160386909	1549.7788784268543623	4313.5262357063566014
1	0	2	0.17	-5236.4346926221187459	1478.4147688800937885	4234.3370162141263791
1	0	2	0.18	-5525.3758463550257147	1421.3926681712093796	4155.1477967218979757
1	0	2	0.19	-5821.8975165466617909	1380.4909405288581183	4075.9585772296668438
1	0	2	0.2	-6125.248524066148093	1357.1678555348037207	3996.7693577374375309
1	0	2.5	0	-6179.1493401295010699	3901.5679173997828002	9896.9066407887512469
1	0	2.5	0.01	-4954.0092822235019412	3752.3967572948736233	9511.8165952931267384
1	0	2.5	0.02	-4087.0180385534040397	3604.5442324553978324	9126.7265497975040489
1	0	2.5	0.03	-3645.0051104727390339	3458.1794795519886065	8741.6365043018813594
1	0	2.5	0.04	-3413.2991270138154505	3313.4996591757799251	8356.546458806255032
1	0	2.5	0.05	-3310.4389178957280819	3170.7354287953703533	7971.4564133106305235
1	0	2.5	0.06	-3295.2897095986118075	3030.1575564605373074	7586.366367815006015
1	0	2.5	0.07	-3343.8246087123116013	2892.0848818850768112	7201.276322319384235
1	0	2.5	0.08	-3440.6776080172639922	2756.8938319380631583	6816.186276823762455
1	0	2.5	0.09	-3575.3889679470958072	2625.0296620466274362	6431.0962313281370371
1	0	2.5	0.1	-3740.5061226909601828	2497.0194917476537739	6046.0061858325125286
1	0	2.5	0.11	-3930.5309913566088653	2373.4869806273168251	5660.9161403368880201
1	0	2.5	0.12	-4141.2949112731075729	2255.1680739456269293	5299.890868734812102
1	0	2.5	0.13	-4369.5669845652228105	2142.9265329862491853	5143.4193909081068341
1	0	2.5	0.14	-4612.7978246052589384	2037.7668412519358299	5005.6922347977833851
1	0	2.5	0.15	-4868.9458133377193008	1940.8404783319801936	4936.5736772604896032
1	0	2.5	0.16	-5136.3557331732517923	1853.4395902900373585	4869.8358225160955044
1	0	2.5	0.17	-5413.6718067230831366	1776.9702746173568357	4803.0979677717041341
1	0	2.5	0.18	-5699.7740150701574748	1712.8972206146693225	4736.3601130273136732
1	0	2.5	0.19	-5993.7305706537663355	1662.6541761297851281	4669.6222582829213934
1	0	2.5	0.2	-6294.7618530062754871	1627.5224790800148185	4602.8844035385291136
1	0	3	0	-6635.2687589492852567	4183.9711677020595744	10290.05811188259031
1	0	3	0.01	-5300.2531421390376636	4033.0268803541921443	9899.8322207996134239
1	0	3	0.02	-4386.938433462404646	3883.5281561337678795	9509.6063297166310804
1	0	3	0.03	-3917.0807071469025686	3735.648551140080599	9119.3804386336541938
1	0	3	0.04	-3666.0775595760642318	3589.5881786234454012	8729.1545475506791263
1	0	3	0.05	-3548.7703065265086479	3445.5784017953105831	8338.9286564677004208
1	0	3	0.06	-3522.2671801527612843	3303.8873755094023181	7948.7027653847180773
1	0	3	0.07	-3561.5769344481523149	3164.8265503040533986	7558.4768743017384622
1	0	3	0.08	-3650.7509557884186506	3028.7582328894231978	7180.0760148383551495
1	0	3	0.09	-3778.9524800949802739	2896.1042469856633943	6806.5917273568584278
1	0	3	0.1	-3938.4719891874556197	2767.3556370384162619	6443.113949083526677
1	0	3	0.11	-4123.6290523085917812	2643.0831751224086474	6079.6361708101912882
1	0	3	0.12	-4330.1213255769398529	2523.9481285693973405	5789.9959740315744057
1	0	3	0.13	-4554.6172601721991668	2410.7122758906143645	5645.1546956547208538
1	0	3	0.14	-4794.4899810458373395	2304.2454806025798462	5501.2877926787823526
1	0	3	0.15	-5047.6370784577811719	2205.5282426103899525	5435.5140819771195311
1	0	3	0.16	-5312.3548660023807315	2115.6456365265162276	5369.7403712754603475
1	0	3	0.17	-5587.2483796992746647	2035.7681906548793904	5303.9666605737984355
1	0	3	0.18	-5871.1655318670891575	1967.1151031746364879	5238.1929498721383425
1	0	3	0.19	-6163.1480111341370502	1910.8965352734896896	5172.4192391704773399
1	0	3	0.2	-6462.3940541148040211	1868.2353556845141611	5106.6455284688172469
1	0	3.5	0	-7040.5013816801802022	4430.6913214047726797	10609.678057034492667
1	0	3.5	0.01	-5608.6975048561725998	4278.2613585038625388	10215.300440360591892
1	0	3.5	0.02	-4656.6451870306773344	4127.3775273212613683	9820.9228236866892985
1	0	3.5	0.03	-4163.8791617967872298	3978.2157545411369028	9426.5452070127921615
1	0	3.5	0.04	-3897.1327079327602405	3830.9771940844975688	9038.2365606135263079
1	0	3.5	0.05	-3768.1012455561431125	3685.8923300586579899	8668.3397012094046659
1	0	3.5	0.06	-3732.4181286096281838	3543.2257352938236181	8299.9591021988981083
1	0	3.5	0.07	-3764.2896099103381857	3403.2815471225917463	7931.5785031883942793
1	0	3.5	0.08	-3847.2852586351655191	3266.4096959804874132	7563.1979041778922692
1	0	3.5	0.09	-3970.2579877642710926	3133.0128710682029123	7194.8173051673866212
1	0	3.5	0.1	-4125.287584524419799	3003.5541170147384946	6826.4367061568800636
1	0	3.5	0.11	-4306.5445599070080789	2878.5648077934342837	6458.0561071463762346
1	0	3.5	0.12	-4509.6175801145582227	2758.6525164962322378	6218.0941222674700839
1	0	3.5	0.13	-4731.0932189956729417	2644.5079686302005939	6073.9623653947946877
1	0	3.5	0.14	-4968.2816882855113363	2536.909817238238702	5929.8306085221220201
1	0	3.5	0.15	-5219.0313048061434529	2436.7254216928895403	5859.9681890822721471
1	0	3.5	0.16	-5481.599155549898569	2344.9052168312678077	5795.1344065223638609
1	0	3.5	0.17	-5754.5586043851799332	2262.467791239046619	5730.3006239624583031
1	0	3.5	0.18	-6036.7316751965336152	2190.4727508323830989	5665.4668414025527454
1	0	3.5	0.19	-6327.1386673140223138	2129.9792424241518347	5600.6330588426453687
1	0	3.5	0.2	-6624.9599779714117176	2081.9900598825724956	5535.799276282739811
1	0	4	0	-7405.1702898205767269	4649.4040887125356676	10878.869218297568295
1	0	4	0.01	-5886.9956720087429858	4495.6835509926295344	10502.843384865847838
1	0	4	0.02	-4901.9181642662297236	4343.5906241747743479	10130.339571693781181
1	0	4	0.03	-4389.8849519266441348	4193.3024144934643118	9757.8357585217127053
1	0	4	0.04	-4109.9888497263964382	4045.0200837077277356	9385.3319453496460483
1	0	4	0.05	-3971.2073432893157587	3898.9724960591170202	9012.8281321775775723
1	0	4	0.06	-3927.9133130949485349	3755.4203868111053453	8640.3243190055109153
1	0	4	0.07	-3953.6319604331220035	3614.6610833592553718	8267.8205058334460773
1	0	4	0.08	-4031.526004294231825	3477.0337822131955363	7895.3166926613794203
1	0	4	0.09	-4150.1873235995299183	3342.9253367336959855	7522.8128794893127633
