# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.BurrowingOwl_SFS.txt
# sampleSize: 39
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 383702
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-1642866.9505535922945	1664301.6638260178734	5277121.2590166088194
1	0	0	0.01	-1616027.7324976138771	1686240.7770463624038	5268666.5511154141277
1	0	0	0.02	-1535542.5259730890393	1709053.9498004668858	5268666.5511154159904
1	0	0	0.03	-1581274.5585284456611	1732706.6582887095865	5276670.4086484704167
1	0	0	0.04	-1682558.5038240253925	1757165.0005683202762	5288444.3349409224465
1	0	0	0.05	-1815739.5057318732142	1782395.8118109712377	5300218.2612333800644
1	0	0	0.06	-1969661.0738870799541	1808366.7592319615651	5323074.1409608628601
1	0	0	0.07	-2138084.1505717523396	1835046.4182204524986	5351076.9926834562793
1	0	0	0.08	-2317141.6442830264568	1862404.3313274134416	5379079.8444060534239
1	0	0	0.09	-2504266.3099326826632	1890411.0518258435186	5429410.2513603447005
1	0	0	0.1	-2697668.7230898849666	1919038.1735594184138	5531978.5357702421024
1	0	0	0.11	-2896055.8969125859439	1948258.3487530685961	5636702.5792649295181
1	0	0	0.12	-3098467.710997775197	1978045.2953834466171	5741426.6227596132085
1	0	0	0.13	-3304176.1058097705245	2008373.795608260436	5846150.6662543015555
1	0	0	0.14	-3512619.99823108688	2039219.6866394907702	5950874.7097489899024
1	0	0	0.15	-3723361.6347206532955	2070559.8453232371248	6055598.7532436745241
1	0	0	0.16	-3936056.3838064484298	2102372.1675637504086	6160322.7967383591458
1	0	0	0.17	-4150431.2672683410347	2134635.5436053248122	6265046.8402330474928
1	0	0	0.18	-4366269.352724198252	2167329.8300661328249	6369770.8837277339771
1	0	0	0.19	-4583398.1842195875943	2200435.8195049846545	6474494.9272224204615
1	0	0	0.2	-4801681.0601362586021	2233935.2081968369894	6579218.9707171097398
1	0	0.5	0	-1087941.2272492237389	899846.2029167637229	3367618.1068492452614
1	0	0.5	0.01	-904683.23502624407411	916040.74273262300994	3326869.8159608514979
1	0	0.5	0.02	-739181.05570864677429	935350.05625606630929	3289405.6453894870356
1	0	0.5	0.03	-728764.04125124588609	957585.73771751171444	3254791.7497994764708
1	0	0.5	0.04	-789356.31635446473956	982549.13076722447295	3223593.4009112403728
1	0	0.5	0.05	-891404.0779129602015	1010038.0070138643496	3199433.5678677451797
1	0	0.5	0.06	-1020655.7521737962961	1039852.099484980572	3180682.4348769779317
1	0	0.5	0.07	-1169056.5529194362462	1071797.3847438606899	3168601.7997153089382
1	0	0.5	0.08	-1331588.2290250509977	1105689.1566050145775	3185438.8902047071606
1	0	0.5	0.09	-1504910.7082509100437	1141354.0292449630797	3296974.1005663294345
1	0	0.5	0.1	-1686692.3941988311708	1178631.0538345691748	3427908.1354852332734
1	0	0.5	0.11	-1875246.4547835253179	1217372.1427740724757	3558842.1704041361809
1	0	0.5	0.12	-2069318.4795932993293	1257441.9823161459062	3689776.2053230395541
1	0	0.5	0.13	-2267955.3312192969024	1298717.5889043984935	3820710.2402419429272
1	0	0.5	0.14	-2470420.4046169035137	1341087.6349134764168	3951644.2751608453691
1	0	0.5	0.15	-2676136.8079013116658	1384451.6406345381401	4082578.3100797492079
1	0	0.5	0.16	-2884648.0690094865859	1428719.1039330225904	4213512.3449986502528
1	0	0.5	0.17	-3095590.2419872581959	1473808.6180302945431	4344446.3799175554886
1	0	0.5	0.18	-3308671.6569484584033	1519647.0113704786636	4475380.4148364569992
1	0	0.5	0.19	-3523657.9316412843764	1566168.531066743657	4606314.4497553585097
1	0	0.5	0.2	-3740360.688920609653	1613314.0823131648358	4737248.4846742646769
1	0	1	0	-1026991.0096815042198	591607.03540954145137	2506108.5721753323451
1	0	1	0.01	-744314.84032678231597	591109.3159887396032	2453357.048038220033
1	0	1	0.02	-537175.10289079323411	597049.63914219662547	2403711.2583646303974
1	0	1	0.03	-501899.65680189058185	609239.71374125033617	2356510.5329392617568
1	0	1	0.04	-545431.6594298966229	627315.30751907883678	2310582.776407581754
1	0	1	0.05	-634857.72405015677214	650786.19403344334569	2268281.5386649123393
1	0	1	0.06	-754325.302031211555	679093.1855716528371	2230347.2642824253999
1	0	1	0.07	-894899.70360507816076	711659.43265280907508	2199542.726820432581
1	0	1	0.08	-1051030.8484518304467	747928.77369848696981	2237020.9130544378422
1	0	1	0.09	-1219034.5300311930478	787389.65069212706294	2346736.9961412209086
1	0	1	0.1	-1396344.7235532812774	829586.75408697244711	2488936.6095753484406
1	0	1	0.11	-1581108.3588361777365	874123.91120743914507	2631136.2230094759725
1	0	1	0.12	-1771949.2844206914306	920661.58320045319851	2773335.8364436021075
1	0	1	0.13	-1967822.8272110521793	968911.55347961513326	2915535.4498777291737
1	0	1	0.14	-2167922.0329240374267	1018630.5292891728459	3057735.0633118567057
1	0	1	0.15	-2371614.9375157654285	1069613.6783821252175	3199934.6767459842376
1	0	1	0.16	-2578401.276952393353	1121688.6358579567168	3342134.2901801117696
1	0	1	0.17	-2787881.815572462976	1174710.2109423277434	3484333.9036142388359
1	0	1	0.18	-2999736.1192917264998	1228555.8483927363995	3626533.5170483635738
1	0	1	0.19	-3213706.1312558315694	1283121.8081680187024	3768733.1304824929684
1	0	1	0.2	-3429583.8271823562682	1338319.9862593689468	3910932.7439166195691
1	0	1.5	0	-1051223.686760019511	481236.99208621378057	2003729.5447806857992
1	0	1.5	0.01	-693521.56877994164824	455017.17992493853671	1907199.1155715722125
1	0	1.5	0.02	-459578.23877681419253	437141.89447731722612	1852260.2613264231477
1	0	1.5	0.03	-409027.75565560534596	428656.32876852364279	1797321.4070812757127
1	0	1.5	0.04	-442317.60007414221764	430116.57824956713011	1742382.5528361271136
1	0	1.5	0.05	-524271.45915175229311	441423.95039535412798	1687443.6985909780487
1	0	1.5	0.06	-637999.34102106466889	461855.76480745663866	1634167.5950654819608
1	0	1.5	0.07	-774010.58649053797126	490272.57866908889264	1596034.3088034456596
1	0	1.5	0.08	-926425.11757493764162	525380.30578763736412	1644694.7464885204099
1	0	1.5	0.09	-1091348.1262385249138	565935.1026662880322	1731058.7705561856274
1	0	1.5	0.1	-1266071.6885483600199	610853.03106067131739	1880456.4028920922428
1	0	1.5	0.11	-1448643.0072082877159	659242.83923895133194	2029854.0352279976942
1	0	1.5	0.12	-1637613.4399004131556	710395.40188923978712	2179251.6675639036112
1	0	1.5	0.13	-1831884.1506652310491	763755.81396715529263	2328649.2998998104595
1	0	1.5	0.14	-2030606.7819007076323	818892.58765579632018	2478046.9322357149795
1	0	1.5	0.15	-2233117.1068839989603	875470.16355344571639	2627444.5645716204308
1	0	1.5	0.16	-2438889.3091581575572	933226.52921608730685	2776842.1969075249508
1	0	1.5	0.17	-2647503.6322424635291	991955.80183737492189	2926239.8292434327304
1	0	1.5	0.18	-2858622.9649219736457	1051494.9743915419094	3075637.4615793367848
1	0	1.5	0.19	-3071975.5582637898624	1111713.9290070205461	3231392.9308664305136
1	0	1.5	0.2	-3287342.0486566387117	1172507.9313725349493	3390645.9835929181427
1	0	2	0	-1103187.1505292020738	503677.55808839231031	2025694.4369835730176
1	0	2	0.01	-685198.46353863924742	457011.15691508201417	1885725.3195097893476
1	0	2	0.02	-432085.12071455642581	416404.60127935942728	1745756.2020360049792
1	0	2	0.03	-370921.54784283041954	383786.22407163999742	1605787.084562220145
1	0	2	0.04	-397195.14188429713249	361325.91798333078623	1466065.2164242160507
1	0	2	0.05	-474073.47982634976506	350979.27520668617217	1327435.3974246548023
1	0	2	0.06	-583924.23186283931136	353810.63245966692921	1235131.5035232962109
1	0	2	0.07	-716864.68939301371574	369517.1918290038011	1229859.9180815140717
1	0	2	0.08	-866784.50052823871374	396572.09416657174006	1275323.123021439882
1	0	2	0.09	-1029643.0695306174457	432852.60318601800827	1338463.8474544866476
1	0	2	0.1	-1202634.8654667027295	476254.97970829595579	1453136.8108413293958
1	0	2	0.11	-1383738.8474326878786	525015.91852797300089	1605945.4241427364759
1	0	2	0.12	-1571456.9813538901508	577780.32427331490908	1758915.4304135285784
1	0	2	0.13	-1764653.6620533913374	633548.71235428110231	1911885.4366843197495
1	0	2	0.14	-1962452.5124723426998	691594.76439092750661	2064855.4429551120847
1	0	2	0.15	-2164167.5310148224235	751390.80692999053281	2217997.3354773009196
1	0	2	0.16	-2369255.6953335292637	812550.58349843486212	2373058.2176789226942
1	0	2	0.17	-2577283.4588484354317	874788.10928542877082	2537977.5948782474734
1	0	2	0.18	-2787902.5225593261421	937888.85319609555881	2703919.7810231302865
1	0	2	0.19	-3000831.9657439552248	1001689.6950406278484	2869861.9671680149622
1	0	2	0.2	-3215844.8383348882198	1066064.9458407626953	3035804.1533129005693
1	0	2.5	0	-1165527.3353111632168	587957.9417919786647	2060725.1187033695169
1	0	2.5	0.01	-697262.09026692062616	532099.12640507787	1917001.0190537963063
1	0	2.5	0.02	-429565.70354922860861	480180.10974597552558	1773737.6928027339745
1	0	2.5	0.03	-360491.21352005004883	433618.39645025477512	1630789.6926447942387
1	0	2.5	0.04	-381586.32446819916368	394316.38078368839342	1487841.6924868547358
1	0	2.5	0.05	-454740.70039449259639	364629.1554969601566	1349356.715789347887
1	0	2.5	0.06	-561757.83600511401892	347033.07103549782187	1220168.0272097531706
1	0	2.5	0.07	-692459.98972145840526	343391.90761585324071	1147317.9678611464333
1	0	2.5	0.08	-840564.74340700730681	354136.37275716732256	1109128.7166698724031
1	0	2.5	0.09	-1001923.153581507504	378041.87238052784232	1089984.832694835728
1	0	2.5	0.1	-1173657.4606638513505	412828.36930880905129	1176793.4869383850601
1	0	2.5	0.11	-1353696.3014648482203	456012.4847075882717	1307290.2551161460578
1	0	2.5	0.12	-1540505.3278177753091	505446.36548503331142	1452396.1515205078758
1	0	2.5	0.13	-1732921.968197081238	559475.81630012742244	1606465.9893557066098
1	0	2.5	0.14	-1930049.3400773145258	616894.53566811687779	1763800.7869656919502
1	0	2.5	0.15	-2131185.5357138961554	676840.50242246279959	1931915.2345643304288
1	0	2.5	0.16	-2335774.9842178113759	738698.7083863253938	2100073.8073364053853
1	0	2.5	0.17	-2543374.0955574177206	802026.81768977141473	2268232.3801084784791
1	0	2.5	0.18	-2753626.4322849847376	866502.60777758841868	2436390.9528805520386
1	0	2.5	0.19	-2966244.4085502140224	931887.89065367961302	2604549.5256526265293
1	0	2.5	0.2	-3180995.5659454613924	998003.92317785532214	2772708.0984247010201
1	0	3	0	-1231463.9000456184149	689754.97749641397968	2105032.1572490306571
1	0	3	0.01	-720192.82158126682043	630370.41739981074352	1960769.1694400203414
1	0	3	0.02	-440933.3434691503644	574053.61252249218524	1816506.1816310065333
1	0	3	0.03	-365681.96170446276665	521798.80196587153478	1672243.1938219964504
1	0	3	0.04	-382763.68406336009502	474948.61004270217381	1537029.3454121742398
1	0	3	0.05	-453044.86293318495154	435251.79769364692038	1405988.9816744707059
1	0	3	0.06	-557882.23084844276309	404818.26215622865129	1275479.7451813649386
1	0	3	0.07	-686866.10214304551482	385846.18194354081061	1217924.397203491535
1	0	3	0.08	-833579.49147066101432	380055.89014144841349	1179229.3901889461558
1	0	3	0.09	-993789.0585310831666	388037.93101653049234	1160555.2049274011515
1	0	3	0.1	-1164560.9607579298317	408986.72955189138884	1169207.7599650532939
1	0	3	0.11	-1343784.8634728454053	441058.50718141201651	1197800.5676222792827
1	0	3	0.12	-1529898.3569257222116	482038.19488731434103	1243895.0083483378403
1	0	3	0.13	-1721718.0701101608574	529862.9904691647971	1389903.0250942166895
1	0	3	0.14	-1918331.329581964761	582850.3313657916151	1550929.6287337956019
1	0	3	0.15	-2119023.9954200387001	639718.67382708285004	1716452.2453813333996
1	0	3	0.16	-2323230.8581837788224	699522.12779763469007	1884308.4388202636037
1	0	3	0.17	-2530500.6214780062437	761569.55406552401837	2053748.4312267580535
1	0	3	0.18	-2740470.6088324785233	825355.02472946245689	2224260.3694357946515
1	0	3	0.19	-2952848.1287939585745	890505.13798538222909	2395887.4466546969488
1	0	3	0.2	-3167396.5062382444739	956741.15489830286242	2574047.06434082333
1	0	3.5	0	-1297981.1168496757746	792104.4312215995742	2165734.748389845714
1	0	3.5	0.01	-749229.98426883667707	731227.42500962549821	2019859.1111009146553
1	0	3.5	0.02	-460522.43093979358673	673064.91461664286908	1874494.6878085036296
1	0	3.5	0.03	-380285.20080727338791	618383.31685614108574	1741686.6603264817968
1	0	3.5	0.04	-394146.50732161104679	568188.51530146598816	1608878.6328444567043
1	0	3.5	0.05	-462130.41871829330921	523772.05571828450775	1476070.6053624337073
1	0	3.5	0.06	-565229.10713975504041	486718.45954167365562	1343262.5778804079164
1	0	3.5	0.07	-692844.6835214458406	458815.0678021304193	1299186.9458647058345
1	0	3.5	0.08	-838451.41623003408313	441799.03700926783495	1260787.2693750457838
1	0	3.5	0.09	-997747.97517941147089	436944.19190412579337	1243073.8548728278838
1	0	3.5	0.1	-1167755.4502137191594	444649.05223285104148	1250066.7919343183748
1	0	3.5	0.11	-1346332.2538235224783	464288.7544845190132	1282246.6846749738324
1	0	3.5	0.12	-1531893.5112003907561	494443.15194609516766	1328638.0392651858274
1	0	3.5	0.13	-1723239.2244102694094	533331.72467834944837	1383878.3417892549187
1	0	3.5	0.14	-1919444.1127782873809	579197.84328566573095	1445030.2504137288779
1	0	3.5	0.15	-2119784.2810617014766	630520.63396969030146	1559053.4914265517145
1	0	3.5	0.16	-2323686.8402569741011	686076.60879285482224	1722744.598605260253
1	0	3.5	0.17	-2530694.3589753806591	744919.23822670744266	1892730.3743108552881
1	0	3.5	0.18	-2740439.1974748447537	806329.30301719880663	2067856.5823920180555
1	0	3.5	0.19	-2952624.6052169017494	869763.14787678571884	2245460.2416039556265
1	0	3.5	0.2	-3167010.5564578287303	934808.87724778254051	2424535.1073458008468
1	0	4	0	-1363647.4178914539516	889611.37132242729422	2228161.9370942539535
1	0	4	0.01	-781757.30210749804974	827971.38699615583755	2086103.9181036795489
1	0	4	0.02	-485151.20157015323639	768873.41215287614614	1952058.7603632716928
1	0	4	0.03	-400787.38132962957025	712949.86547440674622	1818013.6026228638366
1	0	4	0.04	-411996.2226125150919	661006.94245782657526	1683968.4448824569117
1	0	4	0.05	-478093.60800033435225	614055.63738802552689	1549923.2871420488227
1	0	4	0.06	-579767.32166189327836	573323.60336173570249	1422046.137939282693
1	0	4	0.07	-706263.04996559396386	540219.45824679010548	1384707.4783675186336
1	0	4	0.08	-850964.97522630169988	516212.79768940864597	1347484.9241842776537
1	0	4	0.09	-1009515.5871580019593	502608.91601850528968	1340220.4450261516031
1	0	4	0.1	-1178898.8117721267045	500257.2068020295701	1353611.7968024662696
1	0	4	0.11	-1356947.332839589566	509313.56155765254516	1383312.0466610630974
1	0	4	0.12	-1542057.8073269799352	529192.60723182174843	1426709.0345186535269
1	0	4	0.13	-1733016.5849251933396	558740.37588506692555	1478663.4707111432217
