# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.CHTR_SFS.txt
# sampleSize: 58
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 1694
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-3623.5980777456206852	1387.4290318773505533	6262.7219545092366388
1	0	0	0.01	-5417.7323941684662714	1361.270653834307268	6154.5944152607089563
1	0	0	0.02	-4299.3531675034973887	1335.604514817021709	6053.9792032654841023
1	0	0	0.03	-3703.6483776967943413	1310.4595375376936772	5954.8778426825692804
1	0	0	0.04	-3329.0039095032116165	1285.866296145196884	5875.5560722947539034
1	0	0	0.05	-3077.9642253029815038	1261.8570505867917291	5806.1497873476091627
1	0	0	0.06	-2906.0533674542602967	1238.4657658505516338	5736.9223976377197687
1	0	0	0.07	-2789.0840007950246218	1215.7281121890528084	5674.0596623080700738
1	0	0	0.08	-2712.3954915247595636	1193.6814419536265177	5628.1945371149231505
1	0	0	0.09	-2666.4168303851402015	1172.3647382436015505	5583.7227924130338579
1	0	0	0.1	-2644.5521470821622643	1151.8185302400079308	5539.2510477111482032
1	0	0	0.11	-2642.0645317095841165	1132.0847699029811793	5494.7793030092607296
1	0	0	0.12	-2655.4399604278660263	1113.2066647317046773	5450.3075583073705275
1	0	0	0.13	-2682.002539610650274	1095.2284615890205259	5405.8358136054885108
1	0	0	0.14	-2719.6703565739226178	1078.1951772573397648	5361.3640689035992182
1	0	0	0.15	-2766.7943389860374737	1062.152272493020746	5316.892324201714473
1	0	0	0.16	-2822.0483433032641187	1047.1452679442127192	5272.4205794998269994
1	0	0	0.17	-2884.352061451652844	1033.2193024274145046	5228.9294428846587834
1	0	0	0.18	-2952.8156316560052801	1020.4186367143614689	5187.8577244698335562
