# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Caenorhabditis_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 106
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-310.79359187211002791	176.02385712324104361	594.48437439952829209
1	0	0	0.01	-357.69560948622620344	175.09566987173394637	590.99690808443210699
1	0	0	0.02	-295.01278313613738646	174.36507698636222585	587.50944176933592189
1	0	0	0.03	-264.9303168063765952	173.83456983704226673	584.0219754542396231
1	0	0	0.04	-248.9418126351824867	173.50598376349944374	580.53450913914332432
1	0	0	0.05	-241.05358333454705644	173.38046679597638899	577.04704282404725291
1	0	0	0.06	-238.49669486567972854	173.45845976596905302	573.55957650895106781
1	0	0	0.07	-239.73900637235192335	173.73968860256036351	570.07211019385476902
1	0	0	0.08	-243.83357541317491268	174.22316912623219309	566.58464387875847024
1	0	0	0.09	-250.14978989190194625	174.90722414583544264	563.09717756366239882
1	0	0	0.1	-258.24460772277643628	175.78951217224539505	560.73375066044252435
1	0	0	0.11	-267.79404323777362151	176.8670666191171108	559.31841287208783342
1	0	0	0.12	-278.55372451519087917	178.13634399663411045	557.90307508373314249
1	0	0	0.13	-290.33475519611465643	179.59327933935557553	556.48773729537845156
1	0	0	0.14	-302.98820328160491044	181.23334695519244519	556.06505482247951022
1	0	0	0.15	-316.39472833081072167	183.05162453974358527	556.06505482247951022
1	0	0	0.16	-330.457411267180305	185.04285875990473187	556.06505482247962391
1	0	0	0.17	-345.09665761112273685	187.20153055671727316	556.0650548224797376
1	0	0	0.18	-360.24648715188914139	189.52191862910675013	556.06505482247962391
1	0	0	0.19	-375.8517768006931874	191.99815981482404936	556.06505482247962391
1	0	0	0.2	-391.86617476541323413	194.62430536045690133	556.06505482247962391
1	0	0.5	0	-365.93353580916073042	149.81182401311889407	428.85436517738293105
1	0	0.5	0.01	-384.05906869096952505	144.36178590595801552	414.6289698158834085
1	0	0.5	0.02	-301.59361751011192609	139.1105035751413368	401.11030892932086545
1	0	0.5	0.03	-256.80621327397329878	134.08133180667968531	392.6249008565006875
1	0	0.5	0.04	-229.33769839690694425	129.30019038009280052	388.54423358168583036
1	0	0.5	0.05	-212.18042208352926536	124.79559000523752843	384.46356630687091638
1	0	0.5	0.06	-201.95444676940132922	120.59852277840811041	380.3828990320560024
1	0	0.5	0.07	-196.73319829318688789	116.74216233677051946	376.39108856393283986
1	0	0.5	0.08	-195.30155353803684193	113.26131553600872337	372.4633327010199082
1	0	0.5	0.09	-196.8390193802883914	110.19157447818577111	368.53557683810697654
1	0	0.5	0.1	-200.76366226232266854	107.56814088831121978	364.60782097519398803
1	0	0.5	0.11	-206.64714998998169904	105.42433846842661183	360.6800651122812269
1	0	0.5	0.12	-214.16494720150558351	103.789892128255687	356.75230924936829524
1	0	0.5	0.13	-223.06539696014579022	102.68912617038047586	352.82455338645530674
1	0	0.5	0.14	-233.14962912918736038	102.13929664154470345	348.89679752354237507
1	0	0.5	0.15	-244.25800749664904288	102.14930035185948043	344.96904166062938657
1	0	0.5	0.16	-256.26069882156207314	102.71897373645788321	341.86868728787072769
1	0	0.5	0.17	-269.05093520961690956	103.83910596552543382	340.31380941614861513
1	0	0.5	0.18	-282.54009088395832805	105.49216392282366428	338.75893154442655941
1	0	0.5	0.19	-296.65401379923059721	107.65360063496234488	337.20405367270433317
1	0	0.5	0.2	-311.33024520449862393	110.29353185647751445	335.64917580098244798
1	0	1	0	-410.54495005402350216	161.65382352962760137	468.70946787954699175
1	0	1	0.01	-409.74734029463343177	154.24260226473518287	447.61188650561177838
1	0	1	0.02	-316.49991510575227949	146.92655614572561262	426.51430513167673553
1	0	1	0.03	-264.51871921773545182	139.72063664357264656	409.50996401249255996
1	0	1	0.04	-231.81828718404449319	132.64279310661353861	392.70579987401157496
1	0	1	0.05	-210.64397379650063158	125.71465975755955924	375.90163573553058995
1	0	1	0.06	-197.21708762417256366	118.96239594338403833	359.09747159704949127
1	0	1	0.07	-189.37566556389674588	112.4176964495289468	343.32194768366730386
1	0	1	0.08	-185.75522528683541168	106.11897171214404523	327.56227505489590612
1	0	1	0.09	-185.43520229968589774	100.11266001492344913	311.8026024261243947
1	0	1	0.1	-187.76370438788808315	94.454560975534263889	296.04292979735288327
1	0	1	0.11	-192.26179536722384	89.210954140703051962	280.75515660411616636
1	0	1	0.12	-198.56729751572947862	84.459075557957461911	266.30237756295673535
1	0	1	0.13	-206.39989177005008969	80.286284042240708914	261.97563495308440906
1	0	1	0.14	-215.53844811599537934	76.787044625472972825	257.86691642422601944
1	0	1	0.15	-225.80574761338493772	74.056896337301623134	253.75819789536768667
1	0	1	0.16	-237.05786408413678146	72.183158864860843096	249.64947936650941074
1	0	1	0.17	-249.17658906830911292	71.233445853068744213	245.54076083765107796
1	0	1	0.18	-262.06390524678772636	71.244719441449504416	242.21872586185355658
1	0	1	0.19	-275.63787509934763875	72.216529577902477399	240.52978245060012341
1	0	1	0.2	-289.82952978879120565	74.111099681881086099	238.84083903934671866
1	0	1.5	0	-446.29988731836874649	177.88017807320110819	496.78582983445318177
1	0	1.5	0.01	-430.81877807214550558	169.56613836407794338	474.97134044304971212
1	0	1.5	0.02	-330.1777881393431926	161.30189678152950705	453.15685105164595825
1	0	1.5	0.03	-273.54291668334053611	153.09551798858950633	431.34236166024254544
1	0	1.5	0.04	-237.57219326125186853	144.95682960223561508	409.63136598230539676
1	0	1.5	0.05	-213.94367254285953095	136.89790489898066994	392.22666486650797424
1	0	1.5	0.06	-198.59294896080655235	128.93370149185525975	374.82196375071032435
1	0	1.5	0.07	-189.1960203941821419	121.0829116445134872	357.41726263491267446
1	0	1.5	0.08	-184.28857788716140931	113.36909941204002905	340.01256151911508141
1	0	1.5	0.09	-182.88468178140055898	105.82222360139050465	322.60786040331760205
1	0	1.5	0.1	-184.28756444668215408	98.480670243708630096	305.50402869285164797
1	0	1.5	0.11	-187.98631342188036797	91.393932580993549664	289.10969380012738839
1	0	1.5	0.12	-193.59526296405738321	84.626051017698074475	272.71535890740329933
1	0	1.5	0.13	-200.81640061606640302	78.259793037948952588	256.32102401467903974
1	0	1.5	0.14	-209.41498207971426382	72.401180923358552377	239.92668912195500752
1	0	1.5	0.15	-219.20312145819025318	67.183151824790982687	223.53235422923086162
1	0	1.5	0.16	-230.02840351349686898	62.765674348250691139	207.13801933650671572
1	0	1.5	0.17	-241.76577181570291941	59.32784304970238054	191.22669939867691369
1	0	1.5	0.18	-254.3116191106878432	57.047043242672174301	181.89601763625850595
1	0	1.5	0.19	-267.57939716465079982	56.064662861683416395	177.48949005314477745
1	0	1.5	0.2	-281.49629911375541269	56.448532293752840872	176.07805285217818891
1	0	2	0	-476.12312242874440926	193.64876882231638433	516.72865454903853788
1	0	2	0.01	-448.58324191165456796	184.85036540695151075	494.16139860169982967
1	0	2	0.02	-342.41709039636089074	176.08732932615785671	471.59414265436112146
1	0	2	0.03	-282.43794437902806749	167.36521604205836411	449.02688670702269746
1	0	2	0.04	-244.16787839820699446	158.69077341119017888	426.45963075968427347
1	0	2	0.05	-218.83806123003660105	150.07226800554875012	404.02752077851641843
1	0	2	0.06	-202.1669669577345303	141.51991985677349817	386.20610794425164158
1	0	2	0.07	-191.71038792247372839	133.04648752092890618	368.38469510998703527
1	0	2	0.08	-185.93124566572396361	124.66806327402598242	350.56328227572220158
1	0	2	0.09	-183.79658000542804075	116.40516394381802456	332.74186944145748157
1	0	2	0.1	-184.57769017412510948	108.2842390125567249	314.92045660719264788
1	0	2	0.11	-187.74110783249670931	100.33976618330657971	297.09904377292792788
1	0	2	0.12	-192.88471980544954931	92.617163476126250998	279.27763093866315103
1	0	2	0.13	-199.6982008173149552	85.176800224340013301	262.03299950454209011
1	0	2	0.14	-207.93738314304937376	78.099383198598431477	245.1892818513496195
1	0	2	0.15	-217.407031988414019	71.49278319520553282	228.34556419815714889
