# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.Ciona_A_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 94
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-151.98800320752434345	99.43128071450919947	348.70211632252323852
1	0	0	0.01	-183.54530994419974377	94.135348262907413641	334.58435022097796718
1	0	0	0.02	-137.54271278978330884	89.016152764126601937	320.46658411943280953
1	0	0	0.03	-119.8688679564161248	84.105972234853226155	306.34881801788759503
1	0	0	0.04	-114.22485693633507253	79.443571989869624872	292.23105191634243738
1	0	0	0.05	-115.37557779027019933	75.07513002150189152	278.11328581479722288
1	0	0	0.06	-120.92483580298176093	71.054884542002824332	263.99551971325200839
1	0	0	0.07	-129.55923161023474677	67.44512983978464149	249.87775361170679389
1	0	0	0.08	-140.47454094894737864	64.3150208989283243	235.75998751016169308
1	0	0	0.09	-153.14000831880821352	61.737555342351242871	221.64222140861647858
1	0	0	0.1	-167.18599148663270171	59.784253933341823029	207.52445530707126409
1	0	0	0.11	-182.34446963403388509	58.517653314011418786	194.82764867872165837
1	0	0	0.12	-198.41496532329892943	57.982772723348496413	191.23905154833110487
1	0	0	0.13	-215.24379301742192183	58.199790105225090997	187.78096737683958395
1	0	0	0.14	-232.71078916813712567	59.160431507834282172	184.32288320534803461
1	0	0	0.15	-250.7204802263804595	60.829476377741158899	186.54796614241118391
1	0	0	0.16	-269.19600541372801672	63.150781379831698814	191.05284685728173599
1	0	0	0.17	-288.07481583882690757	66.055617729853636888	195.76122927106501947
1	0	0	0.18	-307.30555676900712569	69.470825032944006239	204.00182190793265136
1	0	0	0.19	-326.84576024849775422	73.325124480899575019	212.24241454480045377
1	0	0	0.2	-346.6601063569978578	77.553076546433857175	222.4516426565595566
1	0	0.5	0	-265.26934037051250925	189.61871062498192941	495.63465535418617947
1	0	0.5	0.01	-275.61425681253695075	182.03216713323317322	473.69839956799381753
1	0	0.5	0.02	-214.60863346698988607	174.52317642263662378	451.76214378180122822
1	0	0.5	0.03	-185.49991463186734109	167.10219367607643903	429.82588799560903681
1	0	0.5	0.04	-170.72831941442018433	159.78148184114405694	407.88963220941633381
1	0	0.5	0.05	-164.36185583969654544	152.57547487270528563	386.80891807303208907
1	0	0.5	0.06	-163.57998568954371876	145.5012161845939147	369.96297698114500463
1	0	0.5	0.07	-166.79241895184986788	138.57888394356862705	353.11703588925797703
1	0	0.5	0.08	-173.00461711722164182	131.83241264643146451	336.27109479737100628
1	0	0.5	0.09	-181.54961010710485425	125.29021413740819924	319.42515370548403553
1	0	0.5	0.1	-191.95704823550522633	118.98598773931739458	302.57921261359706477
1	0	0.5	0.11	-203.8824528168456709	112.95958384877795311	285.73327152170998033
1	0	0.5	0.12	-217.06600340847171537	107.25784201428800202	268.88733042982312327
1	0	0.5	0.13	-231.30708964415589435	101.93525665401331537	255.43875467953924385
1	0	0.5	0.14	-246.44784885422768639	97.054228192088118021	249.03971774209082923
1	0	0.5	0.15	-262.36210370615117426	92.684543782062220885	242.64068080464230093
1	0	0.5	0.16	-278.94768931476801299	88.901636022633681478	236.24164386719382946
1	0	0.5	0.17	-296.12098684873399179	85.783167953844085218	229.84260692974538642
1	0	0.5	0.18	-313.81293878258748009	83.403703192236861241	223.44356999229694338
1	0	0.5	0.19	-331.96608600191484584	81.8277354779222037	220.6090379668902699
1	0	0.5	0.2	-350.53232624134307116	81.102118751581386391	218.73403461186273944
1	0	1	0	-342.26135309206165402	242.51491734553914625	586.46066736751799908
1	0	1	0.01	-338.77441592597187991	234.46440723390773542	563.12826660571181492
1	0	1	0.02	-269.538900410030692	226.50498008716795084	539.79586584390540338
1	0	1	0.03	-234.73135355294652982	218.6465832555716986	516.61716701570423993
1	0	1	0.04	-215.68025334202411614	210.90051056052365652	493.82330042791437563
1	0	1	0.05	-205.93518057347000649	203.2796029127125621	471.02943384012462502
1	0	1	0.06	-202.39441434395712349	195.79847595504236324	448.23556725233476072
1	0	1	0.07	-203.29898073502090483	188.47377545056809822	425.44170066454506696
1	0	1	0.08	-207.5455840946947319	181.32445918621041869	402.64783407675543003
1	0	1	0.09	-214.39324027903876413	174.37210093951048862	381.14891282743280954
1	0	1	0.1	-223.31906917191372486	167.64120702635324278	363.34176279131872889
