# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.Ciona_B_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 59
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-215.76387635439368751	203.06892702993275179	602.64145122195122894
1	0	0	0.01	-205.66174963771845796	204.21990861992634336	595.77429621462056275
1	0	0	0.02	-196.33808292158664699	205.82200215318761138	588.9071412072895555
1	0	0	0.03	-205.79432083045594482	207.8647772133009255	582.03998619995866193
1	0	0	0.04	-223.53476693863194669	210.3353945095701647	575.17283119262754099
1	0	0	0.05	-246.08949738501360116	213.21898204200908822	568.30567618529687479
1	0	0	0.06	-271.82255373570296797	216.49903917693833932	561.43852117796609491
1	0	0	0.07	-299.81248333853818622	220.15784602874620646	555.93699496688157069
1	0	0	0.08	-329.48164700671713945	224.17685855919566507	554.76334359270992991
1	0	0	0.09	-360.44139023252682819	228.537074018407111	554.17640764894713357
1	0	0	0.1	-392.41690908285363548	233.21935603695712302	554.17640764894724725
1	0	0	0.11	-425.20672396221743838	238.20471322302552153	558.88684168309191591
1	0	0	0.12	-458.65903305615665886	243.47452908878881317	564.36388142922567113
1	0	0	0.13	-492.65705245095887221	249.01074428691609342	570.35607741717365116
1	0	0	0.14	-527.10947992244291527	254.79599441045621688	577.22794894132539412
1	0	0	0.15	-561.94404511174252548	260.81370805016223358	592.88121450774497134
1	0	0	0.16	-597.10300463967541873	267.0481705387815623	614.22840223532341497
1	0	0	0.17	-632.53990983274525206	273.48455899980496042	635.57558996290174491
1	0	0	0.18	-668.2172340637898742	280.1089541169618542	656.92277769047996117
1	0	0	0.19	-704.10459677697326697	286.90833359045439011	678.26996541805817742
1	0	0	0.2	-740.17741157290129195	293.87055165970184589	699.61715314563662105
1	0	0.5	0	-256.915852699989955	140.4417075845568661	455.01926737765074904
1	0	0.5	0.01	-218.48459834359618981	130.91034767879733636	423.99988027777908428
1	0	0.5	0.02	-189.60388150328253687	121.88837132237622995	393.0708833538392355
1	0	0.5	0.03	-184.46185058049832151	113.49731728979232059	377.35267864638120727
1	0	0.5	0.04	-190.76343621952946705	105.88728457401563787	362.16827781079740589
1	0	0.5	0.05	-204.05555597674720048	99.23811299625664617	346.98387697521354767
1	0	0.5	0.06	-222.11019679961100337	93.754461983296991434	331.79947613962974629
1	0	0.5	0.07	-243.62362939154081687	89.650461496958428143	316.61507530404600175
1	0	0.5	0.08	-267.758061699879363	87.121302708225186961	301.43067446846208668
1	0	0.5	0.09	-293.9403669385737885	86.30554767023527063	286.24627363287834214
1	0	0.5	0.1	-321.76054364651190554	87.251267989988264162	273.63117934929670128
1	0	0.5	0.11	-350.91530976813282905	89.902892095764642022	266.53852793204043792
1	0	0.5	0.12	-381.17445917018903856	94.116344396842677611	259.7362301174324557
1	0	0.5	0.13	-412.35966376375745313	99.693794150829461387	258.26687925616710118
1	0	0.5	0.14	-444.33052130058422335	106.42099856640734856	275.50091220317210627
1	0	0.5	0.15	-476.97503921918178094	114.0947646199203831	294.52182656074683109
1	0	0.5	0.16	-510.20294895217466546	122.53738909246948197	313.54274091832155591
1	0	0.5	0.17	-543.94088977545652597	131.60098089164810631	332.56365527589616704
1	0	0.5	0.18	-578.12886434549000114	141.16598262970092037	355.83760886215611663
1	0	0.5	0.19	-612.71758144298837578	151.13722627498032125	383.02010781628666791
1	0	0.5	0.2	-647.66643149335595808	161.43945525955120956	410.20260677041710551
1	0	1	0	-311.21831889573059016	176.15089074218394671	547.76457172499215176
1	0	1	0.01	-254.1350801313201373	163.17230840654701751	514.64577040385006512
1	0	1	0.02	-214.52504605377362168	150.29494189174783969	481.52696908270820586
1	0	1	0.03	-202.14728326194745023	137.54722204331324065	448.40816776156600554
1	0	1	0.04	-203.13120396982776583	124.96882983963354263	415.28936644042414628
1	0	1	0.05	-212.30146538541339396	112.61651733741443593	382.17056511928228701
1	0	1	0.06	-227.04446358962559316	100.57361944861651182	349.05176379814025722
1	0	1	0.07	-245.82844270435361977	88.965877092558358186	315.93296247699811374
1	0	1	0.08	-267.6704750476674235	77.987839121028173395	282.81416115585625448
1	0	1	0.09	-291.89979744851916621	67.945420896132830535	249.69535983471425311
1	0	1	0.1	-318.03782834035700944	59.315755047070013006	217.12393859517297301
1	0	1	0.11	-345.73142101261782955	52.796200421256457957	185.71033401803759944
1	0	1	0.12	-374.71307405473817198	49.23230816349209249	161.92208610887539066
1	0	1	0.13	-404.7759026717121742	49.269696176805524601	164.77607511728371037
1	0	1	0.14	-435.7572024758628686	52.900729311328902327	179.04746776513167106
1	0	1	0.15	-467.52726794131194765	59.470772384864503124	196.00470483121301868
1	0	1	0.16	-499.9815577903727899	68.134864647259206549	214.82933057005229216
1	0	1	0.17	-533.03506638442195253	78.200052423348182629	238.16392658604391386
1	0	1	0.18	-566.61819219203243847	89.193262209622986347	264.72722433501809292
1	0	1	0.19	-600.67364818586611364	100.81135478824222673	291.29052208399252777
1	0	1	0.2	-635.15411355270953209	112.86151643032809488	317.85381983296690578
1	0	1.5	0	-358.80230418342762277	216.49919864843747064	613.76459329203032667
1	0	1.5	0.01	-287.26275038903258974	202.74290549737773404	579.41019956041407113
1	0	1.5	0.02	-240.2833716858203843	189.07337705288347252	545.05580582879792928
1	0	1.5	0.03	-223.20007735411036265	175.51088729023396695	510.7014120971816169
1	0	1.5	0.04	-220.83051007688845857	162.08230832261952514	477.75813935662307586
1	0	1.5	0.05	-227.45174591483282711	148.82389341611900591	445.05323073601385886
1	0	1.5	0.06	-240.17410084006951365	135.7854973789032158	412.34832211540481239
1	0	1.5	0.07	-257.30873059126861335	123.03708714001668056	379.64341349479570908
1	0	1.5	0.08	-277.77546287706445582	110.67891304094111149	346.93850487418688999
1	0	1.5	0.09	-300.83947531204285042	98.857433906148060032	314.233596253577673
1	0	1.5	0.1	-325.97792562566337438	87.789726914103184185	281.52868763296874022
1	0	1.5	0.11	-352.80590941223908885	77.798158920101386116	248.82377901235955164
1	0	1.5	0.12	-381.03243115498935367	69.349436750575193855	225.84382990415355152
1	0	1.5	0.13	-410.43278114957684011	63.066700329467572317	211.38475864603498167
1	0	1.5	0.14	-440.83044243788936001	59.63846468372445031	200.74525031805166009
1	0	1.5	0.15	-472.08481262385612354	59.559698754921306829	194.51904187048737072
1	0	1.5	0.16	-504.08262100332740374	62.842998243895472399	197.01949383755854228
1	0	1.5	0.17	-536.73177586101701309	69.010148582275036233	201.69519284059089159
1	0	1.5	0.18	-569.956857397188287	77.374622796969063643	226.60113096158110579
1	0	1.5	0.19	-603.69575359899135947	87.307143838055822016	252.68648133180064974
1	0	1.5	0.2	-637.89710769465727935	98.333696889239533334	278.77183170202010842
1	0	2	0	-400.24543044664187619	251.80454876355497618	665.89012450557083866
1	0	2	0.01	-316.84739749115942686	237.76441551590068002	631.57007647241039194
1	0	2	0.02	-264.35688124816169875	223.83954702687114491	597.25002843924994522
1	0	2	0.03	-243.88067359913202381	210.05286801362299798	562.92998040608927113
1	0	2	0.04	-239.13947486222969019	196.43347710682854768	528.60993237292871072
1	0	2	0.05	-243.97950443697936862	183.01872449502556606	494.95675771777484897
1	0	2	0.06	-255.30132195582882559	169.85710206897400099	461.35293645131764606
1	0	2	0.07	-271.29942681739976251	157.01227898075487133	427.74911518486061368
1	0	2	0.08	-290.82258755796283367	144.56872206036698003	394.14529391840363814
1	0	2	0.09	-313.08973362135657226	132.63941369586021324	360.54147265194649208
1	0	2	0.1	-337.54636739496891096	121.37607570263659795	326.93765138548934601
1	0	2	0.11	-363.78504236728167598	110.98165821584896662	293.33383011903225679
1	0	2	0.12	-391.49819003692846309	101.72287937176935202	277.45704822760933439
1	0	2	0.13	-420.4485923488782646	93.936142857817429785	263.00320814615554355
1	0	2	0.14	-450.45008263439103757	88.013025753587854183	251.05008967864421265
1	0	2	0.15	-481.35447489348007366	84.34705382866583534	247.87039777718010214
1	0	2	0.16	-513.04244346699670132	83.236994760903669999	247.89928388007908211
1	0	2	0.17	-545.41699588279880118	84.783300974037643982	253.0620250112565941
1	0	2	0.18	-578.39869871647533728	88.847385843695548147	259.21206311846458448
1	0	2	0.19	-611.92211903834868281	95.10702833355411201	268.29835094848618837
1	0	2	0.2	-645.93312774159858236	103.16334002734268438	277.38463877850762174
1	0	2.5	0	-436.79159297941714613	282.13481062297910285	711.64126279810125197
1	0	2.5	0.01	-343.33901134054758586	267.93535491301793172	676.67454600667974773
1	0	2.5	0.02	-286.51346764001118572	253.87617220656480299	641.70782921525824349
1	0	2.5	0.03	-263.43874251833494782	239.98191717490223596	606.74111242383651188
1	0	2.5	0.04	-256.90588597869918885	226.28297258613551435	571.77439563241500764
1	0	2.5	0.05	-260.41151260849619575	212.81705793635464374	536.80767884099327603
1	0	2.5	0.06	-270.69002816564716341	199.63133513991613199	501.8409620495716581
1	0	2.5	0.07	-285.84493867009496171	186.78515236923178122	466.87424525815009702
1	0	2.5	0.08	-304.6701814125490273	174.35357660868513108	431.93078020410877116
1	0	2.5	0.09	-326.34928575335470669	162.43183050644952914	397.56327973371719509
1	0	2.5	0.1	-350.30367540787756298	151.14060606568654066	364.71960726283350596
1	0	2.5	0.11	-376.10884350815194921	140.63185768851232638	336.49127269037978749
1	0	2.5	0.12	-403.44473087283950008	131.09389515432354756	323.5505803054976468
1	0	2.5	0.13	-432.06472514833512832	122.75321849685001041	312.4354501573154721
1	0	2.5	0.14	-461.77543397225690569	115.8686726890830414	304.40662381802627579
1	0	2.5	0.15	-492.42300741021063004	110.71223656360727716	302.72506661933857686
1	0	2.5	0.16	-523.88360774758893967	107.5327982240500404	301.04350942065082108
1	0	2.5	0.17	-556.05659776666198013	106.50755568345473989	305.64562668496262177
1	0	2.5	0.18	-588.85956427017026726	107.69804778279879542	311.33640655309778822
1	0	2.5	0.19	-622.22461262818796968	111.03302630109490678	318.89935206726840988
1	0	2.5	0.2	-656.09556147521743696	116.32819829140778722	328.47693005477509587
1	0	3	0	-469.4368681699525041	308.44505761861859128	751.63838484294717546
1	0	3	0.01	-367.26528342191249976	294.12932845911905133	716.5672968543983643
1	0	3	0.02	-306.91036571298354829	279.97266644264436763	681.49620886584943946
1	0	3	0.03	-281.76334522348679457	266.00046965170668045	646.42512087730028725
1	0	3	0.04	-273.81638805553484417	252.2433934904645696	611.99509636537436563
1	0	3	0.05	-276.27542590436132741	238.73862919304593788	577.92733392891648236
1	0	3	0.06	-285.7391456600780657	225.53150640896384971	543.85957149245871278
1	0	3	0.07	-300.23755980877922411	212.67748235756135955	509.79180905600071583
1	0	3	0.08	-318.52066667158214841	200.24456653187294819	475.72404661954294625
1	0	3	0.09	-339.74379366227367427	188.31618399345541093	441.65628418308517666
1	0	3	0.1	-363.30926943506892712	176.9943719074386479	407.58852174662717971
1	0	3	0.11	-388.77910758738926233	166.40298682623753734	383.32411069608582466
1	0	3	0.12	-415.82341000378528406	156.69021720327580738	373.04435987761547722
1	0	3	0.13	-444.18818343884504429	148.02911238826976614	363.31490211220750552
1	0	3	0.14	-473.67437096057983581	140.61413821675515123	354.09380385340892872
