# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.Coli_SFS.txt
# sampleSize: 61
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 6903
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-13488.956362858065404	6649.741624881988173	31682.533005429344485
1	0	0	0.01	-15714.613170209631789	6389.3312786499564027	30646.301381665674853
1	0	0	0.02	-11175.749685445451178	6133.3581779223577541	29610.069757901997946
1	0	0	0.03	-8941.0777748708496802	5882.4016123302299093	28573.838134138342866
1	0	0	0.04	-7721.0501149203628302	5637.1316073433454221	27539.438762103516638
1	0	0	0.05	-7085.2025090384413488	5398.3233163621544008	26521.354466828637669
1	0	0	0.06	-6831.6697052455274388	5166.8727812048036867	25504.886719370329956
1	0	0	0.07	-6848.1391985901282169	4943.81349628368298	24507.073001748092793
1	0	0	0.08	-7065.2152808831888251	4730.3326811783726953	23509.259284125844715
1	0	0	0.09	-7436.8543437156477012	4527.7853861371850144	22519.244454541232699
1	0	0	0.1	-7930.8901237582904287	4337.7034904332285805	21544.14692222731901
1	0	0	0.11	-8523.957292361126747	4161.7953431928390273	20643.784401509208692
1	0	0	0.12	-9198.5585120223695412	4001.9304374304720113	19784.11687211701792
1	0	0	0.13	-9941.2676049044821411	3860.1025651074505731	18934.38882642646422
1	0	0	0.14	-10741.575848256587051	3738.3651828000502064	18187.234115303061117
1	0	0	0.15	-11591.122161634964868	3638.7352894240643764	17449.349081137901521
1	0	0	0.16	-12483.162690167606343	3563.0678653001054954	17052.374258326268318
1	0	0	0.17	-13412.195259949367028	3512.9116924104864665	16766.653266725883441
1	0	0	0.18	-14373.687209048541263	3489.3670406422174892	16850.127495376385923
1	0	0	0.19	-15363.874108523770701	3492.9720825783847431	17138.720188918843633
1	0	0	0.2	-16379.608253884303849	3523.6434885966509682	17491.502385358431638
1	0	0.5	0	-24821.51115151704289	11316.908762450424547	44758.325550511901383
1	0	0.5	0.01	-24549.221080745512154	10985.409809638165825	43545.435650729530607
1	0	0.5	0.02	-18800.352968138002325	10657.802297764103059	42332.545750947087072
1	0	0.5	0.03	-15782.191016050288454	10334.456315415020072	41119.655851164701744
1	0	0.5	0.04	-13992.094820838537998	10015.784604147653226	39906.765951382287312
1	0	0.5	0.05	-12914.063558284309693	9702.2477561957311991	38693.876051599880157
1	0	0.5	0.06	-12303.407553240947891	9394.3599139586513047	37480.986151817494829
1	0	0.5	0.07	-12023.360398000106215	9092.6949386771793797	36268.096252035087673
1	0	0.5	0.08	-11989.274030088854488	8797.8929686125429726	35055.206352252695069
1	0	0.5	0.09	-12144.966671827132814	8510.6672189049149893	33842.316452470287913
1	0	0.5	0.1	-12451.200923899014015	8231.8107800888847123	32629.426552687873482
1	0	0.5	0.11	-12879.489938866172452	7962.2030438752744885	31416.536652905480878
1	0	0.5	0.12	-13408.512667803850491	7702.8152184165719518	30203.646753123073722
1	0	0.5	0.13	-14021.91614193568239	7454.7141897397623325	29322.70023148857581
1	0	0.5	0.14	-14706.904305813892279	7219.0637479391334637	28572.655726512079127
1	0	0.5	0.15	-15453.296784139471129	6997.1219460128604624	27872.883663116357639
1	0	0.5	0.16	-16252.880795018339995	6790.2331360863336158	27302.238342459844716
1	0	0.5	0.17	-17098.952689618803561	6599.8130990126537654	26989.755542512782995
1	0	0.5	0.18	-17985.986015605507419	6427.3257444957171174	26767.034689562729909
1	0	0.5	0.19	-18909.386291939415969	6274.2502256668067275	26633.168433521219413
1	0	0.5	0.2	-19865.306616141693667	6142.0380939201868387	26557.032334046547476
1	0	1	0	-31757.742546269204468	13859.272229555725062	51382.732430180694791
1	0	1	0.01	-29958.557743872865103	13502.808629089991882	50093.011856854544021
1	0	1	0.02	-23650.67239145108033	13150.576501730467498	48803.291283528378699
1	0	1	0.03	-20300.288859342108481	12802.925099173615308	47513.570710202213377
1	0	1	0.04	-18279.070231922145467	12460.237845859106528	46223.850136876026227
1	0	1	0.05	-17026.762224198377226	12122.935724025550371	44949.761426541139372
1	0	1	0.06	-16278.084220810444094	11791.480877119554862	43681.530060762364883
1	0	1	0.07	-15885.068393398658372	11466.380392052369643	42413.29869498356129
1	0	1	0.08	-15756.321756912162527	11148.190195191131352	41145.067329204801354
1	0	1	0.09	-15831.298992120835464	10837.518963038261063	39892.688309001605376
1	0	1	0.1	-16067.784540875989478	10535.031904717612633	38643.287957253312925
1	0	1	0.11	-16435.172768471587915	10241.454218311366276	37393.88760550506413
1	0	1	0.12	-16910.584421332459897	9957.5739561031132325	36586.932649683127238
1	0	1	0.13	-17476.489143003127538	9684.2439555137243588	35850.56559322951216
1	0	1	0.14	-18119.180989267420955	9422.382405829788695	35139.775572034639481
1	0	1	0.15	-18827.762950881093275	9172.9715319858769362	34470.051811762350553
1	0	1	0.16	-19593.448615083820187	8937.0537966771498759	34023.160058555913565
1	0	1	0.17	-20409.068734278494958	8715.7249678913849493	33751.009673050393758
1	0	1	0.18	-21268.714361060934607	8510.1233939523372101	33685.094353095955739
1	0	1	0.19	-22167.473476832034066	8321.414901193787955	33645.458533431010437
1	0	1	0.2	-23101.233143852849025	8150.772911109161214	33605.822713766028755
1	0	1.5	0	-36947.92688165535219	15666.208095002708433	55505.531558609553031
1	0	1.5	0.01	-34018.919323754846118	15293.238220756877126	54207.926350530993659
1	0	1.5	0.02	-27359.439320670731831	14924.745267378692006	52910.321142452470667
1	0	1.5	0.03	-23807.678861166757997	14561.069127433573158	51612.715934373889468
1	0	1.5	0.04	-21648.922651838627644	14202.579828682139123	50315.11072629532282
1	0	1.5	0.05	-20294.085285632521845	13849.680150267422505	49017.505518216792552
1	0	1.5	0.06	-19464.845059908635449	13502.808358181164294	47719.900310138233181
1	0	1.5	0.07	-19006.269306853006128	13162.441022441689711	46422.295102059659257
1	0	1.5	0.08	-18822.826650459552184	12829.09586054986903	45143.256276154323132
1	0	1.5	0.09	-18851.321807406435255	12503.334529137913705	43872.974295788269956
1	0	1.5	0.1	-19047.745424958178774	12185.765257640581694	42626.111126317140588
1	0	1.5	0.11	-19380.224344408663455	11877.045183863743659	41692.041665622047731
1	0	1.5	0.12	-19824.952486214169767	11577.882211492511487	41028.648064504908689
1	0	1.5	0.13	-20363.702619746793061	11289.036164583820209	40365.254463387740543
1	0	1.5	0.14	-20982.232549242966343	11011.318965764330642	39701.860862270572397
1	0	1.5	0.15	-21669.224485107173678	10745.59351663527741	39198.401991121427272
1	0	1.5	0.16	-22415.55630588013446	10492.770916308996675	38778.579177041348885
1	0	1.5	0.17	-23213.787070538615808	10253.805625130540648	38384.81376348149206
1	0	1.5	0.18	-24057.785207004460972	10029.688176220175592	38338.154212970825029
1	0	1.5	0.19	-24942.454302051803097	9821.435070543182519	38299.719742230372503
1	0	1.5	0.2	-25863.527244328055531	9630.0755758204431913	38261.28527148993453
1	0	2	0	-41131.134766441187821	17080.421453141214442	58594.028615310759051
1	0	2	0.01	-37306.044528572179843	16694.863478814182599	57262.677163643747917
1	0	2	0.02	-30398.534035237971693	16313.967394929690272	55931.32571197678044
1	0	2	0.03	-26707.901984709838871	15938.067441715884343	54623.249723569213529
1	0	2	0.04	-24455.359755466517527	15567.52553933371928	53336.266053079001722
1	0	2	0.05	-23031.096158793312497	15202.733474155258591	52053.488100418537215
1	0	2	0.06	-22147.567965182650369	14844.115156581850897	50770.710147758058156
1	0	2	0.07	-21644.970368223555852	14492.128915545645214	49502.778183622271172
1	0	2	0.08	-21424.899646859383211	14147.269780950482527	48251.004044359411637
1	0	2	0.09	-21422.332377870974597	13810.071688172529321	46999.229905096530274
1	0	2	0.1	-21592.027759454445913	13481.109518033123095	45779.20971616350289
1	0	2	0.11	-21901.245995580044109	13161.000861226742927	45108.622892334446078
1	0	2	0.12	-22325.549484132265206	12850.407368192192735	44438.036068505374715
1	0	2	0.13	-22846.237553112092428	12550.035514492959919	43767.449244676347007
1	0	2	0.14	-23448.704618282383308	12260.636579266585613	43096.862420847297471
1	0	2	0.15	-24121.348386353696696	11983.005602516195722	42674.471020260156365
1	0	2	0.16	-24854.820197754597757	11717.979059474719179	42255.075600565396599
1	0	2	0.17	-25641.496089573483914	11466.430971924562982	41842.455880629320745
1	0	2	0.18	-26475.09475314518204	11229.267173631722471	41718.878017171926331
1	0	2	0.19	-27350.395921649993397	11007.417467642622796	41712.965912076288078
1	0	2	0.2	-28263.029054614249617	10801.82546537363487	41712.96591207626625
1	0	2.5	0	-44647.196319800976198	18246.590650712136267	61054.367399050323002
1	0	2.5	0.01	-40081.960354577982798	17850.775041094526387	59744.165085039094265
1	0	2.5	0.02	-32987.553089629451279	17459.768403361307719	58433.962771027945564
1	0	2.5	0.03	-29193.936598664091434	17073.901129162226425	57139.338146100475569
1	0	2.5	0.04	-26872.394138223258778	16693.52960808300486	55859.075812260365637
1	0	2.5	0.05	-25397.30514064145973	16319.038137145935252	54578.81347842028481
1	0	2.5	0.06	-24474.170744146977086	15950.840874557239658	53298.551144580211258
1	0	2.5	0.07	-23939.538171227322891	15589.383805250663499	52018.288810740115878
1	0	2.5	0.08	-23692.864628818177152	15235.146674302821339	50738.026476900056878
1	0	2.5	0.09	-23667.770959831599612	14888.644830399172861	49457.764143059961498
1	0	2.5	0.1	-23818.106229098455515	14550.430905033936142	48438.887204354708956
1	0	2.5	0.11	-24110.491938099672552	14221.096234000538971	47764.546908134718251
1	0	2.5	0.12	-24520.026172209763899	13901.27190617409542	47090.206611914749374
1	0	2.5	0.13	-25027.660887589619961	13591.629301162129195	46415.866315694758669
1	0	2.5	0.14	-25618.524351383617613	13292.879953161977028	45799.979516288251034
1	0	2.5	0.15	-26280.806222871935461	13005.774555030759075	45382.515080145851243
1	0	2.5	0.16	-27004.992411052982789	12731.100896683612518	44998.600048876069195
1	0	2.5	0.17	-27783.325462362787221	12469.68051896014731	44627.142529042343085
1	0	2.5	0.18	-28609.414972795289941	12222.36386246429538	44469.869616498559481
1	0	2.5	0.19	-29477.950524791434873	11990.023705821226031	44446.668097169997054
1	0	2.5	0.2	-30384.486358094552997	11773.546724924475711	44446.668097169982502
1	0	3	0	-47684.822734417684842	19240.615659936262091	63166.079119642658043
1	0	3	0.01	-42491.226242463744711	18836.110072641524312	61862.960011453928018
1	0	3	0.02	-35249.691611590096727	18436.535078802575299	60559.840903265227098
1	0	3	0.03	-31375.982692860998213	18042.218270022563956	59256.721795076518902
1	0	3	0.04	-29001.101914400467649	17653.511997399316897	57953.602686887839809
1	0	3	0.05	-27486.873489967314526	17270.795086777990946	56650.483578699124337
1	0	3	0.06	-26533.320372850692365	16894.474580897611304	55347.364470510430692
1	0	3	0.07	-25974.132436189043801	16524.987477988710452	54044.245362321729772
1	0	3	0.08	-25707.098180942877661	16162.802426520585868	52741.126254133036127
1	0	3	0.09	-25664.784173075750005	15808.421324021044711	51438.007145944306103
1	0	3	0.1	-25800.333534948760644	15462.3807540997459	50594.400504542943963
1	0	3	0.11	-26079.87341974285664	15125.253180020250511	49918.331640077485645
1	0	3	0.12	-26478.143192652671132	14797.647795600449172	49242.26277561205643
1	0	3	0.13	-26975.826855164312292	14480.210915367655616	48595.353050356112362
