# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.DPGP3_SFS.txt
# sampleSize: 195
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 151138
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-1310601.532149951905	1247767.0712113461923	3402773.0530248568393
1	0	0	0.01	-1259892.5683531351388	1257806.8094894597307	3388544.5134690334089
1	0	0	0.02	-1259214.490382719785	1268010.3477308624424	3379692.3172730482183
1	0	0	0.03	-1316275.2662860229611	1278373.7637572225649	3378606.0519264200702
1	0	0	0.04	-1398287.7148594707251	1288893.2010561798234	3386944.7817915314808
1	0	0	0.05	-1494196.0812498964369	1299564.8708512641024	3409709.8518051323481
1	0	0	0.06	-1598849.4216541871428	1310385.0538403789978	3451487.9102014089003
1	0	0	0.07	-1709420.1162760294974	1321350.1016239484306	3496094.8188919462264
1	0	0	0.08	-1824191.6183407977223	1332456.4378435651306	3540701.727582486812
1	0	0	0.09	-1942048.8336199820042	1343700.5590516363736	3585308.6362730232067
1	0	0	0.1	-2062231.6824792511761	1355079.0353320261929	3629915.5449635600671
1	0	0	0.11	-2184203.5110384784639	1366588.5106910732575	3674522.4536540973932
1	0	0	0.12	-2307575.4095751419663	1378225.7032377128489	3719129.3623446347192
1	0	0	0.13	-2432060.091709844768	1389987.4051706755999	3763736.2710351683199
1	0	0	0.14	-2557442.4532689116895	1401870.4825899237767	3808343.179725704249
1	0	0	0.15	-2683560.0504615344107	1413871.875148691237	3853267.5774629786611
1	0	0	0.16	-2810289.73889176175	1425988.5955616275314	3901063.8328293426894
1	0	0	0.17	-2937538.2814329527318	1438217.7289836711716	3948860.088195704855
1	0	0	0.18	-3065235.5938711352646	1450556.4322734379675	3996656.3435620614327
1	0	0	0.19	-3193329.7915365211666	1463001.9331540605053	4044452.5989284235984
1	0	0	0.2	-3321783.4948818795383	1475551.5292835310102	4092248.8542947894894
1	0	0.5	0	-819760.66840061917901	964476.90429094608407	2552232.8374669686891
1	0	0.5	0.01	-686704.01511856168509	976195.49838635127526	2510405.2199223181233
1	0	0.5	0.02	-661914.60391416028142	988259.0428108451888	2472686.3502889014781
1	0	0.5	0.03	-705152.72286025062203	1000655.0618437605444	2444169.9055157434195
1	0	0.5	0.04	-777744.26923248171806	1013371.3546169416513	2448991.8901583068073
1	0	0.5	0.05	-866680.11022861301899	1026396.0173302080948	2492358.5803211624734
1	0	0.5	0.06	-965921.89278972893953	1039717.4610888051102	2537441.3932516779751
1	0	0.5	0.07	-1072164.6378877274692	1053324.4257412287407	2582524.2061821962707
1	0	0.5	0.08	-1183405.8843728043139	1067205.9900983185507	2627607.0191127103753
1	0	0.5	0.09	-1298345.9907950311899	1081351.5789089493919	2672758.7140593510121
1	0	0.5	0.1	-1416099.0075159780681	1095750.9669557786547	2723636.4253137609921
1	0	0.5	0.11	-1536038.72262872383	1110394.2806177765597	2774514.1365681695752
1	0	0.5	0.12	-1657710.3407380357385	1125271.997226145817	2825391.8478225790896
1	0	0.5	0.13	-1780776.7812037728727	1140374.9425177986268	2876269.5590769900009
1	0	0.5	0.14	-1904984.4665961079299	1155694.2864668515977	2927147.2703314004466
1	0	0.5	0.15	-2030140.6778409592807	1171221.5377503444906	2978024.98158580577
1	0	0.5	0.16	-2156098.0796515718102	1186948.5370802455582	3028902.6928402143531
1	0	0.5	0.17	-2282743.8570030853152	1202867.4496103450656	3079780.4040946257301
1	0	0.5	0.18	-2409991.9112308472395	1218970.7566040111706	3130658.1153490329161
1	0	0.5	0.19	-2537777.1420520059764	1235251.2465275707655	3181842.0095378607512
1	0	0.5	0.2	-2666051.185730881989	1251702.0057140530553	3237259.7131375032477
1	0	1	0	-681620.67180290818214	820721.661190370447	2172301.3018106208183
1	0	1	0.01	-502323.98323626071215	833027.35717259685043	2114038.5908863744698
1	0	1	0.02	-467582.0443110242486	845834.55259085516445	2062300.8512155837379
1	0	1	0.03	-505354.06763608381152	859120.81968889315613	2015461.7233252706937
1	0	1	0.04	-574290.51899626478553	872864.28223234799225	2015478.0476885952521
1	0	1	0.05	-660547.55762130022049	887043.68972379271872	2065102.6037789506372
1	0	1	0.06	-757719.55742713063955	901638.47503771795891	2114727.1598693090491
1	0	1	0.07	-862308.11208172142506	916628.79715052293614	2164351.7159596672282
1	0	1	0.08	-972196.71198464557528	931995.57068186777178	2213976.2720500235446
1	0	1	0.09	-1086013.0101219750941	947720.48394205223303	2263600.8281403821893
1	0	1	0.1	-1202821.9720268920064	963786.0071114487946	2313225.384230740834
1	0	1	0.11	-1321962.7604439929128	980175.39207635284401	2362849.9403210962191
1	0	1	0.12	-1442955.2933128029108	996872.66532289201859	2412474.4964114557952
1	0	1	0.13	-1565443.499233212322	1013862.6151563308667	2462099.0525018125772
1	0	1	0.14	-1689159.2066874913871	1031130.7743749261135	2511723.6085921688937
1	0	1	0.15	-1813898.2647084034979	1048663.3993909414858	2565769.470085373614
1	0	1	0.16	-1939504.2382031418383	1066447.446660655085	2621563.465258047916
1	0	1	0.17	-2065856.9698839373887	1084470.5471628205851	2677357.460430723615
1	0	1	0.18	-2192864.3687082752585	1102720.9795528317336	2733151.4556033974513
1	0	1	0.19	-2320456.3963451646268	1121187.642518423032	2788945.4507760740817
1	0	1	0.2	-2448580.586976967752	1139860.0267725044396	2844739.4459487488493
1	0	1.5	0	-618935.35901607200503	719073.46610039449297	1946624.0744668683037
