# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Emys_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 14
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-63.797305106432077082	37.903196250034213222	113.12397604730614376
1	0	0	0.01	-67.155980346831711358	38.940630370499796697	113.98498317186454187
1	0	0	0.02	-68.599173970716265103	40.081611453151872126	114.84599029642296841
1	0	0	0.03	-74.137109133863532406	41.317562065751602063	117.23865943519182053
1	0	0	0.04	-81.352383380117771594	42.640224774024083843	120.85012056141117398
1	0	0	0.05	-89.473819975826017981	44.041787859345802758	124.46158168763054164
1	0	0	0.06	-98.151926065829684376	45.514963059000749013	128.0730428138499235
1	0	0	0.07	-107.19762480524173043	47.053024578905038311	131.68450394006927695
1	0	0	0.08	-116.49701018349492188	48.649818675203114537	135.29596506628865882
1	0	0	0.09	-125.97637316293980803	50.299752162247308718	138.96298420703479337
1	0	0	0.1	-135.58556338523681006	51.997766811499921857	142.76586887183128738
1	0	0	0.11	-145.2892003811084578	53.739305117660386202	147.59960434642641758
1	0	0	0.12	-155.06165342534063711	55.520271532307383211	153.48126218809466081
1	0	0	0.13	-164.88399456060710691	57.336992098117079308	159.371455808400043
1	0	0	0.14	-174.74205741506489176	59.186174483946842884	165.26164942870542518
1	0	0	0.15	-184.62515066109767758	61.064869708983394503	171.15184304901080736
1	0	0	0.16	-194.52517694422772365	62.970436320961738375	177.0420366693161327
1	0	0	0.17	-204.43601264651329075	64.900507422328630014	182.93223028962148646
1	0	0	0.18	-214.35306093271651662	66.852960684216753862	188.8224239099268118
1	0	0	0.19	-224.27292314860142142	68.825891321227260278	194.71261753023216556
1	0	0	0.2	-234.19315302360814712	70.817587896112399903	200.60281115053757617
1	0	0.5	0	-62.327058047738091773	32.288181349648773732	101.85035467333402437
1	0	0.5	0.01	-63.148597129121981197	31.034225479623206212	97.917987127081005383
1	0	0.5	0.02	-62.866276781585611388	30.011361693179779309	94.426860038137533593
1	0	0.5	0.03	-67.137640768379924339	29.243848815504779992	91.691797709851314835
1	0	0.5	0.04	-73.379809893919855313	28.752143219520494455	90.228527732405567008
1	0	0.5	0.05	-80.731612630964491473	28.550498580480397237	91.101886356188956029
1	0	0.5	0.06	-88.78955810872685106	28.645041141158881004	91.975244979972387682
1	0	0.5	0.07	-97.329799109693567516	29.032877536851795952	94.427346518717399704
1	0	0.5	0.08	-106.21481432604696238	29.702521062486589187	98.909126094570424925
1	0	0.5	0.09	-115.35417378183706205	30.635497713788854668	103.39090567042349278
1	0	0.5	0.1	-124.68548646347699105	31.808644519723586086	107.872685246276518
1	0	0.5	0.11	-134.16416419743427468	33.196508784798410829	112.35446482212955743
1	0	0.5	0.12	-143.75749273121687111	34.773390805653839664	116.8362443979826395
1	0	0.5	0.13	-153.44099172549385912	36.514810749239018151	121.31802397383570735
1	0	0.5	0.14	-163.19607374460474603	38.398389071538240103	125.79980354968871836
1	0	0.5	0.15	-173.00848049722844735	40.404249106154559001	130.37543586310928845
1	0	0.5	0.16	-182.86720483906083246	42.51508663617695305	135.90657179990228087
1	0	0.5	0.17	-192.76372765040150625	44.716037624520694749	141.58847233861388304
1	0	0.5	0.18	-202.69146525649557589	46.994442578883123929	147.27037287732542836
1	0	0.5	0.19	-212.64536144638418591	49.339572647812978801	152.95227341603700211
1	0	0.5	0.2	-222.62158114228827799	51.742356035883837251	158.6341739547486327
1	0	1	0	-71.191201865071207067	46.267636015213732037	135.23485819800200147
1	0	1	0.01	-70.303027722021397494	44.314820835212628936	130.03527805196520717
1	0	1	0.02	-69.040955731858275612	42.512336681830973362	125.5066047973317751
1	0	1	0.03	-72.653405029766418011	40.880073580087497476	121.42235281245939404
1	0	1	0.04	-78.413218434972350224	39.439171935387392409	118.29521092784545999
1	0	1	0.05	-85.393494647075385728	38.211285914718850165	119.04891612850502725
1	0	1	0.06	-93.155783634121462455	37.217505032382234731	119.91422444201366204
1	0	1	0.07	-101.45559843119895049	36.476968235943978414	120.77953275552232526
1	0	1	0.08	-110.14228074452171313	36.005304662068837729	121.64484106903093164
1	0	1	0.09	-119.1165523045210648	35.813139169896700764	122.51014938253956643
1	0	1	0.1	-128.30979446956507672	35.90495971127171515	123.37545769604822965
1	0	1	0.11	-137.67287969631911437	36.278610058895068846	124.2407660095568076
1	0	1	0.12	-147.16968959123437344	36.925535676741951363	125.1060743230654424
1	0	1	0.13	-156.77313062073562833	37.831720070530586497	125.97138263657410562
1	0	1	0.14	-166.46256996558167884	38.979085715897596742	126.83669095008269778
1	0	1	0.15	-176.22212213980947126	40.347062151676666986	128.42830063567262755
1	0	1	0.16	-186.03946770649099562	41.914054284534323358	131.75697671920937637
1	0	1	0.17	-195.90501704133794192	43.658638207509220308	137.57184533109909808
1	0	1	0.18	-205.81130485336848324	45.56041763387533905	143.38671394298867767
1	0	1	0.19	-215.75254318859015257	47.600555050164672366	149.20158255487831411
1	0	1	0.2	-225.72428583394093948	49.762036217040375163	155.01645116676797898
1	0	1.5	0	-80.264774711206428037	57.965437606584004016	158.66292640090506438
1	0	1.5	0.01	-78.046526850045893298	55.760799569791764441	152.06578371848283382
