# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Gorilla_gorilla_SFS.txt
# sampleSize: 53
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 42
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-431078.44476561993361	434873.74310810654424	2178272.6434331727214
1	0	0	0.01	-583180.68665888532996	438104.38199373352109	2150308.3127327184193
1	0	0	0.02	-756960.58965929225087	444404.58275592222344	2126929.7532418896444
1	0	0	0.03	-942298.47042253613472	453646.47403227788163	2109384.3403700245544
1	0	0	0.04	-1134683.8412442095578	465654.9368410797324	2140022.514454621356
1	0	0	0.05	-1331642.3568944260478	480222.47300820949022	2216512.3040390051901
1	0	0	0.06	-1531669.2999533526599	497124.16309697675752	2336173.3969865757972
1	0	0	0.07	-1733786.6900278627872	516130.74899943475612	2457124.8881643707864
1	0	0	0.08	-1937329.572657700628	537018.78287976491265	2578076.3793421643786
1	0	0	0.09	-2141831.5613310411572	559577.61109939811286	2699027.8705199598335
1	0	0	0.1	-2346958.6256296671927	583613.51860358181875	2819979.3616977552883
1	0	0	0.11	-2552468.4471985660493	608951.62527502677403	2940930.8528755512089
1	0	0	0.12	-2758184.2682656086981	635436.17407922109123	3061882.3440533471294
1	0	0	0.13	-2963977.4105098322034	662929.77554706216324	3182833.8352311416529
1	0	0	0.14	-3169755.2159787192941	691312.0495553490473	3304482.9090848490596
1	0	0	0.15	-3375452.5065405033529	720477.97953098802827	3428015.1337334699929
1	0	0	0.16	-3581025.3994123451412	750336.18778037850279	3551547.3583820909262
1	0	0	0.17	-3786446.7434519939125	780807.25980976037681	3675079.5830307118595
1	0	0	0.18	-3991702.6967733465135	811822.18855212407652	3798611.8076793341897
1	0	0	0.19	-4196790.1247187294066	843320.97166772349738	3922144.0323279541917
1	0	0	0.2	-4401714.5982743911445	875251.37146920536179	4045676.2569765769877
1	0	0.5	0	-456245.13375240564346	750243.19178001116961	1925489.6905706350226
1	0	0.5	0.01	-498660.93449932336807	721059.2555896025151	1837246.155253760051
1	0	0.5	0.02	-616234.02990499138832	693803.78966084087733	1751491.1853288963903
1	0	0.5	0.03	-764604.841651648283	668712.63801516150124	1688952.7645124823321
1	0	0.5	0.04	-930061.7605012729764	646038.02608808397781	1632449.6497805824038
1	0	0.5	0.05	-1106294.309091117233	626042.58264076465275	1620425.6397207053378
1	0	0.5	0.06	-1289826.1662348471582	608990.26644470111933	1658621.7385851293802
1	0	0.5	0.07	-1478530.0210277624428	595134.11865427182056	1715765.7253329905216
1	0	0.5	0.08	-1671011.6902807690203	584701.41009368642699	1797308.3544427447487
1	0	0.5	0.09	-1866313.0125818736851	577877.5856198547408	1893623.1879450441338
1	0	0.5	0.1	-2063752.7163557000458	574791.19180382299237	1991317.2110224892385
1	0	0.5	0.11	-2262834.3558497391641	575502.36281515390147	2089616.7017791674007
1	0	0.5	0.12	-2463189.7932939305902	579997.12952180218417	2187961.6649478008039
1	0	0.5	0.13	-2664542.8303637951612	588188.75891874555964	2287759.4086044691503
1	0	0.5	0.14	-2866684.8932566531003	599925.8347498945659	2387557.1522611379623
1	0	0.5	0.15	-3069458.2541538141668	615005.40119537198916	2487354.8959178067744
1	0	0.5	0.16	-3272744.1420009844005	633188.6962160198018	2587152.6395744774491
1	0	0.5	0.17	-3476454.1262979544699	654216.9760478126118	2687837.1126529285684
1	0	0.5	0.18	-3680523.7517649792135	677825.5112487905426	2788942.0074712750502
1	0	0.5	0.19	-3884907.7576631270349	703754.6737801207928	2890046.9022896219976
1	0	0.5	0.2	-4089576.4359370209277	731757.81734955403954	2991151.7971079698764
1	0	1	0	-679303.64567277207971	1064762.4779071004596	2341937.4395893886685
1	0	1	0.01	-653349.23694050684571	1030489.4202675207052	2248902.5093298130669
1	0	1	0.02	-743694.55136197432876	997686.52767352841329	2156402.00675398577
1	0	1	0.03	-875474.38279462605715	966503.50284558336716	2064557.7266704898793
1	0	1	0.04	-1029292.3724086470902	937102.06798291334417	1972813.8951020764653
1	0	1	0.05	-1196758.0986169874668	909654.99059614550788	1945365.7396429828368
1	0	1	0.06	-1373400.2207739651203	884344.25949889200274	1945073.783781401813
1	0	1	0.07	-1556538.0684086419642	861358.2228053342551	1960716.1597589922603
1	0	1	0.08	-1744438.1681620106101	840887.54181140847504	1988012.7404181649908
1	0	1	0.09	-1935919.5292637869716	823119.90575277258176	2023740.3176329489797
1	0	1	0.1	-2130146.8705440275371	808233.59977968165185	2096920.4973141385708
1	0	1	0.11	-2326513.0208529941738	796390.21570630918723	2177014.8357037864625
1	0	1	0.12	-2524567.7032808586955	787727.01542235456873	2268441.4270684192888
1	0	1	0.13	-2723972.2178072333336	782349.65154541330412	2374155.9796430207789
1	0	1	0.14	-2924469.42430665344	780326.05685943760909	2480852.8978399117477
1	0	1	0.15	-3125863.1914152428508	781682.27819742518477	2587549.8160368022509
1	0	1	0.16	-3328003.9310357831419	786400.82933297136333	2694246.7342336927541
1	0	1	0.17	-3530778.1746831946075	794421.79979957931209	2800943.6524305823259
1	0	1	0.18	-3734100.9102370105684	805646.55954802618362	2907640.5706274718978
1	0	1	0.19	-3937909.8501613549888	819943.54264174122363	3014503.1219726838171
1	0	1	0.2	-4142161.0801963992417	837155.36110196169466	3121603.9239083928987
1	0	1.5	0	-900871.2266342304647	1296611.3981902371161	2868307.903382231947
1	0	1.5	0.01	-823967.29735740274191	1259720.0727570070885	2772606.2909409431741
1	0	1.5	0.02	-896832.69788064807653	1224147.2450405103154	2676904.6784996520728
1	0	1.5	0.03	-1018321.1004826873541	1190011.1618875220884	2581203.0660583600402
1	0	1.5	0.04	-1165040.7412131801248	1157438.9510193543974	2485501.4536170684732
1	0	1.5	0.05	-1327213.9691541157663	1126566.2684902066831	2471640.5626353812404
1	0	1.5	0.06	-1499723.8300999104977	1097536.5421280439477	2471640.5626353807747
1	0	1.5	0.07	-1679537.08201463148	1070499.7138514760882	2486659.7772525926121
1	0	1.5	0.08	-1864706.9606679007411	1045610.3889351285761	2509640.2289698361419
1	0	1.5	0.09	-2053913.8715713992715	1023025.3201095863478	2538984.9122673352249
1	0	1.5	0.1	-2246227.5644692517817	1002900.1933217699407	2576037.8425400750712
