# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.GreatTit_SFS.txt
# sampleSize: 53
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 143760
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-509654.83387273550034	1157196.9135512867942	3056321.9766585687175
1	0	0	0.01	-494004.66151375323534	1182916.9219287005253	3008716.7825439842418
1	0	0	0.02	-648134.56249418109655	1210421.7206006308552	2966663.238249455113
1	0	0	0.03	-858455.57716868817806	1239592.5093683742452	2946431.1779868360609
1	0	0	0.04	-1094740.2297281846404	1270314.5228353668936	2974397.5477431216277
1	0	0	0.05	-1346132.3548841997981	1302477.99775450374	3093048.9051435030997
1	0	0	0.06	-1607268.0497994571924	1335978.8293257448822	3217819.2176150935702
1	0	0	0.07	-1875055.4802910462022	1370718.9647197811864	3351833.8690399178304
1	0	0	0.08	-2147542.6595641002059	1406606.5825746080372	3487776.6138037671335
1	0	0	0.09	-2423421.9928743466735	1443556.1042459835298	3623719.3585676182993
1	0	0	0.1	-2701781.2334215715528	1481488.0776210578624	3759662.1033314689994
1	0	0	0.11	-2981965.6042527034879	1520328.968422526028	3903828.699378718622
1	0	0	0.12	-3263495.8114680871367	1560010.887904294068	4048843.7554026171565
1	0	0	0.13	-3546016.5317174121737	1600471.2801543974783	4193858.8114265194163
1	0	0	0.14	-3829262.599168330431	1641652.5871456603054	4339087.2527751456946
1	0	0	0.15	-4113036.0070930942893	1683501.9053238090128	4491665.8509698258713
1	0	0	0.16	-4397189.798425540328	1725970.6439101505093	4644244.44916450046
1	0	0	0.17	-4681616.500307187438	1769014.1921743361745	4796823.0473591778427
1	0	0	0.18	-4966239.6459705382586	1812591.6006240043789	4949401.6455538533628
1	0	0	0.19	-5251007.4484272748232	1856665.2792722312734	5101980.2437485307455
1	0	0	0.2	-5535888.0075713172555	1901200.7147908525076	5254558.8419432081282
1	0	0.5	0	-490628.41652972996235	431278.58719449961791	2012349.9362381256651
1	0	0.5	0.01	-324784.93907221406698	414380.59239398036152	1860115.081209209282
1	0	0.5	0.02	-398924.77782315015793	407958.30258994078031	1707880.2261802942958
1	0	0.5	0.03	-555168.65864815562963	412501.30141651903978	1555645.3711513786111
1	0	0.5	0.04	-751140.08248837292194	427660.2815407984308	1415935.2759721814655
1	0	0.5	0.05	-970839.0912784487009	452369.26825743279187	1364449.7649966091849
1	0	0.5	0.06	-1206225.180059030652	485171.35018357378431	1343206.9830293338746
1	0	0.5	0.07	-1452629.9422152638435	524550.44460291473661	1340359.6741443553474
1	0	0.5	0.08	-1707092.0699905082583	569142.99130030162632	1351733.3643007099163
1	0	0.5	0.09	-1967617.868221193552	617821.1439230395481	1377007.984308087267
1	0	0.5	0.1	-2232807.1321538165212	669694.58182776649483	1413518.0012938438449
1	0	0.5	0.11	-2501645.5922131463885	724076.89211819064803	1474558.4403181662783
1	0	0.5	0.12	-2773381.5315740033984	780443.78669356228784	1574470.5469936733134
1	0	0.5	0.13	-3047448.3851177990437	838395.07894346048124	1725779.2272772486322
1	0	0.5	0.14	-3323414.0428934767842	897623.95150954637211	1898723.3769700517878
1	0	0.5	0.15	-3600946.4500477612019	957893.4460416729562	2076667.7820775047876
1	0	0.5	0.16	-3879789.5672772154212	1019018.9376721841982	2261322.2653678124771
1	0	0.5	0.17	-4159746.1488249897957	1080855.2088131320197	2458903.6731666475534
1	0	0.5	0.18	-4440665.1404905468225	1143286.9347724509425	2665064.9775771601126
1	0	0.5	0.19	-4722432.2890304327011	1206221.6602860656567	2879368.0525963990949
1	0	0.5	0.2	-5004963.0339099019766	1269584.584808801068	3108266.798522584606
1	0	1	0	-757084.46916105598211	553790.24357727973256	2361461.4752388154157
1	0	1	0.01	-497934.067493095994	493756.1380198210245	2127087.4085154924542
1	0	1	0.02	-533037.17097473144531	437925.22186011617305	1894223.8558994880877
1	0	1	0.03	-664794.47871946543455	388115.65571145399008	1662786.1161716203205
1	0	1	0.04	-843197.52115369588137	346930.70004476234317	1466501.7799788648263
1	0	1	0.05	-1049400.9121983796358	317741.9475248476956	1345397.0534381386824
1	0	1	0.06	-1273984.0192706510425	304024.44960616913158	1283265.5906245338265
1	0	1	0.07	-1511502.3879183083773	307853.33010689093499	1299232.6534791770391
1	0	1	0.08	-1758514.429854169488	328615.83333063492319	1332445.2151518675964
1	0	1	0.09	-2012708.4479294195771	363421.16769856680185	1380656.5882825923618
1	0	1	0.1	-2272462.8378279060125	408697.21127664798405	1453413.723758478649
1	0	1	0.11	-2536603.0854560360312	461371.60948344576173	1549882.2092750298325
1	0	1	0.12	-2804257.8554307445884	519197.45735846826574	1661115.0280791905243
1	0	1	0.13	-3074769.021241851151	580637.6870095229242	1782541.5644168725703
1	0	1	0.14	-3347632.9191779568791	644659.70370588230435	1920660.0667475229129
1	0	1	0.15	-3622460.5974009186029	710565.99253458529711	2069142.5432872697711
1	0	1	0.16	-3898950.1062414944172	777877.76164978602901	2220226.196640167851
1	0	1	0.17	-4176866.6906346231699	846259.70041708834469	2400253.6399112427607
1	0	1	0.18	-4456028.3241476491094	915472.02862177870702	2620540.8594194529578
1	0	1	0.19	-4736294.9473341777921	985339.77692258369643	2843395.5904871048406
1	0	1	0.2	-5017560.3330787345767	1055732.8274430690799	3068401.8850441062823
1	0	1.5	0	-1027080.0529338717461	814242.32126865012106	2971940.1230418276973
1	0	1.5	0.01	-698467.91308476030827	749475.80436222197022	2746065.298522955738
1	0	1.5	0.02	-708377.96405003219843	687520.03529853117652	2520539.9711053930223
1	0	1.5	0.03	-824861.19672979414463	629205.85707893536892	2299349.4462603069842
1	0	1.5	0.04	-992493.18997985869646	575641.04810292669572	2133722.7853064169176
1	0	1.5	0.05	-1190510.9329021349549	528272.29339866561349	2034312.4832634481136
1	0	1.5	0.06	-1408588.8605284616351	488903.88597083982313	1966232.4676361572929
1	0	1.5	0.07	-1640782.8692761659622	459596.34190792130539	1926829.699294251157
1	0	1.5	0.08	-1883346.2964434474707	442353.90730268176412	1899486.7808805711102
1	0	1.5	0.09	-2133767.5889141336083	438601.81845246459125	1886898.9416341744363
