# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.HEPY_SFS.txt
# sampleSize: 69
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 8235
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-17338.509827401183429	3970.0479277015542721	16875.317712469579419
1	0	0	0.01	-28581.20037887741637	3900.7170555111838439	16619.673426902820211
1	0	0	0.02	-21886.304635779684759	3832.6692427261991725	16364.029141336053726
1	0	0	0.03	-17923.427473027870292	3765.9740412273336005	16108.38485576929088
1	0	0	0.04	-15155.420471684628865	3700.7045832289809368	15852.740570202517119
1	0	0	0.05	-13072.57331599239842	3636.9376298667789342	15597.09628463575973
1	0	0	0.06	-11437.584569351340178	3574.7535877071463801	15341.45199906898597
1	0	0	0.07	-10119.288621269501164	3514.2364860925890753	15085.807713502221304
1	0	0	0.08	-9037.0773196237714728	3455.4739075297334239	14832.818802872781816
1	0	0	0.09	-8137.6852609735215083	3398.5568627181096417	14581.320406663100584
1	0	0	0.1	-7384.0012009035563096	3343.5796013723156648	14332.329969509912189
1	0	0	0.11	-6749.1029006626631599	3290.6393497879535062	14084.25559015748513
1	0	0	0.12	-6212.8275432683440158	3239.8359662346892947	13840.251648824871154
1	0	0	0.13	-5759.6806135379010811	3191.2715058292942558	13596.737558294542396
1	0	0	0.14	-5377.4993331034638686	3145.0496876525216976	13353.223467764211819
1	0	0	0.15	-5056.5646590643736999	3101.27525862565426	13110.232019667957502
1	0	0	0.16	-4788.9918854239658685	3060.0532511378214622	12872.251693755417364
1	0	0	0.17	-4568.3007759161118884	3021.4881346630863845	12634.271367842880863
1	0	0	0.18	-4389.1050785370025551	2985.6828656264938218	12396.291041930344363
1	0	0	0.19	-4246.8836074664286571	2952.737844502383723	12161.045559480566226
1	0	0	0.2	-4137.8083909256529296	2922.749794404693148	11928.085011368026244
1	0	0.5	0	-22442.030858928745147	4378.7144910630031518	17769.277377058413549
1	0	0.5	0.01	-31277.212231468889513	4263.5786136064780294	17316.664055129771441
1	0	0.5	0.02	-23575.630929436563747	4148.9718584301353985	16864.050733201125695
1	0	0.5	0.03	-19008.162496265518712	4034.9393127001458197	16411.910272052722576
1	0	0.5	0.04	-15821.788730142783606	3921.5310683183811307	15959.979815315453379
1	0	0.5	0.05	-13426.107309527229518	3808.8028919707494424	15508.049358578187821
1	0	0.5	0.06	-11545.409926535576233	3696.8169967511844334	15056.424756506479753
1	0	0.5	0.07	-10027.454450721037574	3585.6429315448303896	14605.539693832737612
1	0	0.5	0.08	-8778.9133328683092259	3475.3586066896214106	14154.654631159006385
1	0	0.5	0.09	-7738.3022066423145588	3366.0514768985790397	13703.76956848527152
1	0	0.5	0.1	-6862.9173964066576445	3257.8199048836081602	13252.884505811534837
1	0	0.5	0.11	-6121.8742528677830705	3150.7747313424101776	12801.999443137799972
1	0	0.5	0.12	-5492.1094849973014789	3045.0410785671006124	12351.114380464063288
1	0	0.5	0.13	-4955.9477610331086908	2940.7604152908502329	11901.903812573333198
1	0	0.5	0.14	-4499.5493843178701354	2838.0929085580310129	11454.217019696814532
1	0	0.5	0.15	-4111.881071829906432	2737.2200829597936718	11007.293742270516304
1	0	0.5	0.16	-3784.0111333376553375	2638.3477964428252562	10698.792409847284944
1	0	0.5	0.17	-3508.613342845972511	2541.7095221358922572	10400.611131301831847
1	0	0.5	0.18	-3279.6093385107815266	2447.5698932457639785	10104.101300695616374
1	0	0.5	0.19	-3091.9055021107487846	2356.2284178778490968	9808.2256156706098409
1	0	0.5	0.2	-2941.195819098255015	2268.0231964405661529	9514.0636501827357279
1	0	1	0	-25165.107927454868332	4787.1651556735587292	18686.560941368217755
1	0	1	0.01	-32552.027996073040413	4654.3581088409746371	18208.754672921255406
1	0	1	0.02	-24415.887611368641956	4521.7756319890240775	17730.948404474282142
1	0	1	0.03	-19611.539760410683812	4389.438074496902118	17253.142136027319793
1	0	1	0.04	-16269.397897812028532	4257.3682759086905207	16775.335867580357444
1	0	1	0.05	-13761.003257737465901	4125.5919510612939121	16297.529599133395095
1	0	1	0.06	-11793.833163571282057	3994.1381472962448242	15819.723330686430927
1	0	1	0.07	-10206.859069100260967	3863.0397895685391632	15341.917062239459483
1	0	1	0.08	-8901.6354402128636139	3732.3343332249514788	14864.11079379250441
1	0	1	0.09	-7813.4595693279698025	3602.0645492865714914	14386.304525345542061
1	0	1	0.1	-6897.4851376971491845	3472.2794735680104168	13908.498256898577893
1	0	1	0.11	-6121.3364507047808729	3343.0355593343206237	13430.691988451606449
1	0	1	0.12	-5460.8752610182273202	3214.3980840062508832	12952.885720004649556
1	0	1	0.13	-4897.6285194069205318	3086.4428744154192827	12475.079451557679931
1	0	1	0.14	-4417.1501179166079964	2959.2584332352093952	11997.273183110710306
1	0	1	0.15	-4007.9363058304297738	2832.9485726703596811	11519.466914663751595
1	0	1	0.16	-3660.6839737569825957	2707.6356917417242585	11041.660646216785608
1	0	1	0.17	-3367.7692161933373427	2583.4648722345091301	10563.854377769817802
1	0	1	0.18	-3122.871931071189465	2460.6090173010002218	10086.351880028256346
1	0	1	0.19	-2920.6999036252236692	2339.2753170701485033	9609.6498141653937637
1	0	1	0.2	-2756.7822899806924397	2219.7133970766640232	9132.9477483025366382
1	0	1.5	0	-27093.685305179227726	5134.5740467781988627	19239.597183035628404
1	0	1.5	0.01	-33416.603207038744586	4991.4886436666192822	18750.573223872510425
1	0	1.5	0.02	-25016.385215644797427	4848.5182555669916837	18261.549264709388808
1	0	1.5	0.03	-20073.705834511943976	4705.6733658413777448	17772.525305546259915
1	0	1.5	0.04	-16642.395526244887151	4562.9657607876524708	17283.50134638313466
1	0	1.5	0.05	-14070.289310680323979	4420.4087366397398	16794.477387220016681
1	0	1.5	0.06	-12054.677124152993201	4278.0173469155579369	16305.453428056891426
1	0	1.5	0.07	-10429.301730778533965	4135.8086994889999914	15816.429468893771627
1	0	1.5	0.08	-9092.7110621226602234	3993.8023153050939982	15327.405509730651829
1	0	1.5	0.09	-7978.3304737287107855	3852.0205639914165658	14838.381550567528393
1	0	1.5	0.1	-7040.0772562406928046	3710.4891960222921625	14349.357591404404957
1	0	1.5	0.11	-6244.7209638987114886	3569.2379969529256414	13860.333632241277883
1	0	1.5	0.12	-5567.5105495401512599	3428.3015971025506587	13371.309673078158085
1	0	1.5	0.13	-4989.5203929442795925	3287.7204806990876023	12882.28571391503101
1	0	1.5	0.14	-4495.961797232972458	3147.5422530014689073	12393.261754751907574
1	0	1.5	0.15	-4075.0662155738536967	3007.8232438692057258	11904.237795588785957
1	0	1.5	0.16	-3717.3221894447924569	2868.6305539401814713	11415.21383642566434
1	0	1.5	0.17	-3414.9393327493453398	2730.0446883425579472	10926.431839408160158
1	0	1.5	0.18	-3161.4627182138210628	2592.1629775931646691	10437.679698314976122
1	0	1.5	0.19	-2951.4896456834103446	2455.1040632060567077	9948.9275572217975423
1	0	1.5	0.2	-2780.4577822618884966	2319.0138370967279116	9460.1754161286135059
1	0	2	0	-28596.889971469441662	5433.4057665936243211	19650.651598393604218
1	0	2	0.01	-34079.21086149236362	5283.3065323099144734	19155.789238318298885
1	0	2	0.02	-25496.85998394661874	5133.2911480997490798	18660.926878242993553
1	0	2	0.03	-20461.022048818442272	4983.3671864397829268	18166.064518167691858
1	0	2	0.04	-16970.368900064306217	4833.5431544080738604	17671.202158092386526
1	0	2	0.05	-14356.178915929369396	4683.8286415154461793	17177.167503091270191
1	0	2	0.06	-12308.739499736766447	4534.2344963125333379	16683.732306873760535
1	0	2	0.07	-10658.236272780079162	4384.7730384748083452	16190.488404220443044
1	0	2	0.08	-9301.1869684774428606	4235.4583148976371376	15697.244501567136467
1	0	2	0.09	-8169.7601264402328525	4086.3064107394470739	15204.0005989138117
1	0	2	0.1	-7217.0467486768320668	3937.3358295400666975	14710.756696260501485
1	0	2	0.11	-6409.247337762688403	3788.5679608031991847	14217.512793607180356
1	0	2	0.12	-5721.2042011316661956	3640.0276591784195261	13724.268890953862865
1	0	2	0.13	-5133.6922447977703996	3491.743967197226084	13231.024988300543555
1	0	2	0.14	-4631.6966363001993159	3343.7510242611365356	12738.849607214220669
1	0	2	0.15	-4203.2744272761774482	3196.0892194917605593	12248.131107182687629
1	0	2	0.16	-3838.777206147016841	3048.806666971584491	11757.412607151156408
1	0	2	0.17	-3530.305350441209157	2901.961111576823896	11267.421727856946745
1	0	2	0.18	-3271.3156109858828131	2755.6224161798531895	10778.11692732985648
1	0	2	0.19	-3056.3330179224140011	2609.8758428163705503	10290.668179131413126
1	0	2	0.2	-2880.7354760352463927	2464.8264312512765173	9804.3087317852114211
1	0	2.5	0	-29831.249188440357102	5695.0330212670496621	20016.776939330669848
1	0	2.5	0.01	-34620.78988341819786	5539.6978234292928391	19517.943620856625785
1	0	2.5	0.02	-25903.420075030138833	5384.4498653966338679	19019.598034967231797
1	0	2.5	0.03	-20799.648154829628766	5229.2969171304357587	18521.62849667739647
1	0	2.5	0.04	-17266.072440135700163	5074.2476938485515348	18023.780768503431318
1	0	2.5	0.05	-14621.600967091100756	4919.3120033214281648	17527.563617340383644
1	0	2.5	0.06	-12551.34487687255023	4764.500921397185266	17033.289877793828055
1	0	2.5	0.07	-10882.878593938614358	4609.8270022251863338	16539.016138247261551
1	0	2.5	0.08	-9511.2370361746143317	4455.3045313841021198	16044.742398700713238
1	0	2.5	0.09	-8367.6743600271875039	4300.9498323947491372	15551.398552086948257
1	0	2.5	0.1	-7404.6822977863630513	4146.781640098563912	15059.018110711258487
1	0	2.5	0.11	-6588.0497244512371253	3992.8215583742444323	14567.347516106165131
1	0	2.5	0.12	-5892.3254539917688817	3839.094625019702562	14076.463383877788146
1	0	2.5	0.13	-5298.0686681639053859	3685.6300138741066803	13585.579251649411162
1	0	2.5	0.14	-4790.101917003543349	3532.461914155843715	13094.695119421026902
1	0	2.5	0.15	-4356.3570280319981975	3379.6306406515691378	12603.81098719264628
1	0	2.5	0.16	-3987.0873887453781208	3227.1840474286154858	12114.402237765178143
1	0	2.5	0.17	-3674.3151466537674423	3075.1793445589473777	11625.639528903589962
1	0	2.5	0.18	-3411.4338718358339975	2923.6854555344539222	11136.924624695389866
1	0	2.5	0.19	-3192.9169499042327516	2772.7861080658294668	10649.168875936309632
1	0	2.5	0.2	-3014.0996194853942143	2622.5839311143945451	10161.413127177231218
1	0	3	0	-30879.2212584073568	5927.6084762420687184	20330.445307069763658
1	0	3	0.01	-35081.335783259608434	5768.1334174669755157	19834.223094534510892
1	0	3	0.02	-26258.996184063376859	5608.7650710504567542	19338.64562338646283
1	0	3	0.03	-21103.054218095319811	5449.5127992533389261	18843.068152238403854
1	0	3	0.04	-17536.717070195794804	5290.3870843890254037	18347.490681090366706
1	0	3	0.05	-14869.222737105825217	5131.3997001372263185	17851.913209942293179
1	0	3	0.06	-12781.667656820878619	4972.5639150161341604	17357.089502897470084
1	0	3	0.07	-11099.611363668402191	4813.894735214580578	16862.459650194352434
1	0	3	0.08	-9716.9488387345336378	4655.4091958695444191	16368.956698322888769
1	0	3	0.09	-8564.2333210182259791	4497.1267123242914749	15876.333025134164927
1	0	3	0.1	-7593.4982484292559093	4339.069506111721239	15383.709351945448361
1	0	3	0.11	-6770.2183167057228275	4181.2631246419405215	14891.085678756728157
1	0	3	0.12	-6068.7187018482509302	4023.7370792046394854	14398.46200556801341
1	0	3	0.13	-5469.3944456251920201	3866.5256334461355436	13905.838332379302301
1	0	3	0.14	-4956.9445245709939627	3709.6687846868103406	13413.214659190580278
1	0	3	0.15	-4519.205716924610897	3553.2134943621613274	12920.59098600186735
1	0	3	0.16	-4146.356949166074628	3397.2152430202208961	12427.967312813152603
1	0	3	0.17	-3830.3611061419942416	3241.740011900159061	11935.343639624434218
1	0	3	0.18	-3564.5639364936505444	3086.866830388690687	11444.059933868493317
1	0	3	0.19	-3343.399766634698608	2932.6910813802614939	10953.955260253998858
1	0	3	0.2	-3162.1715895555389579	2779.3288318431609696	10463.850586639508037
1	0	3.5	0	-31789.961111416574568	6136.944683969361904	20625.992452922197117
1	0	3.5	0.01	-35483.575195649769739	5974.064069851901877	20129.096280111414671
1	0	3.5	0.02	-26576.804750711482484	5811.3171735064088352	19632.585814412435866
1	0	3.5	0.03	-21379.304422795015853	5648.7155526973501765	19136.075348713427957
1	0	3.5	0.04	-17786.995561486852239	5486.2721244282774933	18639.564883014434599
1	0	3.5	0.05	-15101.306221201753942	5324.0013688082381123	18143.05441731544488
1	0	3.5	0.06	-13000.110087562323315	5161.9195703405330278	17646.543951616440609
1	0	3.5	0.07	-11307.355712120290264	5000.0451048022150644	17150.033485917432699
1	0	3.5	0.08	-9916.0293041554978117	4838.3987819575168032	16653.523020218446618
1	0	3.5	0.09	-8756.1265882223960944	4677.0042570259383865	16157.012554519451442
1	0	3.5	0.1	-7779.317142708299798	4515.8885273032292389	15660.502088820450808
1	0	3.5	0.11	-6950.8266075778228696	4355.0825348801918153	15163.991623121457451
1	0	3.5	0.12	-6244.8031110595184145	4194.6219023897019724	14668.573743091526921
1	0	3.5	0.13	-5641.5118996872915886	4034.5478366473430469	14174.464212582674008
1	0	3.5	0.14	-5125.5543325728212949	3874.9082456470482612	13680.447480627546611
1	0	3.5	0.15	-4684.6921716493234271	3715.7591286264255359	13187.849016618869427
1	0	3.5	0.16	-4309.0456242492073216	3557.1663182310039701	12695.250552610190425
1	0	3.5	0.17	-3990.5308760792977409	3399.2076801723965218	12202.652088601511423
1	0	3.5	0.18	-3722.4560179315885762	3241.9759120216040174	11710.053624592836059
1	0	3.5	0.19	-3499.224637489503948	3085.5821329390969368	11219.279868676067053
1	0	3.5	0.2	-3316.1143656667554751	2930.1605259604893945	10731.459182456204871
1	0	4	0	-32595.263839691513567	6327.283052520300771	20885.896630258674122
1	0	4	0.01	-35841.68373069530935	6161.5190486915789734	20386.193692069824465
1	0	4	0.02	-26865.240035798793542	5995.9190691096582668	19886.490753880974808
1	0	4	0.03	-21633.71506887555006	5830.4970898270457837	19386.787815692114236
1	0	4	0.04	-18020.226822834185441	5665.2687033269276071	18887.084877503275493
1	0	4	0.05	-15319.737625437905081	5500.2513563067850555	18387.381939314422198
1	0	4	0.06	-13207.466192830353975	5335.4646301384882463	17887.679001125576178
1	0	4	0.07	-11506.038204914002563	5170.9305730794894771	17390.234909517326741
1	0	4	0.08	-10107.695392649184214	5006.6740955451323316	16894.272742839952116
1	0	4	0.09	-8941.97760164947249	4842.7234426139093557	16398.31057616257749
1	0	4	0.1	-7960.2573310125881108	4679.1107616220260752	15902.348409485191951
1	0	4	0.11	-7127.5571321107418044	4515.8727874749683906	15406.386242807815506
1	0	4	0.12	-6417.880919162693317	4353.0516745189179346	14910.424076130444519
1	0	4	0.13	-5811.3883144563005771	4190.6960119593641139	14414.461909453062617
1	0	4	0.14	-5292.6013050644251052	4028.8620705501234625	13920.028377452181303
1	0	4	0.15	-4849.2207034773746273	3867.615342511178369	13426.649802232570437
1	0	4	0.16	-4471.3190410423703725	3707.0324556150617354	12934.445409227546406
1	0	4	0.17	-4150.7746102298842743	3547.2035678241163623	12445.311702207956841
1	0	4	0.18	-3880.8649621578369988	3388.2353831205396091	11956.177995188354544
1	0	4	0.19	-3655.9687689282145584	3230.2549754657079575	11467.044288168759522
1	0	4	0.2	-3471.3431137245934224	3073.4146705020289119	10977.910581149157224
1	0	4.5	0	-33316.934536610875512	6501.8005909639541642	21105.118196592971799
1	0	4.5	0.01	-36165.116626753020682	6333.541555937576959	20603.805072727442166
1	0	4.5	0.02	-27130.013118290371494	6165.4779632312065587	20105.013044746134256
1	0	4.5	0.03	-21870.031168706846074	5997.6262427366673364	19606.221016764811793
1	0	4.5	0.04	-18238.888399793650024	5830.0046945272679295	19107.428988783503883
1	0	4.5	0.05	-15526.089071130627417	5662.6337588642327319	18608.636960802177782
1	0	4.5	0.06	-13404.619849415073986	5495.5363336093259932	18109.844932820862596
1	0	4.5	0.07	-11695.997269654893898	5328.7381488663977507	17611.052904839547409
1	0	4.5	0.08	-10291.840102892980212	5162.2682110212372208	17112.260876858221309
1	0	4.5	0.09	-9121.3073199332284275	4996.1593313293378742	16613.987945178672817
1	0	4.5	0.1	-8135.5235329494607868	4830.448758004839874	16117.680827081443567
1	0	4.5	0.11	-7299.342014414127334	4665.1789356426916129	15621.373708984227051
1	0	4.5	0.12	-6586.6465833107504295	4500.3984220944848857	15125.066590887003258
1	0	4.5	0.13	-5977.5089732231281232	4336.1630010631815821	14632.30824391666647
1	0	4.5	0.14	-5456.3851736643409822	4172.5370392796367014	14140.102371528317235
1	0	4.5	0.15	-5010.9253501625207718	4009.5951509727469784	13647.896499139969819
1	0	4.5	0.16	-4631.1624396814295324	3847.4242505110260026	13155.690626751616946
1	0	4.5	0.17	-4308.9432812157901935	3686.1260979935254909	12663.484754363264074
1	0	4.5	0.18	-4037.52008837282483	3525.8204740698488422	12171.278881974920296
1	0	4.5	0.19	-3811.2508708817622392	3366.6491617933311318	11680.303231773532389
1	0	4.5	0.2	-3625.3756786712765461	3208.7809679081915419	11197.707827317623014
1	0	5	0	-33970.602666288599721	6662.9350901651014283	21309.060766154037992
1	0	5	0.01	-36460.508355660553207	6492.4801351753785639	20807.846881763114652
1	0	5	0.02	-27375.213383188442094	6322.2519921071561839	20306.632997372205864
1	0	5	0.03	-22091.020646289282013	6152.269488076851303	19805.419112981297076
1	0	5	0.04	-18444.900889655807987	5982.5535611728873846	19304.205228590381012
1	0	5	0.05	-15721.677890564402333	5813.12755982921135	18804.369754199247836
1	0	5	0.06	-13592.430909423725097	5644.0175936607356562	18305.553186241118965
1	0	5	0.07	-11877.730842302145902	5475.2529461587810147	17806.736618282993732
1	0	5	0.08	-10468.666237637560698	5306.8665620544325066	17307.920050324872136
1	0	5	0.09	-9294.0723233119788347	5138.8956251946747216	16810.177491490496323
1	0	5	0.1	-8304.8632382599171251	4971.3822466192423235	16315.333348693340668
1	0	5	0.11	-7465.7486577574891271	4804.3742874092886268	15820.489205896181375
1	0	5	0.12	-6750.5106062916020164	4637.9263471082140313	15325.64506309902572
1	0	5	0.13	-6139.1463734173739795	4472.1009564905934894	14830.800920301870065
1	0	5	0.14	-5616.0560814206546638	4306.9700236999706249	14335.956777504718048
1	0	5	0.15	-5168.8470466093422147	4142.6165959715208373	13841.112634707562393
1	0	5	0.16	-4787.5187243186956039	3979.1370161819886562	13346.268491910406738
1	0	5	0.17	-4463.891368049022276	3816.6435754525527955	12858.315782138195573
1	0	5	0.18	-4191.1957842000556411	3655.2677913799025191	12374.941545328752909
1	0	5	0.19	-3963.7725318781158421	3495.1644778919708187	11893.614042551544117
1	0	5	0.2	-3776.8472804448829265	3336.5168191542097702	11413.300752112438204
1	0	5.5	0	-34567.866082373860991	6812.5971725748222525	21488.638025143529376
1	0	5.5	0.01	-36732.70236486842623	6640.1831948584640486	20987.003187923939549
1	0	5.5	0.02	-27603.886623697631876	6468.0267345848733385	20486.00633500353797
1	0	5.5	0.03	-22298.804675417690305	6296.1489157933820024	19985.009482083143666
1	0	5.5	0.04	-18639.795272772986209	6124.5731976118404418	19484.012629162745725
1	0	5.5	0.05	-15907.61605388179305	5953.3256998489578109	18983.015776242351421
1	0	5.5	0.06	-13771.694223394530127	5782.435583435099943	18484.009158252229099
1	0	5.5	0.07	-12051.783275955051067	5611.9354965277698284	17986.868351450651971
1	0	5.5	0.08	-10638.514120037216344	5441.8620995315532127	17489.727544649074844
1	0	5.5	0.09	-9460.4428841233748244	5272.2566853260414064	16992.58673784749044
1	0	5.5	0.1	-8468.3024314137728652	5103.1659148150301917	16495.445931045906036
1	0	5.5	0.11	-7626.678860164291109	4934.6426927197380792	15998.305124244323451
1	0	5.5	0.12	-6909.2666534908785252	4766.7472146121108381	15501.164317442746324
