# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.PSAE_SFS.txt
# sampleSize: 85
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 17208
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-117620.24353652697755	30846.394667042346555	87030.33033471069939
1	0	0	0.01	-124840.13398300891276	30778.762843543390773	86531.422782913752599
1	0	0	0.02	-105817.7011423597578	30714.166924565652153	86068.242209576070309
1	0	0	0.03	-94297.942501085693948	30652.626103287209844	85624.708717145374976
1	0	0	0.04	-86253.309413562819827	30594.158815901650087	85181.175224714737851
1	0	0	0.05	-80251.192349335295148	30538.782715493885917	84843.194543130332022
1	0	0	0.06	-75599.673809656640515	30486.514646684838226	84552.478799534525024
1	0	0	0.07	-71908.2342992387712	30437.370621125563048	84261.763055938776233
1	0	0	0.08	-68933.907833043136634	30391.365793919700081	83971.047312342983787
1	0	0	0.09	-66514.973758073232602	30348.514441052186157	83733.683976525993785
1	0	0	0.1	-64538.292344705725554	30308.829937899627112	83558.368421775579918
1	0	0	0.11	-62921.616205970349256	30272.324738895342307	83431.12288330483716
1	0	0	0.12	-61603.305031930911355	30239.010358419400291	83431.122883304822608
1	0	0	0.13	-60536.002465400553774	30208.89735298035157	83431.122883304822608
1	0	0	0.14	-59682.570175879285671	30181.995304751762887	83431.122883304808056
1	0	0	0.15	-59013.374634796928149	30158.312806522477331	83431.122883304808056
1	0	0	0.16	-58504.419286217773333	30137.857448115064471	83431.122883304851712
1	0	0	0.17	-58136.024101961753331	30120.63580432190065	83431.122883304822608
1	0	0	0.18	-57891.870465198415332	30106.653424403360987	83431.12288330483716
1	0	0	0.19	-57758.296361394110136	30095.914823186973081	83431.12288330483716
1	0	0	0.2	-57723.767054407740943	30088.423473800659849	83431.122883304822608
1	0	0.5	0	-128999.69210165471304	28802.544156023413962	79021.816027542910888
1	0	0.5	0.01	-122630.8990116455243	28658.068943415393733	78165.483268449752359
1	0	0.5	0.02	-99714.962079815217294	28518.288996853243589	77340.508254037064034
1	0	0.5	0.03	-86271.898473109758925	28383.273685168016527	76558.125153747256263
1	0	0.5	0.04	-77060.357572916022036	28253.091315869860409	75837.62656712444732
1	0	0.5	0.05	-70266.690271353407297	28127.808993151786126	75217.682217836598284
1	0	0.5	0.06	-65039.118969784292858	28007.492473340036668	74703.493380975123728
1	0	0.5	0.07	-60907.706756625906564	27892.206018344753829	74276.379010350035969
1	0	0.5	0.08	-57585.335647877131123	27782.012247711551026	73908.543295697847498
1	0	0.5	0.09	-54883.672787299146876	27676.971989920104534	73597.917906396294711
1	0	0.5	0.1	-52672.528378976043314	27577.144133616671752	73461.8031854754081
1	0	0.5	0.11	-50858.196159568789881	27482.585479505636613	73451.206583750754362
1	0	0.5	0.12	-49371.032311901653884	27393.350593657207355	73442.323700692300918
1	0	0.5	0.13	-48157.910518191871233	27309.491663015713129	73436.777092908552731
1	0	0.5	0.14	-47177.421012736944249	27231.05835391362416	73431.230485124804545
1	0	0.5	0.15	-46396.696270557091339	27158.097674409978936	73425.683877341070911
1	0	0.5	0.16	-45789.243497700721491	27090.653841278101027	73420.137269557322725
1	0	0.5	0.17	-45333.423399167775642	27028.768152465599997	73414.590661773545435
1	0	0.5	0.18	-45011.356939927441999	26972.478865839177161	73409.044053989826352
1	0	0.5	0.19	-44808.123301143001299	26921.82108500765753	73403.497446206078166
1	0	0.5	0.2	-44711.160695579310413	26876.826652988707792	73400.757109135942301
1	0	1	0	-135123.7618210274959	28009.711980675794621	75215.30381968767324
1	0	1	0.01	-120949.14812645828351	27817.375379716788302	74193.660383835871471
1	0	1	0.02	-96646.677160414925311	27630.461866889705561	73220.752858742984245
1	0	1	0.03	-82593.824363633582834	27449.082227373823116	72261.574436175331357
1	0	1	0.04	-73030.86926076823147	27273.346869398421404	71368.744495530467248
1	0	1	0.05	-66005.313320207525976	27103.365583960803633	70515.506365307213855
1	0	1	0.06	-60611.704801896470599	26939.247292436524731	69813.902844275900861
1	0	1	0.07	-56354.748493774677627	26781.099782760564267	69304.557514363405062
1	0	1	0.08	-52933.696482886036392	26629.029435021064273	68849.374972676974721
1	0	1	0.09	-50152.195356768352212	26483.140937475120154	68514.775199564857758
1	0	1	0.1	-47875.006891697237734	26343.536994166777731	68481.887831059939344
1	0	1	0.11	-46005.077226884110132	26210.318025499203941	68462.888328828979866
1	0	1	0.12	-44470.448620970390039	26083.58186328125521	68443.888826598064043
1	0	1	0.13	-43216.340187536494341	25963.4234419325403	68424.889324367104564
1	0	1	0.14	-42200.12525815263507	25849.93448768489543	68405.889822136130533
1	0	1	0.15	-41388.01976926138741	25743.203207759936049	68386.89031990521471
1	0	1	0.16	-40752.826454477268271	25643.313981627907197	68367.890817674298887
1	0	1	0.17	-40272.354975076450501	25550.347056558672193	68348.891315443339408
1	0	1	0.18	-39928.288645317195915	25464.378249758050515	68329.891813212423585
1	0	1	0.19	-39705.354383846570272	25385.478659438682371	68315.618427173860255
1	0	1	0.2	-39590.703518024471123	25313.714387201147474	68302.063995524804341
1	0	1.5	0	-139452.09037466952577	27560.828838303757948	72695.113769704243168
1	0	1.5	0.01	-119666.01328018237837	27331.398242042221682	71634.875267183902906
1	0	1.5	0.02	-94603.523149629123509	27107.800721484476526	70574.636764663562644
1	0	1.5	0.03	-80229.498791329097003	26890.181786780322	69514.398262143222382
1	0	1.5	0.04	-70484.155844054243062	26678.687740896155447	68483.201886006179848
1	0	1.5	0.05	-63339.053037951525766	26473.465377735607035	67508.852206769370241
1	0	1.5	0.06	-57860.127786096010823	26274.661655592484749	66581.835504495305941
1	0	1.5	0.07	-53538.763159044552594	26082.423346102841606	65950.307835056417389
1	0	1.5	0.08	-50067.116150168818422	25896.896659147627361	65399.59114613343263
1	0	1.5	0.09	-47244.683658015012043	25718.22684446938365	65069.516092645353638
1	0	1.5	0.1	-44933.626526427280623	25546.557771104344283	65005.933316578637459
1	0	1.5	0.11	-43035.171390043833526	25382.031486091313127	64963.610894111974631
1	0	1.5	0.12	-41476.174508670141222	25224.787754295626655	64931.937178128180676
1	0	1.5	0.13	-40201.008262672403362	25074.963581576084835	64900.263462144423102
1	0	1.5	0.14	-39166.423918951331871	24932.692723916596151	64870.4460977849958
1	0	1.5	0.15	-38338.169257471541641	24798.105185535718192	64844.894346304085047
1	0	1.5	0.16	-37688.687367388425628	24671.326709366792784	64824.277374359749956
1	0	1.5	0.17	-37195.506688752502669	24552.478263660272205	64803.660402415422141
1	0	1.5	0.18	-36840.087226161209401	24441.675528786432551	64783.043430471152533
1	0	1.5	0.19	-36606.976170390495099	24339.028388602895575	64765.25881863675022
1	0	1.5	0.2	-36483.178473679989111	24244.640430984542036	64747.973788348710514
1	0	2	0	-142817.25660980050452	27277.570200873964495	70590.361432193531073
1	0	2	0.01	-118652.08523240231443	27017.388812140037771	69534.503400166489882
1	0	2	0.02	-93100.744306014967151	26763.280897776396159	68478.645368139477796
1	0	2	0.03	-78524.420117636153009	26515.421071980097622	67422.787336112451158
1	0	2	0.04	-68664.9917142947088	26273.986162356872228	66366.929304085409967
1	0	2	0.05	-61445.32364673219854	26039.154884888735978	65315.029622018992086
1	0	2	0.06	-55913.245539963652845	25811.107481139191805	64316.587158096008352
1	0	2	0.07	-51551.768630847946042	25590.025316728486359	63512.436490664622397
1	0	2	0.08	-48048.610152684501372	25376.090440469361056	62868.716827639567782
1	0	2	0.09	-45200.677439265622525	25169.48510397355858	62564.047252045056666
1	0	2	0.1	-42868.511186293268111	24970.391242021087237	62458.998539786065521
1	0	2	0.11	-40952.268224488419946	24778.98991452739574	62368.477526155409578
1	0	2	0.12	-39378.067527249251725	24595.460711543655634	62302.578446376566717
1	0	2	0.13	-38089.755369857914047	24419.981123377543554	62251.645447715360206
1	0	2	0.14	-37043.696631408442045	24252.725878616900445	62204.590188824338838
1	0	2	0.15	-36205.348351516266121	24093.866253566335217	62166.307619266561233
1	0	2	0.16	-35546.930281693465076	23943.569357352338557	62132.894328055961523
1	0	2	0.17	-35045.796220673422795	23801.997397700288275	62101.847230465013126
1	0	2	0.18	-34683.267483367322711	23669.306933117226436	62070.80013287399197
1	0	2	0.19	-34443.779622868169099	23545.648117906664993	62039.753035283021745
1	0	2	0.2	-34314.246655067545362	23431.163947073622694	62008.705937692066072
1	0	2.5	0	-145574.61117565783206	27090.608526819818508	68757.321891587227583
1	0	2.5	0.01	-117826.9128891628352	26804.018076628046401	67707.341008551215054
1	0	2.5	0.02	-91931.416004774044268	26523.637294963158638	66657.360125515289837
1	0	2.5	0.03	-77214.499404287198558	26249.665164742087654	65607.379242479291861
1	0	2.5	0.04	-67276.101239437120967	25982.304416104907432	64559.333491665369365
1	0	2.5	0.05	-60004.89592864253791	25721.761212735254958	63511.327220733102877
1	0	2.5	0.06	-54436.098536790232174	25468.244788413583592	62479.668364335484512
1	0	2.5	0.07	-50046.912343060859712	25221.967031218951888	61572.265951031411532
1	0	2.5	0.08	-46521.981996602204163	24983.142013145439705	60859.737975000978622
1	0	2.5	0.09	-43656.425394259422319	24751.985463349119527	60540.727457447916095
1	0	2.5	0.1	-41309.664745912421495	24528.714183798067097	60418.071701018576277
1	0	2.5	0.11	-39381.118775735347299	24313.545406765002554	60302.01924072339898
1	0	2.5	0.12	-37796.397955991182243	24106.696094383129093	60193.172961340686015
1	0	2.5	0.13	-36498.985785621771356	23908.382181377870438	60110.017106766725192
1	0	2.5	0.14	-35444.980734074226348	23718.817763085571642	60055.822066931890731
1	0	2.5	0.15	-34599.639381127490196	23538.214231964513601	60001.627027097019891
1	0	2.5	0.16	-33935.027483732061228	23366.779366977531026	59951.65079334937036
