# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Parus_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 51
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-211.77697226233181027	245.86167239962293252	500.98507149637487146
1	0	0	0.01	-235.30986272606014609	247.67843065274024639	500.10719192267822564
1	0	0	0.02	-218.49571406255154216	249.54112975083435799	500.10719192267811195
1	0	0	0.03	-216.65817676701749406	251.44874872485445394	500.10719192267799826
1	0	0	0.04	-221.02690910841010918	253.40027309480356621	500.10719192267805511
1	0	0	0.05	-228.81473101198912445	255.39469639168467552	500.10719192267788458
1	0	0	0.06	-238.76194233455203175	257.43102155088911331	500.10719192267816879
1	0	0	0.07	-250.18756014618952577	259.50826218007324542	502.17707923541547643
1	0	0	0.08	-262.680623012968681	261.62544370523801263	506.80211450811140139
1	0	0	0.09	-275.97396401021865131	263.78160439927859215	511.42714978080732635
1	0	0	0.1	-289.88437984397319269	265.97579629771979626	516.05218505350330815
1	0	0	0.11	-304.2811459209642635	268.20708600670576516	520.67722032619906258
1	0	0	0.12	-319.06809918350495536	270.47455540857185952	525.3022555988949307
1	0	0	0.13	-334.17280176816711901	272.77730227050511758	529.9272908715909125
1	0	0	0.14	-349.53965973459798988	275.11444076190946362	534.55232614428700799
1	0	0	0.15	-365.12537548105046881	277.48510188612942784	539.17736141698253505
1	0	0	0.16	-380.89584089523214061	279.88843383217323435	543.80239668967851685
1	0	0	0.17	-396.82395440653749574	282.32360225201102821	548.42743196237449865
1	0	0	0.18	-412.88804999145645525	284.78979046891839744	553.05246723507048046
1	0	0	0.19	-429.07074297291387666	287.28619962219363515	557.67750250776623488
1	0	0	0.2	-445.35806667115139135	289.81204875341040861	562.30253778046221669
1	0	0.5	0	-148.46275075320454562	184.72291719878379013	392.78000930095038257
1	0	0.5	0.01	-165.70457546056991305	186.55622957596688138	389.45937745458013524
1	0	0.5	0.02	-144.65521189956916714	188.49896574937406513	386.13874560821000159
1	0	0.5	0.03	-139.73467604420579846	190.54777884661157827	382.81811376183992479
1	0	0.5	0.04	-141.74864484621821248	192.69928541118520116	379.49748191546996168
1	0	0.5	0.05	-147.67973005451153767	194.95008543828930669	377.50124573796449567
1	0	0.5	0.06	-156.13052343435833791	197.29678067982243306	377.50124573796455252
1	0	0.5	0.07	-166.33174028523148991	199.73599114996335402	378.83726478515831104
1	0	0.5	0.08	-177.81274994050272653	202.26436980967568502	384.90501729873579961
1	0	0.5	0.09	-190.26437630703480863	204.87861544866743202	390.97276981231289028
1	0	0.5	0.1	-203.47284975067736923	207.57548381644531332	397.04052232589015148
1	0	0.5	0.11	-217.2845969458462605	210.35179708029696144	403.10827483946752636
1	0	0.5	0.12	-231.58598752430884815	213.20445170774519283	409.17602735304490125
1	0	0.5	0.13	-246.29097595415146316	216.13042488483830539	415.24377986662216244
1	0	0.5	0.14	-261.33319661997393268	219.12677959029085173	421.3115323801993668
1	0	0.5	0.15	-276.66070842768363036	222.19066844972093122	427.37928489377657115
1	0	0.5	0.16	-292.23238670068758438	225.31933649482104443	433.44703740735400288
1	0	0.5	0.17	-308.01537775909332595	228.51012294996843366	439.51478992093132092
1	0	0.5	0.18	-323.98326093753371424	231.76046216420013479	445.58254243450863896
1	0	0.5	0.19	-340.11469449237915796	235.06788380025105312	451.650294948085957
1	0	0.5	0.2	-356.39240040391246112	238.43001238498419525	457.71804746166310451
1	0	1	0	-132.39467370042711991	156.19325810819299249	338.78293117336596652
1	0	1	0.01	-145.4226511337105876	157.86058921354606355	334.39952555817211532
1	0	1	0.02	-122.01673063814700981	159.69108271770485885	330.94722610088183501
1	0	1	0.03	-115.54745743737726116	161.67919685775092375	327.49492664359149785
1	0	1	0.04	-116.4503583510165754	163.81919306934545943	324.04262718630099016
1	0	1	0.05	-121.53998600771069505	166.10520119347609125	320.59032772901070985
1	0	1	0.06	-129.33011461243631857	168.53127968857432961	318.37493288873406527
1	0	1	0.07	-138.99946778103662837	171.09147006125505186	320.57688479485813104
1	0	1	0.08	-150.04465183104230164	173.77984505196161535	326.65931576467164632
1	0	1	0.09	-162.13466185681386378	176.59055039598197823	332.74174673448538897
1	0	1	0.1	-175.04053679566391111	179.51784021744887809	338.82417770429890425
1	0	1	0.11	-188.59775494118593997	182.55610630112801118	344.97002990231953845
1	0	1	0.12	-202.68456650157463628	185.69990162525547817	351.72798712113126385
1	0	1	0.13	-217.20875969286680629	188.94395863255311951	358.48594433994298925
1	0	1	0.14	-232.09919153327064123	192.28320277174495345	365.2439015587546578
1	0	1	0.15	-247.30015649177448722	195.71276186516189455	372.00185877756621267
1	0	1	0.16	-262.76752061201682409	199.22797185618472326	378.75981599637810859
1	0	1	0.17	-278.46599490203539062	202.82437946972132181	385.51777321518977715
1	0	1	0.18	-294.3671671942672674	206.49774228532353959	392.27573043400150254
1	0	1	0.19	-310.44805274626128266	210.24402668067372701	399.03368765281305741
1	0	1	0.2	-326.6900080619907385	214.05940405686774852	405.79164487162483965
1	0	1.5	0	-125.88551884865114516	137.40166992718812367	301.54130142919126456
1	0	1.5	0.01	-135.63093801723516663	138.84187037948456123	297.05549844400445636
1	0	1.5	0.02	-110.60425213853932291	140.49717637938232428	292.56969545881759132
1	0	1.5	0.03	-103.12816589918020327	142.36008464136619978	288.08389247363078312
1	0	1.5	0.04	-103.33078633249397171	144.42256179706362218	284.46199428485931548
1	0	1.5	0.05	-107.89988426875493133	146.67618941521624265	280.95650227899182028
1	0	1.5	0.06	-115.28610418137054694	149.11230081761246424	277.4510102731244956
1	0	1.5	0.07	-124.63268455887077835	151.7221061588849409	281.03024869946131048
1	0	1.5	0.08	-135.41451855679588334	154.49680342280788636	287.60501587685598679
1	0	1.5	0.09	-147.28645281164062908	157.42767408195922485	294.17978305425054941
1	0	1.5	0.1	-160.00984915175058632	160.50616310365597883	300.75455023164516888
1	0	1.5	0.11	-173.4133074132018919	163.72394372867788093	307.32931740903978834
1	0	1.5	0.12	-187.37003355040815222	167.07296799391937725	313.90408458643429412
