# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.RE_pho_SFS.txt
# sampleSize: 49
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 0
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-345.1087644348365302	156.97617181861954805	424.19474210090072575
1	0	0	0.01	-345.70579723115486104	157.72731620488841031	423.86293721365768761
1	0	0	0.02	-349.06661926882156877	158.49078711151983612	423.53113232641493369
1	0	0	0.03	-353.98592079871366423	159.26640727072847881	423.19932743917212292
1	0	0	0.04	-359.89882877330421707	160.05400005712490952	422.86752255192908478
1	0	0	0.05	-366.49355522086500514	160.85338960466742719	422.53571766468638771
1	0	0	0.06	-373.57973146579058721	161.66440091745573682	422.34230319143711085
1	0	0	0.07	-381.03288788026088696	162.48685997443911333	422.34230319143699717
1	0	0	0.08	-388.76753618493455633	163.32059382812167314	422.34230319143705401
1	0	0	0.09	-396.72276429838848344	164.16543069736619032	422.3423031914371677
1	0	0	0.1	-404.85393564075263839	165.02120005440929162	422.34230319143699717
1	0	0	0.11	-413.12762244465432104	165.88773270621061329	422.53554502856093222
1	0	0	0.12	-421.51836691384994538	166.76486087027191729	423.11796850084920152
1	0	0	0.13	-430.00653092156471757	167.65241824506827584	423.70039197313712975
1	0	0	0.14	-438.5768225740056323	168.55024007524181684	424.28281544542517167
1	0	0	0.15	-447.21725921676750204	169.45816321171466257	424.86523891771315675
1	0	0	0.16	-455.91842071298015071	170.37602616688417356	425.44766239000159658
1	0	0	0.17	-464.67290101164098814	171.30366916506383745	426.03008586228946797
1	0	0	0.18	-473.47489837261969114	172.24093418834169711	426.61250933457756673
1	0	0	0.19	-482.31990456501307563	173.18766501802554103	427.19493280686543812
1	0	0	0.2	-491.20446601680532694	174.14370727184828525	427.77735627915370742
1	0	0.5	0	-288.14646229630113794	129.47842367435058009	357.22667546851567977
1	0	0.5	0.01	-277.44559603641573631	130.35322581622847338	356.85636332713420416
1	0	0.5	0.02	-275.8472827945621475	131.2528801814531505	356.4860511857526717
1	0	0.5	0.03	-277.89779623714196077	132.17687930529078244	356.11573904437079818
1	0	0.5	0.04	-281.92752687856796001	133.12471626851313999	355.74542690298932257
1	0	0.5	0.05	-287.19151076524974542	134.09588558933165814	355.3751147616079038
1	0	0.5	0.06	-293.29106075749064075	135.08988405550704215	355.00480262022620082
1	0	0.5	0.07	-299.98799309094670207	136.10621149676384789	354.63449047884466836
1	0	0.5	0.08	-307.12907282216178828	137.1443714980732409	354.2641783374631359
1	0	0.5	0.09	-314.61034165699754794	138.20387205476356485	353.89386619608148976
1	0	0.5	0.1	-322.35842200180786676	139.28422617075364087	353.52355405469984362
1	0	0.5	0.11	-330.31992632749006589	140.38495240149526921	353.50474524755401262
1	0	0.5	0.12	-338.45508487320978475	141.50557534345691124	353.50474524755389893
1	0	0.5	0.13	-346.73372189954216083	142.645626072178203	353.50474524755406946
1	0	0.5	0.14	-355.13261251259757501	143.8046425310839993	353.50474524755395578
1	0	0.5	0.15	-363.63368823402981889	144.98216987336851957	353.50474524755406946
1	0	0.5	0.16	-372.22278436895669529	146.17776075934369828	353.50474524755389893
1	0	0.5	0.17	-380.88874450269190675	147.3909756117035954	353.50474524755384209
1	0	0.5	0.18	-389.62276700771678861	148.62138283117923265	354.46364544272245212
1	0	0.5	0.19	-398.41791955897065236	149.86855897506427482	356.84903834143693757
1	0	0.5	0.2	-407.26877279146231103	151.13208890107006255	359.443427243192275
1	0	1	0	-266.85847566777010798	115.62210520578214812	324.02812770264728215
1	0	1	0.01	-249.13685118223463633	116.54079783784109736	323.65474536728356725
1	0	1	0.02	-245.37674255622232522	117.49366695548266648	323.28136303191973866
1	0	1	0.03	-246.33813639803804563	118.47988797307748143	322.90798069655596692
1	0	1	0.04	-249.70655449761306954	119.49863513480750044	322.53459836119219517
1	0	1	0.05	-254.52634607833351765	120.54908381880166246	322.16121602582842343
1	0	1	0.06	-260.30810721014063347	121.63041266691826081	321.78783369046453799
1	0	1	0.07	-266.76777098589491288	122.74180553910299807	321.41445135510070941
1	0	1	0.08	-273.72626942075567058	123.88245329333311417	321.04106901973688082
1	0	1	0.09	-281.06393524009104112	125.05155539397544828	320.66768668437333645
1	0	1	0.1	-288.69726600428168695	126.2483213529269932	320.29430434900910996
1	0	1	0.11	-296.56604434611608667	127.47197200919536897	319.9209220136454519
1	0	1	0.12	-304.62572149657717091	128.7217406536129829	319.75189029727488332
1	0	1	0.13	-312.84267569146607002	129.99687400618790889	319.75189029727482648
1	0	1	0.14	-321.19113413496677367	131.29663305419191488	319.75189029727471279
1	0	1	0.15	-329.65110422650218425	132.62029375949714449	319.75189029727459911
1	0	1	0.16	-338.2069418056955783	133.96714764391037988	319.92860552028321308
1	0	1	0.17	-346.84633520258955741	135.33650226135219441	322.59507683634313935
1	0	1	0.18	-355.55956865997654859	136.72768156569634357	325.2615481524031793
1	0	1	0.19	-364.33897824246764685	138.14002618294844638	328.15080938238418184
1	0	1	0.2	-373.17854333272475742	139.57289359622325264	332.00996841760309053
1	0	1.5	0	-254.21681351208917476	105.92016133956458646	300.96104410018745057
1	0	1.5	0.01	-231.25650297070876604	106.85902159972945924	300.5907473729796493
1	0	1.5	0.02	-226.1938302590422154	107.84045241098017698	300.22045064577173434
1	0	1.5	0.03	-226.53846428605208985	108.86330242583920835	299.85015391856393308
1	0	1.5	0.04	-229.54413849163847772	109.92641545059112218	299.47985719135607496
1	0	1.5	0.05	-234.12505945394275386	111.02863492123820777	299.10956046414816001
1	0	1.5	0.06	-239.73823043209517891	112.16880801289013903	298.73926373694024505
1	0	1.5	0.07	-246.07325780177870911	113.34578937699023982	298.36896700973215957
1	0	1.5	0.08	-252.93655783298197548	114.55844450696264403	297.99867028252430146
1	0	1.5	0.09	-260.19977531003053173	115.8056527381891101	297.62837355531655703
1	0	1.5	0.1	-267.77387810071843433	117.08630989267123823	297.25807682810864208
1	0	1.5	0.11	-275.59495675593905162	118.39933058235016006	296.88778010090055659
1	0	1.5	0.12	-283.61590108226130269	119.74365018787437975	296.5174833736929827
1	0	1.5	0.13	-291.80125572493659547	121.11822653170254682	296.39314784765895183
1	0	1.5	0.14	-300.12390065384840909	122.52204126586772759	296.39314784765883815
1	0	1.5	0.15	-308.5628314088676234	123.95410099559661887	296.60492314371333578
1	0	1.5	0.16	-317.10162953158192067	125.41343816034844849	299.46904762627804075
1	0	1.5	0.17	-325.72738129235494853	126.89911169379357148	302.33317210884268889
1	0	1.5	0.18	-334.42989632547971723	128.41020748386651462	305.19729659140728018
1	0	1.5	0.19	-343.20113211777243123	129.94583865336667827	309.00454130806622288
1	0	1.5	0.2	-352.03476301156149475	131.50514568071221788	313.11347240024139182
1	0	2	0	-245.52945015669115492	98.392457171516312542	283.21495673623672928
1	0	2	0.01	-218.388419654908148	99.338845122155746026	282.84961538658416202
1	0	2	0.02	-212.43652311214611927	100.33576768895105147	282.48427403693170845
1	0	2	0.03	-212.37578978296676269	101.38173410842421163	282.11893268727914119
1	0	2	0.04	-215.14748050547518687	102.47524261744312923	281.75359133762657393
1	0	2	0.05	-219.5760787824582394	103.61478800706484549	281.38824998797389298
1	0	2	0.06	-225.08258086272371656	104.79886852235908634	281.02290863832132572
1	0	2	0.07	-231.33919583645626972	106.02599209135919978	280.65756728866881531
1	0	2	0.08	-238.14285974335916762	107.29468188088240765	280.29222593901630489
1	0	2	0.09	-245.35959348589256024	108.60348118939418782	279.92688458936373763
1	0	2	0.1	-252.89681050451451938	109.95095769734341218	279.56154323971111353
1	0	2	0.11	-260.68824168339915559	111.33570710353185973	279.19620189005854627
1	0	2	0.12	-268.68514760572998057	112.75635618224113443	278.8308605404060927
1	0	2	0.13	-276.8509113843912246	114.21156530020054731	278.46551919075369597
1	0	2	0.14	-285.15756254705854644	115.70003043525987607	278.46191354797338136
1	0	2	0.15	-293.58345985263201783	117.22048474004314755	280.82032646640249141
1	0	2	0.16	-302.11169887524772548	118.77169969413536421	283.83859418235954308
1	0	2	0.17	-310.7289889183748528	120.35248588770238598	286.8568618983162537
1	0	2	0.18	-319.42484307856921077	121.96169347806662131	290.04521081698959506
1	0	2	0.19	-328.1909827503679935	123.59821235883110546	294.34394408520273601
1	0	2	0.2	-337.0208923624260251	125.26097207882463636	298.64267735341587695
1	0	2.5	0	-239.08405543423293693	92.230318481132073316	268.79920484258741453
1	0	2.5	0.01	-208.47177723956167483	93.176015641819077473	268.43939973277718991
1	0	2.5	0.02	-201.86695893349053677	94.179993465951127973	268.07959462296707898
1	0	2.5	0.03	-201.5162731611350182	95.240408872585518907	267.71978951315696804
1	0	2.5	0.04	-204.12270417018294211	96.355398550348880349	267.35998440334685711
1	0	2.5	0.05	-208.44454217537634122	97.52309066054291975	267.00017929353657564
1	0	2.5	0.06	-213.87667156729253293	98.741615485979338018	266.64037418372652155
1	0	2.5	0.07	-220.07882215270717552	100.00911498551579371	266.28056907391641062
1	0	2.5	0.08	-226.8411819825787461	101.32375124421642454	265.92076396410624284
1	0	2.5	0.09	-234.025792191296091	102.68371383438662292	265.56095885429630243
1	0	2.5	0.1	-241.53756249205139284	104.08722612334885582	265.20115374448607781
1	0	2.5	0.11	-249.3085678824019169	105.5325505798695076	264.84134863467585319
1	0	2.5	0.12	-257.28892924563592715	107.01799314293319298	264.4815435248657991
1	0	2.5	0.13	-265.44121934176484956	108.54190672453511013	264.12173841505557448
1	0	2.5	0.14	-273.73687575535814176	110.10269392282405931	264.91744378114236724
