# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.STPN_SFS.txt
# sampleSize: 31
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 2468
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-19430.115784427092876	8123.9406521118798992	25512.319450575116207
1	0	0	0.01	-18078.401740458270069	8009.246679073768064	25134.328257903143822
1	0	0	0.02	-15714.775690568611026	7898.1846070429028259	24756.337065231182351
1	0	0	0.03	-14330.913888908573426	7790.9097595249941151	24378.345872559199051
1	0	0	0.04	-13428.69124958460452	7687.5806824157143637	24000.354679887226666
1	0	0	0.05	-12827.658213825634448	7588.358563595808846	23622.363487215261557
1	0	0	0.06	-12436.639300307986559	7493.406548706769172	23248.77885873526975
1	0	0	0.07	-12201.577401168324286	7402.888949063212749	22887.55361311481829
1	0	0	0.08	-12087.242739464330953	7316.9703398045885478	22526.328367494359554
1	0	0	0.09	-12069.189375592162833	7235.814549064604762	22165.103121873893542
1	0	0	0.1	-12129.677538903197274	7159.5835421333722479	21803.877876253442082
1	0	0	0.11	-12255.3935508801369	7088.4362082603356612	21460.324754571895028
1	0	0	0.12	-12436.079994154075393	7022.5270618077647669	21152.220188129951566
1	0	0	0.13	-12663.666256241616793	6962.0048737792267275	20844.115621688004467
1	0	0	0.14	-12931.692144785047276	6907.0112541305534251	20536.011055246064643
1	0	0	0.15	-13234.912049835809739	6857.6792094923512195	20227.906488804121182
1	0	0	0.16	-13569.015015770157333	6814.1317047279208055	19945.755657018748025
1	0	0	0.17	-13930.421827250509523	6776.4802598332662456	19669.432693504120834
1	0	0	0.18	-14316.134776628081454	6744.8236157737092071	19393.109729989497282
1	0	0	0.19	-14723.624379960587248	6719.246503689576457	19151.198527962893422
1	0	0	0.2	-15150.742576184973586	6699.8185512928339449	18971.053744663899124
1	0	0.5	0	-25774.515344359941082	8507.3131421371690521	25760.640385691080155
1	0	0.5	0.01	-22004.062612442590762	8285.2499108513202373	24978.621314210278797
1	0	0.5	0.02	-18287.03512686456088	8065.4324234808345864	24196.602242729481077
1	0	0.5	0.03	-16007.214700818178244	7848.0493866821552729	23419.74471162235568
1	0	0.5	0.04	-14455.721960530121578	7633.3087897359728231	22645.750170637980773
1	0	0.5	0.05	-13356.63249149810872	7421.4400144925311906	21871.755629653605865
1	0	0.5	0.06	-12568.315858920046594	7212.6961396937731479	21097.761088669241872
1	0	0.5	0.07	-12007.18410003601457	7007.3564362024644652	20323.766547684866964
1	0	0.5	0.08	-11619.409175436740043	6805.7290388330093265	19549.772006700495695
1	0	0.5	0.09	-11368.165494385146303	6608.1537649810907169	19051.000880411211256
1	0	0.5	0.1	-11227.107673250546213	6415.0050287466456211	18591.290619995514135
1	0	0.5	0.11	-11176.727224256377667	6226.6947702330680841	18131.580359579820652
