# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Tuberculosis_SFS.txt
# sampleSize: 32
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 13
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-4923.926209559444942	3664.9681396768187369	7331.7561343024444795
1	0	0	0.01	-5063.2711589962827929	3679.9559192738424827	7355.9545644290692508
1	0	0	0.02	-5236.9243244011386196	3695.1122406484473686	7380.1529945556949315
1	0	0	0.03	-5414.7946574079678612	3710.4350384315257543	7404.3514246823187932
1	0	0	0.04	-5594.1916783870829022	3725.9222587286631097	7428.5498548089453834
1	0	0	0.05	-5774.1400530048131259	3741.571859793421936	7452.7482849355692451
1	0	0	0.06	-5954.1599996883060157	3757.3818126649434816	7476.9467150621967448
1	0	0	0.07	-6133.9836091032875629	3773.3501017705129925	7501.1451451888206066
1	0	0	0.08	-6313.4531363489086289	3789.4747254938602055	7525.3435753154426493
1	0	0	0.09	-6492.4752083551074975	3805.7536967098853893	7549.5420054420710585
1	0	0	0.1	-6670.9970598091358625	3822.1850432866435767	7573.7404355686976487
1	0	0	0.11	-6848.9929504190595253	3838.7668085553536912	7597.9388656953215104
1	0	0	0.12	-7026.455843935048506	3855.4970517492770341	7628.1581177381394809
1	0	0	0.13	-7203.3920400761826386	3872.3738484122936825	7662.915141120752196
1	0	0	0.14	-7379.8175717252333925	3889.395290778051276	7697.6721645033667301
1	0	0	0.15	-7555.7557113905468213	3906.5594881205252022	7732.4291878859821736
1	0	0	0.16	-7731.2352033892448162	3923.8645670768864875	7767.1862112685948887
1	0	0	0.17	-7906.2889868617357934	3941.3086719435514169	7801.9432346512094227
1	0	0	0.18	-8080.9532601300952592	3958.8899649462823618	7836.7002580338212283
1	0	0	0.19	-8255.2667881405432126	3976.6066264852333916	7871.4572814164394003
1	0	0	0.2	-8429.2703866065166949	3994.4568553558237909	7906.2143047990548439
1	0	0.5	0	-3661.8347340768805225	3187.3017429304504731	6455.019309712300128
1	0	0.5	0.01	-3777.8877610390272821	3205.6538191886374989	6472.4380268557670206
1	0	0.5	0.02	-3937.1472762383191366	3224.3248149124228803	6505.3862335553094454
1	0	0.5	0.03	-4105.082748874506251	3243.3092222653522185	6538.3344402548555081
1	0	0.5	0.04	-4277.2642992154842432	3262.6015702186286944	6571.2826469544024803
1	0	0.5	0.05	-4451.8350127222320225	3282.1964286655302203	6604.2308536539458146
1	0	0.5	0.06	-4627.8020912600868542	3302.0884122455872784	6637.1790603534873298
1	0	0.5	0.07	-4804.5720571235351599	3322.2721838853785812	6670.1272670530343021
1	0	0.5	0.08	-4981.7678558470297503	3342.7424580635265556	6703.0754737525812743
1	0	0.5	0.09	-5159.1417872296360656	3363.4940038080590057	6736.0236804521236991
1	0	0.5	0.1	-5336.5287973767472067	3384.521647434845363	6768.9718871516715808
1	0	0.5	0.11	-5513.819263177171706	3405.8202750361783728	6801.9200938512140056
1	0	0.5	0.12	-5690.9421407385061684	3427.3848347289599587	6834.8683005507609778
1	0	0.5	0.13	-5867.8540337222229937	3449.2103386721341849	6867.8165072503034025
1	0	0.5	0.14	-6044.5318367771315025	3471.2918648632148688	6901.7967596475109531
1	0	0.5	0.15	-6220.9676365265795539	3493.6245587238558983	6947.0899781469452137
1	0	0.5	0.16	-6397.1650912882514604	3516.2036344844273117	6992.3831966463812932
1	0	0.5	0.17	-6573.1368095251445993	3539.0243763775711159	7037.6764151458173728
1	0	0.5	0.18	-6748.9024206537351347	3562.0821396506194105	7082.9696336452498144
1	0	0.5	0.19	-6924.4871367469831966	3585.3723514066637108	7128.262852144687713
1	0	0.5	0.2	-7099.9206692182406186	3608.8905112838888272	7173.5560706441201546
1	0	1	0	-3172.4845124029334329	2947.7051092785163746	6017.0700991061348759
1	0	1	0.01	-3272.9624702355167756	2967.666438578936777	6013.0630073768470538
1	0	1	0.02	-3424.2203689791558645	2988.0448695502509509	6050.732930222133291
1	0	1	0.03	-3587.0863766788634166	3008.8319272767703296	6088.4028530674195281
1	0	1	0.04	-3755.7691885765916595	3030.0192017759868577	6126.0727759127003083
1	0	1	0.05	-3927.8118969215674952	3051.5983569334634922	6163.7426987579856359
1	0	1	0.06	-4101.9033927247864995	3073.5611386994605709	6201.4126216032727825
1	0	1	0.07	-4277.26198118746197	3095.8993825679654037	6239.0825444485562912
1	0	1	0.08	-4453.3909558546301923	3118.6050203612776386	6276.7524672938397998
1	0	1	0.09	-4629.9624560679376373	3141.6700863453365855	6314.4223901391251275
1	0	1	0.1	-4806.75552999212141	3165.0867227026083128	6352.0923129844122741
1	0	1	0.11	-4983.6203197128352258	3188.8471843906609138	6389.7622358296985112
1	0	1	0.12	-5160.4560658523887469	3212.9438434153844355	6427.4321586749802009
1	0	1	0.13	-5337.196954622647354	3237.3691925484936291	6465.1020815202691665
1	0	1	0.14	-5513.8026667211879612	3262.1158485191817817	6502.7720043655517657
1	0	1	0.15	-5690.2518729161301962	3287.1765547099294054	6545.1215154532183078
1	0	1	0.16	-5866.5376451925758374	3312.544183386228724	6595.5833942611125167
1	0	1	0.17	-6042.6641521033025128	3338.2117374896874935	6646.0452730690030876
1	0	1	0.18	-6218.6442380271173533	3364.1723520233890667	6696.5071518768972965
1	0	1	0.19	-6394.4976248585708163	3390.4192950577535157	6746.9690306847905958
1	0	1	0.2	-6570.2495608732269829	3416.9459683843306266	6797.4309094926848047
1	0	1.5	0	-2875.0060916793581782	2780.1289687045205028	5703.4466471328205444
1	0	1.5	0.01	-2963.503583495449675	2801.1900476455925855	5687.4233079177074615
1	0	1.5	0.02	-3109.3015975858352249	2822.7486423523628218	5728.5198779100164757
1	0	1.5	0.03	-3268.8745455716170909	2844.7934419304046969	5769.6164479023218519
1	0	1.5	0.04	-3435.352605948440214	2867.3132321169755414	5810.7130178946290471
1	0	1.5	0.05	-3605.8346006654564917	2890.2969102448096237	5851.8095878869362423
1	0	1.5	0.06	-3778.7840468304339083	2913.7334988195152619	5892.906157879240709
1	0	1.5	0.07	-3953.2905224543492295	2937.6121577550152324	5934.0027278715469947
1	0	1.5	0.08	-4128.7777719989435354	2961.9221953170663255	5975.0992978638569184
1	0	1.5	0.09	-4304.8658919503513971	2986.6530778294959418	6016.1958678561622946
1	0	1.5	0.1	-4481.2983662012529749	3011.7944382011955895	6057.2924378484676708
1	0	1.5	0.11	-4657.9001794296300432	3037.3360833344822822	6098.3890078407739566
1	0	1.5	0.12	-4834.5522700397968947	3063.2680004770036248	6139.4855778330811518
1	0	1.5	0.13	-5011.1751968434009541	3089.5803625803032446	6180.5821478253874375
1	0	1.5	0.14	-5187.7182953181300036	3116.2635327282641811	6221.6787178176955422
1	0	1.5	0.15	-5364.1522536550173754	3143.3080676982608566	6262.7752878100000089
1	0	1.5	0.16	-5540.4638993213147842	3170.704720716931206	6315.6555721203339999
1	0	1.5	0.17	-5716.6524596809222203	3198.4444434710799214	6369.6995595631669858
1	0	1.5	0.18	-5892.7268321518959056	3226.5183874325216493	6423.7435470059990621
1	0	1.5	0.19	-6068.703561966433881	3254.9179045536648118	6477.7875344488302289
1	0	1.5	0.2	-6244.6053261014321833	3283.6345473883993691	6531.8315218916632148
1	0	2	0	-2666.3302146073883705	2650.0401740724400952	5461.2108097281943628
1	0	2	0.01	-2745.0906646346929847	2671.9388243862590571	5439.8574865813070573
1	0	2	0.02	-2886.8310775586733143	2694.4054706570727831	5482.1230419856838125
1	0	2	0.03	-3044.0382437533653501	2717.4260249968724565	5526.043730768745263
1	0	2	0.04	-3208.9650791145477342	2740.9865312206920862	5569.9644195518058041
1	0	2	0.05	-3378.364406129227973	2765.0731869727401318	5613.8851083348690736
1	0	2	0.06	-3550.5292924949089866	2789.6723636078363597	5657.8057971179305241
1	0	2	0.07	-3724.4541429952068938	2814.7706239085409834	5701.7264859009928841
1	0	2	0.08	-3899.504957465550433	2840.3547377289028191	5745.6471746840543346
1	0	2	0.09	-4075.2646241591310172	2866.4116956639318232	5789.5678634671176042
1	0	2	0.1	-4251.4515229498147164	2892.9287208499149529	5833.4885522501763262
1	0	2	0.11	-4427.8730723831822615	2919.8932790047442722	5877.4092410332368672
1	0	2	0.12	-4604.3975499342823241	2947.2930868197067866	5921.3299298163010462
1	0	2	0.13	-4780.9361629516179164	2975.1161188149931149	5965.2506185993634062
1	0	2	0.14	-4957.4311971297020136	3003.3506127706355073	6009.1713073824230378
1	0	2	0.15	-5133.8479337813450911	3031.9850738428958721	6053.0919961654853978
1	0	2	0.16	-5310.1689929401627523	3061.0082774735965359	6104.1962557738788746
1	0	2	0.17	-5486.3902878009675987	3090.4092711964599403	6161.1032630832814903
1	0	2	0.18	-5662.5180787579565731	3120.1773754406331136	6218.0102703926822869
1	0	2	0.19	-5838.5667956242095897	3150.3021834271025909	6274.9172777020885405
1	0	2	0.2	-6014.5574076818365938	3180.7735602489742632	6331.8242850114866087
1	0	2.5	0	-2508.4387359733364065	2543.3727282739632756	5264.2121339498098678
1	0	2.5	0.01	-2579.0168341619455532	2565.9459932085005676	5241.4054884692832275
1	0	2.5	0.02	-2717.5821875072806506	2589.1511762906470722	5282.7721854160063231
1	0	2.5	0.03	-2872.9845523998365024	2612.9714418265639324	5328.9630164160662389
1	0	2.5	0.04	-3036.746229120121825	2637.3901240439590765	5375.1538474161325212
1	0	2.5	0.05	-3205.3408156535178932	2662.3907574767258666	5421.344678416197894
