# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.YRI_SFS.txt
# sampleSize: 215
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 105146
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-495026.2748454362154	982874.27399364917073	3176162.7537542395294
1	0	0	0.01	-533999.27301698923111	1015403.0527746126754	3160195.1642347560264
1	0	0	0.02	-831447.02390733361244	1050149.6073545815889	3172432.802264274098
1	0	0	0.03	-1189603.0616046637297	1086901.2619403314311	3338302.0030278130434
1	0	0	0.04	-1575488.4989284574986	1125461.605620336486	3554653.6330474875867
1	0	0	0.05	-1976936.7765012383461	1165651.1550978915766	3774050.8344568046741
1	0	0	0.06	-2387964.7793249338865	1207307.219465744216	3995686.4797087828629
1	0	0	0.07	-2805174.016945078969	1250283.2263550090138	4220061.1360884224996
1	0	0	0.08	-3226460.0373249202967	1294447.7151174522005	4449609.3761241286993
1	0	0	0.09	-3650444.9223272949457	1339683.1511138807982	4682060.2695863619447
1	0	0	0.1	-4076192.5416360199451	1385884.6707867004443	4917598.735351504758
1	0	0	0.11	-4503051.6920506060123	1432958.8316494734026	5156123.367364664562
1	0	0	0.12	-4930563.4304575324059	1480822.4143429247197	5397246.5984384035692
1	0	0	0.13	-5358403.2744193524122	1529401.304293975234	5642561.0047781430185
1	0	0	0.14	-5786343.5529793202877	1578629.4668063623831	5890097.4847147138789
1	0	0	0.15	-6214228.0008474141359	1628448.020202083746	6141781.0051420228556
1	0	0	0.16	-6641954.106109932065	1678804.405721031595	6396490.0533658200875
1	0	0	0.17	-7069460.5419135093689	1729651.6493138526566	6651501.1188459992409
1	0	0	0.18	-7496718.032058596611	1780947.7085016958881	6910347.5911594061181
1	0	0	0.19	-7923722.5961350053549	1832654.8965908084065	7171200.9329098053277
1	0	0	0.2	-8350490.4808396399021	1884739.3763373799156	7432054.2746602110565
1	0	0.5	0	-490556.36514879763126	376365.48672098392854	1777482.5227768339682
